ep. 093 - おすし　重低音ver. (N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教授のトモがちょうどいい日本語で話をします。
(00:04:20) 俺は大人になってから生魚が好きになったから 寿司や刺身とかをそれなりに頻繁に食べるようにはなったけどやっぱり大人になっても
(00:04:30) 魚がそんなに好きじゃないっていう人はいます。 ただそうは言ってもやっぱり日本人は他の国の人と比べたら断然寿司をたくさん食べています。
(00:04:43) 特に俺が子供の時よりも今の日本の方が寿司をたくさん食べてるんじゃないかという気が します。
(00:04:51) なぜかというと寿司というのは俺が子供の時は結構高価なものでした。
(00:04:59) 前に回転寿司の話をちょっとしたと思うんですが 今は回転寿司は結構安いです。
(00:05:07) 1皿100円というところが結構多いです。 もちろん高い回転寿司もあるんですが、でも今は回転寿司というと1皿100円で
(00:05:18) とても気軽に手軽に食べられるというイメージが強いです。 でも昔はそうじゃなくて回転寿司でも1皿100円じゃなくて
(00:05:29) 200円、300円のものが結構あって、それなりに高いというイメージがありました。 だから寿司は回らない寿司。
(00:05:40) まあつまり普通の寿司屋ですね。 回転寿司じゃなくて普通の寿司屋だともちろん高いし、回転寿司に行っても安いわけではない。
(00:05:52) だからそんなに頻繁に食べられるものではないというのが寿司のイメージでした。 ただ今は1皿100円の回転寿司がとても多くなったので前よりももっと簡単に食べられる
(00:06:05) ものになりました。 だから俺のイメージでは昔よりも今の方が寿司は多く食べられているんじゃないかっていう気が
(00:06:13) します。 さてこの寿司ですが人によって好みのネタは違います。
(00:06:19) ネタっていうのはご飯の上に乗っている魚とか肉のことです。 今日はせっかく寿司がテーマなので俺のおすすめというか、俺の好みの寿司を紹介しておきたいと思います。
(00:06:34) じゃあ俺が好きな寿司ネタトップ5。 第5位
(00:06:39) えんがわ。 えんがわというのは魚の体の一部分の名前なんですが、寿司屋でよく見るのは白身の魚ですね。
(00:06:49) 他の寿司ネタと比べると少し硬いコリコリした感じがあって美味しいです。 続いて第4位、いくら。
(00:06:59) いくらは魚の卵です。 サーモンの卵ですね。
(00:07:06) これは口の中でプチプチ弾ける食感がたまりません。 ただ他の寿司ネタと比べると少し高いのでそう気軽に食べられるものではありません。
(00:07:19) 続いて第3位、ネギトロ。 ネギトロはマグロです。マグロを使った寿司ネタです。
(00:07:28) ただマグロをそのまま食べるんじゃなくてミンチにしてハンバーグみたいな感じですごく細かくして、そして食べるのがネギトロです。
(00:07:40) もちろん名前通り、トロだけじゃなくてネギも一緒に乗っています。 刺身みたいな一切れずつのネタじゃなくてミンチにしてあるので食感が柔らかくてとても美味しいです。
(00:07:54) 続いて第2位。第2位はサーモンです。 日本語で言ったら鮭という名前の魚です。
(00:08:03) さっき言ったイクラの親ですね。 サーモンは油がのって美味しいんですが、そのままじゃなくって少し炙ってあったりとか何かを乗せたりとかしていろいろアレンジがされて
(00:08:18) 出されている時も多いです。 なので一つの魚でいろいろな楽しみ方がある、まあ便利なネタですね。
(00:08:28) そして最後、ハエある第1位。 これは寿司が好きなら言わなくてもわかりそうなものですが、
(00:08:38) トロです。 寿司の王様。
(00:08:41) トロを食べずに寿司は勝たれません。 特に本マグロの大トロ。
(00:08:48) 開店寿司では絶対に食べられません。 ちゃんとした寿司屋に行けば食べることができるかもしれませんが、とにかく高いです。
(00:08:58) 1貫だけで何百円取られるかわかりません。 高い店だと1000円、2000円、そのくらい高いものも珍しくありません。
(00:09:09) とにかく高いんですが、高いだけあって美味しいです。 ほっぺたが落ちるとはまさにこのことだと思います。
(00:09:19) 寿司が好きな人は死ぬ前に絶対日本に来て大トロを食べてください。 さてそれじゃあ以上で俺の寿司の紹介が終わりですが、やっぱりお寿司は聞くだけじゃなくて食べるのが一番ですね。
(00:09:35) 日本に住んでいる人はこのポッドキャストを聞いたら是非寿司を食べに行ってください。 皆さんの国にも寿司屋さんがあるかもしれませんが、日本人としてはやはり日本に来て食べるのが一番だと思います。
(00:09:50) なので 寿司を食べたことがない人も食べたことがある人も是非日本に来て美味しい寿司を食べてください。
(00:10:00) はいじゃあ今日はこの辺で終わりにしたいと思います。 今日は重低音バージョンでお送りしました。結構疲れるので
(00:10:08) まあくだらない遊びは今日だけにして次からは普通に話したいと思います。 それじゃあさようなら
