ep. 006 - お酒(N3)

(00:00:00) みなさんこんにちはトモです。 これは日本語を勉強している人のためのポッドキャストです。
(00:06:10) お酒を飲みすぎるとその肝臓が疲れちゃうんですよね 毎日毎日体の中にアルコールが入ってくると肝臓が
(00:06:22) そのアルコールを消すためにたくさん働かなければならないから だからとても疲れるそれでお酒を飲みすぎると肝臓が病気になっちゃうんですよ
(00:06:35) なので お酒をね飲みすぎると肝臓が疲れるから肝臓を休ませるために1週間に少なくても2回ぐらい
(00:06:46) 多かったら3日とか4日とかね 肝臓を休ませる日を作ります
(00:06:53) 肝臓を休ませる日を休寒日と言います 休っていうのは休むっていう感じです
(00:07:02) 休むの漢字は休って読むからね 多分みんなも休日とか聞いたことあるでしょう
(00:07:09) そしてその休むの休と肝臓の漢 それで休寒日です
(00:07:17) 1週間に2回ぐらいね休寒日がないといけないそうなので 本当は毎日飲みたいんだけど
(00:07:26) 体に悪いしお金もかかるし最低2日は飲まないようにしています さあこのお酒ですが
(00:07:34) お酒って楽しいよね 楽しいですよね
(00:07:41) 何にもしてなくてもお酒を飲んでるだけで楽しくなるし お酒を飲んでるときは
(00:07:49) 誰が何をしても笑えますよね 誰が何をしても笑える楽しい
(00:07:56) だから もっと飲みたくなる
(00:08:00) それで また飲む怖いですね
(00:08:05) 皆さんも何回も同じようなことをしたことありますよね お酒を飲みすぎた次の日の朝どうですか
(00:08:16) 最悪ですよね 二日酔いです
(00:08:21) お酒を飲みすぎた次の日の朝頭が痛いとか気持ちが悪いとか それを二日酔いって言います
(00:08:29) まあ大人になるとねみんな二日酔いは経験したことあるでしょう お酒ってすごい楽しいし美味しいし良いものなんだけど
(00:08:39) やっぱり良いものって
(00:08:43) 飲むだけで楽しくなれるようなそういう楽なものって 何かしらのリスクがあるんですよね
(00:08:51) お酒の場合のリスクって言うと やっぱりその
(00:08:56) 体に悪いとか二日酔いとかですね 実はこの前の日曜日
(00:09:02) jlpt がありましたね jlpt って結構長い時間テストをしなきゃいけないし
(00:09:10) あとはその 日曜日までにこれまでずっとたくさん勉強してたから
(00:09:16) だからうちの学校の学生とお疲れ様でしたって言って 飲みに行ったんですよ
(00:09:23) まあ何か大変なことがあった後に飲むのってすごい楽しいですからね で飲みに行ってもちろん楽しかったんだけど
(00:09:32) 楽しいとやっぱり飲みすぎちゃうんですよね 一応月曜日は仕事だったから
(00:09:41) あまり遅くならないように少し早めには帰ったんだけどでもやっぱり次の日の朝は キツかったですね
(00:09:49) あまり二日酔いが酷くならないように できるだけたくさん水を飲んだりとかね対策はしたんですけどね
(00:09:58) やっぱり二日酔いでした でもまあ
(00:10:02) ねえ先生が二日酔いで学校休むわけにはいかないから ちゃんと仕事には行きましたけど
(00:10:10) 仕事に行って授業を始めたら 一緒に飲んでた学生もみんな二日酔いになってましたね
(00:10:18) いやーお酒って怖いですね
(00:10:21) さあそんなお酒の話でしたが皆さんはどうでしょう お酒を飲むといろんな失敗しますよね
(00:10:28) 皆さんも話を聞いてお酒の失敗とか思い出しましたか お酒って飲みすぎた次の日はもう絶対二度と飲まないって思うんですけどね
(00:10:40) なんでかわかんないけど2,3日経つとまた飲みたくなるんですよね いやーほんと怖い飲み物です
(00:10:47) はいじゃあそんなわけで今日は二日酔いも治ったので新しくお酒の話を作りました いかがでしたでしょうか
(00:10:57) 感想ご意見などはツイッターやメールにお願いします また話してほしいトピックや日本について知りたいことなど何かあったらそれも
(00:11:07) ツイッターメールにてお願いします 皆さんのご意見でこのポッドキャストはどんどん良くなっていきます
(00:11:14) ぜひぜひ皆さんのお話も聞かせてください それじゃあさようなら
