ep. 040 - スラング(N3)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。リクエストがある人はSNSやメールなどでメッセージをください。
みなさんからのリクエスト待ってます。 さあそれじゃあ今日のテーマは
変な顔っていうか泣きそうな顔っていうかダメな顔でやばいって言ったらそれは すごく悪いっていう意味
多分ねみんなの国の言葉にもそういういろんな時に使える言葉ってあるんじゃないかと 思うんだけどね
んでとにかくもやばいっていうのは使い方が本当に多い いろんなとこで使える
例えば朝起きて寝坊した時にあやばい寝坊したとか あーやばい学校に遅れる
あやばい今日テストだ勉強してない いろんなとこでやばいって使える
まあ良くない危ないっていう時だね あと他にも
例えば友達と話すときに 新しい映画見たって聞いてあれやばいよお前絶対見た方がいいって言ったら
それはすごく良いっていう意味だね このやばいは日本人の友達がいる人とかは絶対覚えた方がいいと思う
そのくらいねよく使う ただ
俺の周りでね
50歳以上の人ぐらいだとあんまり やばいって使わない人が多いかな
やっぱりこのやばいって スラングあの全然丁寧な言葉じゃないから
使う場所とか相手とかそういうものはね気をつけないと あの
ちょっとねー 悪いイメージになっちゃうからそれは気をつけた方がいい
全然丁寧な言葉じゃないから友達と話す時とか 一人ごと自分一人だけの時はいいんだけど
誰かね他の人と話すときは 気をつけるようにしてください
まあ学校の中とかね会社とかそういうとこではあまり使わない方がいいと思う 学校の中で先生がいないときに友達と話すだけだったらそれは全然問題ないけど
じゃあその次いけよし他にも
キモいっていう言葉 キモいはねー
みんなが知ってる言葉だと気持ち悪いと同じ ただね気持ち悪いってちょっと長い言葉だし
長い言葉って日本人でもちょっと言うのがめんどくさい時あるから だからそれを短くして
気持ち悪いのキモ音ってキモい これはね意味はそんな難しくないから形を覚えればすぐに使える言葉かな
あともう一個 いけよしで紹介しておきたいのはうざいっていう言葉
うざいはこれも結構ね意味が多いんだけど なんかこう邪魔なものとか
あとは ちょっとこうめんどくさいものとか
イライラするもの イライラすれてわかるかな
あのちょっと怒るようなものだね何か邪魔なことされたりとか嫌なことされて怒る そういうものをうざいって言う
これもね結構よく使う言葉だと思うんだけど でもその怒る時っていうかね嫌な気分の時に使う言葉だから
これもすごい使い方気をつけた方がいいかな
いろんなところでねよく使ってるとすごい悪いイメージ 嫌な人だと思われるかもしれないから
使い方使うタイミングは気をつけましょう スラングなんてもう全部使い方気をつけないとまずいんだけどね
仲がいい友達と話すときは どんな言葉でも大丈夫だと思うんだけど
今言った中だとやばいうざいキモい こういう言葉は本当に
全然丁寧じゃないから友達と話す時だけ 学校とか会社の中とかね特に上の人上司と話す時なんかは
本当に気をつけないと あの人はダメな人だっていうようなイメージを持たれるかもしれないから
そこは本当に気をつけましょう もうこれね本当大事なことだから何回も言うけどスラングは使い方
本当に気をつけてくださいね もう多分ねこの気をつけてっていうのは今日のエピソードであと5回ぐらい言うと思うから
じゃあねえっとイケ要素の次 今度は副詞っていうやつね
でまぁその中でも特に とてもと同じような使い方をするもの
そのとてもと同じ使い方の言葉って結構たくさんあって 俺がよく使うのはマジとかめっちゃ
あとは超だね この3つはね本当によく使う
マジっていうのはとてもっていうか 本当にっていう言葉本当と同じなのがマジっていう言葉です
だから本当っていう時にマジっていう風に使う
でこの本当っていう時も使うんだけどとてもっていう時にもマジって言う で例えばどういう風に言うかというと
美味しいものを食べた時とかなんか全部美味しい美味しいっていう話ばっかりだけど これとても美味しいっていう時にはこれマジ美味しいっていう風に
とてもじゃなくてマジって言ったりとか であと同じ使い方でめっちゃ
あーこれめっちゃ美味しい もう一つの超っていうのも同じ使い方でこれ超美味しい
マジ美味しいめっちゃ美味しい超美味しい これでねとてもと同じような使い方
大体の教科書にねとてもっていう言葉あるんだけど 実際には俺は普段は友達とか家族と話すときはとてもっていう言葉は
ほとんど使わない もちろん人によっては使う人もいると思うけど俺は使わない
丁寧に話すときはね使うけどね でこのとてもと同じような使い方が今言った
マジとかめっちゃ超っていう言葉なんだけど あとはさっきいい形容詞のところで言ったすごい
すごいも とてもと同じ使い方さっきもちょっと言ったけどねこれすごい美味しい
っていう言い方もできるのでそれも一緒に覚えておくと便利かなと思うね あともう一つね
とてもと同じ使い方の言葉があるんだけど これは今言った
3つの言葉よりももっと 丁寧さがない
あんまり良くない言葉だから使い方は気をつけてほしいんだけど クソっていう言葉を俺は時々使う
ただねとてもと同じなんだけど悪い時のとてもの使い方の方が多いかな
じゃあどんな時使うかっていうと 今日とても寒いっていう時に今日クッソ寒いって言ったりとか
ごめんなんかこう笑いながら言ってるけどこれなんで笑ってるかっていうと本当にあの 全然丁寧じゃなくて普通はねこんな
ポッドキャストでいろんな人が 聞くもので使っていい言葉じゃないから
今このポッドキャストねあの 毎日何百人っていう人が俺のポッドキャスト聞いてくれてるんだけど
そんな何百人も聞いてるポッドキャストでクソっていうのは 本当にねもう俺も
本当はあんまり今言いたくない言葉 なんだけどでも友達と話すときはやっぱり使うから
まぁ一応紹介はしとくっていう感じ えーとねただ友達とは使うんだけど
友達って言っても男友達で でその中でもすごく仲がいい人だけかな
家族と話すときも使わないねクソは 本当に汚い言葉だから
あとねこのクソっていう言葉は とてもっていう意味だけじゃなくて一人ごと
一人で話すときね会話じゃなくて一人だけで話すときに何か失敗したときにも 使うときがあるかな
失敗した時とかあとはなんか悪いことがあったときね 例えば
遊びに行きたかったのに雨が降ってきたら あークソ雨降ってきたって言ったりとか
車運転してる時に 赤信号がたくさんあったら
あークソまた赤だよとか こんな風に悪いことがあった時にも
言ったりするかな
まあでもねとにかくもう何回も言うけど使い方気をつけてね 本当にこれ汚い言葉だと思う
自分で 俺が自分でこう教えてるんだけどでもすごい汚い言葉だから
言わなくていいと思う 本当に
誰かが言ってるのを聞いてわかればそれで十分かなぁと思う どうしても使いたい人は
仲がいい友達とだけ使うようにしましょう じゃああとねもう一個
ね これはね去年とか一昨年ぐらいかな
できた新しい言葉なんだけど 日本で
この12年ぐらいね タピオカっていう飲み物が流行ってるんだけど
タピオカってわかるかな日本に住んでる人は絶対聞いたことあると思うんだけど 飲み物の中に
小さい丸い 餅みたいなゼリーみたいなものが入ってる
それがタピオカって言うんだけど もともとそれは
台湾が最初ののかな まあ多分台湾だと思うんだけど台湾で売ってる飲み物で
本当台湾だったらあのいろんなところで買うことができるもの 俺も台湾に住んでたことあるから
結構ねよく飲んでたんだけど そのタピオカが日本で流行ってて
そのタピオカを飲むっていう意味の動詞 それがね日本語で
タピルっていう言葉 タピオカのタピ
そしてタピにルをつける それでタピル
実は日本語って新しい動詞を簡単に作ることができて その作り方っていうのが最後にルをつけるだけ
これで動詞になるっていうねあの日本語のルールっていうか そういうのがあるから簡単に新しい言葉が作れるんだ
だからねタピオカのタピとルでタピル これは
今流行っているものだからこういう新しい言葉ができたんだけど これから他にも
何か 新しいものが流行ったらこういうふうに最後にルをつけて新しい言葉を作るかも
しれない
もうね新しくないけど 他にもこのルをつけて作った言葉だと
ググるっていう言葉があるんだけどね それは
ググっていうのは何のググかというと グーグル
インターネットの インターネットのグーグルで調べることを
ググる って言うんだわ
これねやっぱりあの昔はね インターネットを使う人が少なかった時はこのことを
この言葉を知ってる人少なかったんだけど 今はねもう大体の人も
知ってると思う 辞書にも載ってるんじゃないかな
まあとにかくねこの最後にルをくっつけると動詞になる で今流行っているものでタピオカのタピにくっつけて
タピル これでタピオカを飲むっていう動詞
ちなみにこのルをくっつけて作る言葉っていうのは全部1グループ 1グループだから例えば
手に手の形にするときはタピってだし あのないにすると食べらない
っていう形になるからね
はいじゃあとりあえずね今日は こんなところで終わりにしようかなと思います
もちろん他にもスラングというのはいろいろたくさんあるんですけど全部は紹介 できないので今日はここまで
どうだったでしょうか皆さんが聞いたことがある言葉があったでしょうか これもう1回大事だから言うけど使い方気をつけてください
本当に丁寧な言葉じゃないからこれを使って イメージが悪くなるダメな人だ悪い人だと思われるかもしれないので
本当に気をつけてください 友達と話すときはねいいですけどね
できれば 日本人の友達を作ってその人と話すときに
スラングを使ってみて今使い方大丈夫 間違ってないとか聞いてみるとねいいと思います
知らない人といきなりはやめときましょう あとは今日の話し方
今日は今はねちょっと丁寧な形に戻してますけど 難しい言葉とか文法はなかったけど
話し方を変えたから結構難しかったんじゃないかなと思います 今日は言葉と文法があまり難しくないから
N3ぐらいのレベルにしてるんですけど でも話すスピードは結構早いし普通体
友達と話すみたいな感じで自然な話し方してたから 結構聞くの難しかったかもしれませんね
何かわからない言葉とかあったらいつでも質問してくださいね
スラングって教科書にはないけどでも 日本で生活してると絶対聞くような言葉がたくさんあるんで
皆さんもねぜひ覚えてください でも使い方は気をつけてください
はいそれじゃあ今日はこの辺で終わりにしたいと思います さようなら
