ep. 211 - JLPT公式問題集1の解説-N2問題8(N2)

(00:00:00) ん
(00:06:12) これ疑問詞って言いますけど疑問詞金あるとかが必要なんですよ だからこれねどんな思いでどんなの後ろは買ってくれたのか
(00:06:23) もう猫の2番と3番の前後関係は100%間違いありません どんな思いで買ってくれたのか
(00:06:32) であとは4番にね思うって入ってるからこれもすぐわかるね買ってくれの くれたのかと思うととと思うがセットってのはすぐわかりますよね
(00:06:42) で後は1の音それだけでの使い方ですね これはねそれが何を指しているのかっていうのがわからないと最初に使うのかそれとも
(00:06:52) 最後に来るのかっていうのがわかりにくいんですが 最初にねそれだけでどんな思いで買ってくれたのかと思うとどんな
(00:07:00) あと涙が出ます えっと最初に持ってきたとねそれが何を言ってるのかわかんないですね
(00:07:07) なのでこれはねあの 一番は最後に持ってきて
(00:07:12) どんな思いで買ってくれたのかと思うとそれだけで涙が出る 82341の順番だね
(00:07:21) はいじゃあ続いて48話いきますよ えっとねこれはねーいやらしい問題ですよね 1と2でしたいやりたいって
(00:07:32) あの ほとんど同じ意味の言葉が出てきちゃうんですよね
(00:07:36) でこれねまあ引っ掛けなんですよしたいとやりたい同じ意味だから じゃあ子供がしたい子供がやりたいと落ちてもいいじゃないかって思っちゃうともう答え
(00:07:47) が出ないんです えっとねこれねー
(00:07:51) あの 3つ目の選択肢見るとやらせてっていうて系が入ってますね
(00:07:56) 実はて系があるとすごいね答えが絞りやすいんです て系の後ろに来る言葉って結構ね限られてるんですよ
(00:08:05) あの初級の家はねよく間違えるんですけど ての後ろに名刺を持ってきちゃう人がね多いんですよね
(00:08:13) 例えばて時とかテーバーいいとかね あとは他にもてと思うみたいにての後ろにとを使うとか
(00:08:22) これ全部ダメなんですてっていうのは基本的にあの動詞が2つ以上あるときに 連続でね動詞を言うときに何とかして何とかしてその次何してみたいに使うか
(00:08:35) ての後ろにあの違う文型ですねてみたいとかておきますとかね そういう時にしかて使わないんですよ
(00:08:45) というのがわかっていればこの問題ってね てするっていう日本語はないしてと思うもダメ
(00:08:54) この中で使えるのって実はやりたいでこのやりたいっていうのはしたいと並んでると ね同じ意味の言葉2つじゃないかと思うかもしれないんですけど
(00:09:03) このやりたいはするっていう意味のやるじゃなくてあげるっていう意味のやるなんですよ だからやらせてやる
(00:09:11) やらせてあげるっていう意味にするといいんですね で
(00:09:16) そうするとねもう答えほぼ出たようなもんですよ あの子供があって言ったら子供がと思う
(00:09:22) これダメですね子供が思うだったらまだいいんですけど子供がと思う ここにとが入ってるから一緒に使えないので子供がしたい
(00:09:31) もうこれ確定ですね でしたい普通形だから普通形の次っていうのはここでは等ですね子供がしたいと思うことは
(00:09:41) やらせてやりたいねえっと答えですね
(00:09:46) じゃあ最後49番ですねえっと49番これもね あの言葉の形を見ていくと答えが絞れるんですけどこれはね形だけだと答えが
(00:09:58) あの2択になっちゃう えっと意味も考えないと最後のこ答えまでは持っていけないんです
(00:10:05) じゃあねとりあえず形だけ見ていくと えっとねまずはねに対するですね
(00:10:12) にの前は名刺だから政治に対するなのか 信頼に対するのまあどっちかですね
(00:10:21) あとはねこれはねまた手形がありますねあってっていう手形です 手形はさっき言った通り後ろが名刺ってダメだからもうそれが分かっているとね
(00:10:31) この手形の後ろはて初めてっていう文法だなってすぐわかります じゃあ後はそのに対するの前の名刺が政治なのか信頼なのかのどっちかですね
(00:10:43) に対するを信頼と結びつけて信頼に対するにするとどんな分になるか 対するっていうのはこれ形が辞書形だからやっぱり後ろ名刺ですね
(00:10:55) そうすると 信頼に対するにすると残りの名刺って
(00:11:00) 8政治家しかないから 8ね
(00:11:04) そうすると 政治があって初めて信頼に対する政治家はという分ですね
(00:11:11) これだとね意味がちょっと通じないですよねはいここで分の意味をよく考えてこれ じゃダメだっていうのが判断できるから答えは
(00:11:19) 政治に対する信頼があって初めて 政治家はという分になります
(00:11:28) はいじゃあこれでえっとまぁ最後の答えがわかりましたね 8
(00:11:34) 政治に対する信頼24ですねでその次があってだから2431という順番です
(00:11:43) 愛知はこれで問題8が終わりました 並べ替えの問題俺はねこれ結構ね好きなんです
(00:11:51) その 例えばね読解とかは結構ね言葉の意味がわかんない知らない言葉が多いと答えが
(00:11:59) 出せなかったりするんですけど この並べ替えの問題って形さえわかっちゃえば言葉の意味がわかんなくてもかなり答えに
(00:12:07) 近づけるんですよ だからね
(00:12:10) 単語を覚えるのが苦手だただ覚えるだけなんて面白くないやりたくないっていうそういう タイプの人は形だけで判断できるからねいいんじゃないかなって思うんですよ
(00:12:21) まあこれもねちょっと慣れが必要なのであの今からねちょっと練習だと jlpt 本番までには間に合わないかもしれませんが
(00:12:31) まあ12月の試験の練習勉強している人はねそれ意識してやってみてください 愛知はこれで問題8終わりなのでえっと
(00:12:40) 次のエピソードでは問題9に行きたいと思います ちょっと土日は忙しいかなぁ
(00:12:47) あの子供の世話とかもあるのでねえっとまた次作るとしたら来週になると思いますが 土日82日間皆さん日本語の勉強頑張ってください
(00:12:59) それじゃあ今日はこの辺で終わりにしたいと思います このエピソードが少しでも役に立ったという人はあのペイパル載せておくので応援して
(00:13:08) いただけると嬉しいです はいじゃあまた次のエピソードお会いしましょうさようなら
