ep. 152 - フィギュアスケート(N4)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:05:56) あの次の大会に出るじゃなくて怪我で出ないとかそういうことも結構ね スポーツのニュースになったりするので
(00:06:06) 日本の人はねこの人についてよく知っていますね ハニュー選手この人は男の人なんですが
(00:06:15) 女の人でももちろん有名な人はたくさんいます 俺の知ってる女の人のその有名なフィギュアスケートの選手って言うと
(00:06:26) この人はね現役じゃないんですけどもう引退っていうか あのオリンピックとかねそういう大きい大会には全然出ていないんですが
(00:06:37) でもあのまだスケートの活動を続けている人で 浅田真央っていう女の選手がいます
(00:06:47) この人はね あのやっぱり現役の時そのいろいろな大会に出ているときはオリンピックとか世界
(00:06:55) 選手権とかね そういう時にもすごいあの上手で金メダル取ったりとかね
(00:07:03) あのしててすごく有名だったんですが この人はね結構ね俺はハニュー譲る選手よりもテレビに出たりとかしてること
(00:07:14) 多かったんじゃないかなと思うんですけど なんでこんなに有名なのかっていうとスケートが上手なだけじゃなくて
(00:07:22) その まあ例えば世界選手権で金メダルを取ったんですけどそれまでにすごく頑張ってるとか
(00:07:32) そのスケート以外の以外じゃないなぁ えっと大会以外の部分ですね
(00:07:40) 大会以外の部分でも その
(00:07:44) 一生懸命何かを頑張るとかそういう あの人として
(00:07:50) 魅力的なところがたくさんあるということで いろんなテレビとかで紹介されてそれで
(00:07:58) あのこの人のファンが日本にはたくさんいるんじゃないかなと思っています この人は今現役ではないのでまあ大きい大会には出てないんですけど
(00:08:09) でもあの自分でね なんていうんですか会社じゃないけど
(00:08:15) このフィギュアスケートのチームみたいなのを作ってそれでスケートのショーをしたり していますね
(00:08:23) なので 大会には出てないけどそういうショーでまあ綺麗なそのフィギュアスケートを
(00:08:32) 見たいって言ってずっとファンを続けて見に行ってる人とかもたくさんいますね ってことであの日本で有名なフィギュアスケートの選手とりあえず2人紹介してみ
(00:08:44) ました 羽生ゆずる選手とあとは浅田真央選手ですね
(00:08:49) まあ浅田選手はもう引退しちゃいましたけど こういうふうにあのフィギュアスケートみたいに
(00:08:55) 冬のスポーツって日本では結構人気があるんですよ 他にもスキーとかですね
(00:09:01) やっぱり暑い国だと雪とか降らないから冬のスポーツが全然ないところもあると思うん ですが
(00:09:09) 日本は夏は暑いし冬は寒いので結構ねどんなスポーツでもできる国かなと思います だから
(00:09:18) あのオリンピックだけじゃないですけどいろいろなね スポーツの大会があったら世界の大会があったら日本人が出ていることも結構多いと思う
(00:09:27) ので皆さんも 日本人が出てたらぜひ応援してください
(00:09:34) さてそれじゃあ今日はあまりにフィギュアスケートの話は その俺がね自分で
(00:09:40) あのできないからあまり見ないっていうので大して話ができませんでしたが 俺に懲りずあの
(00:09:49) 何かね俺が知ってることで話せることがあったら話してくださいってリクエストは 皆さんから送ってもらえると嬉しいです
(00:09:58) 俺が何かこう知ってることだったらもうちょっといろいろ詳しく話したいと思います ので皆さんからのメッセージ待ってます
(00:10:05) それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
