ep. 194 - おすすめの漫画5(N2)

(00:00:00) ん
(00:08:30) なんか頭が良さそうな人だなーっていう印象です 例えばねそう思わせるシーンの一つで
(00:08:37) 白毛のパロディーが出てくるんですよ 白毛ってあの白いクジラアメリカの昔の有名な小説ですね
(00:08:48) メルビルかなその人が書いた小説の白毛のワンシーンで 船長が
(00:08:55) あの死んでしまった後に 手招き手を動かしてこっちへ来いって言ってる動きをしているように見えるっていう
(00:09:03) そういうシーンがあるんですけどね そのシーンが漫画の中にちらっと出てきたりとかするんですよ
(00:09:10) だからそういうねあの大人 それも強要のある大人ですかねそういう人にしかわかんないようなパロディーとか
(00:09:19) ギャグなんかも入っているのでただね戦って あの敵を倒すとかギャグやってるだけとかそういうんじゃなくて
(00:09:29) すごいこういろんな知識とか経験とかを持ってそれで書き上げている作品なんじゃない ですかねだからきっと大人になってから読んでも面白いのかなっていう気がします
(00:09:41) であの最初の方はやっぱり単純に1は完結なんですけど後からどんどんどんどんね あの
(00:09:48) 長い話とかも出てきますし 魅力的なキャラが多いっていうのもこの作品のいいところですね
(00:09:55) 特に主人公は三上っていう人なんですけど 主人公じゃないそのサポートキャラの人が後からどんどん力をつけていって
(00:10:06) 最終的にはねもう一人の主人公って言われるぐらい主人公より目立っちゃうような人が いるんですけどこの人もねすごい魅力的なキャラで横島っていう名前なんですけどね
(00:10:18) そういうところもまあ いいとこですかね面白いとこですねまあとにかく
(00:10:23) 一口にただギャグ漫画って言って終わらせることができないものなのでぜひ読んで みてください
(00:10:30) はいじゃあとりあえず今日は3つの作品を紹介しましたがまだまだ面白いマンがたくさん あるので次回もう少しいくつか紹介したいと思います
(00:10:40) ただね今回とその次とで紹介する漫画は基本的に俺が昔読んでた漫画を引っ張り出して きてそれで紹介してるから古い漫画ばっかりです
(00:10:50) 今の漫画みたいにパソコンで書いたりとかはできないからね昔は だからその全部手書きだからちょっとね絵が荒いとことかはあるかもしれないので
(00:11:03) そういうのはね慣れるまでもしかしたらちょっと嫌な人もいるかもしれませんが まあとにかく面白いのでぜひ読んでみてください
(00:11:11) はいじゃあ今日はね一旦ここで終わりにしたいと思いますまた次も漫画の紹介です 漫画好きな人は楽しみにしていてくださいそれじゃあさようなら
