ep. 099 - たんぼアート(N3)

(00:00:00) みなさんこんにちはトモです
(00:06:06) まあとにかくこの田んぼアートっていうのは
(00:06:10) 田んぼを使って絵を描く
(00:06:13) 田んぼっていうのも
(00:06:15) まあ日本人はね米が好きですから
(00:06:17) 米を作るっていうのも
(00:06:19) 日本の文化の一つだと思うし
(00:06:22) あとはその絵を描くっていうのも
(00:06:24) 漫画とかアニメとか
(00:06:26) 新しい日本の文化ができてきたから
(00:06:29) その絵が日本の文化の一つなのかな
(00:06:33) っていう気もするから
(00:06:35) 昔から日本人がやってることと
(00:06:38) 新しい文化の一つ
(00:06:40) それが一緒になったものっていう感じがするので
(00:06:44) 田んぼアートって新しい
(00:06:47) でも日本人らしいものなのかなっていう気がします
(00:06:52) はいそんなわけで今日は
(00:06:54) 田んぼアートについてでした
(00:06:57) インターネットでも
(00:06:58) この田んぼアートの写真って
(00:06:59) 結構いろいろ見ることができるんですけど
(00:07:02) でもやっぱりこういうものって
(00:07:05) 写真じゃなくて
(00:07:06) 自分で見るのが一番ですよね
(00:07:09) きっと実際にこれを見ると
(00:07:15) すごく感動するんじゃないかと思います
(00:07:18) なので今はちょっとね
(00:07:21) 世界がこんな状態ですから
(00:07:24) 病気が怖いから
(00:07:25) なかなか外にも行けないとは思いますが
(00:07:30) ちょっとずつね
(00:07:31) これが落ち着いてきて
(00:07:33) みんなも外に出て旅行に行けるようになったら
(00:07:36) ぜひ日本に来て
(00:07:38) そして本物の田んぼアートを見て欲しいなと思います
(00:07:43) 日本では自然のものを使って
(00:07:46) 何かを作るっていうのは
(00:07:47) 結構昔からいろいろやってる気がします
(00:07:51) 例えば北海道の雪祭りとかもそうですね
(00:07:55) 雪祭りって聞いたことがある人いるでしょうか
(00:08:00) 北海道はみんなわかると思うんですけど
(00:08:02) とても寒いところですね
(00:08:04) 雪もたくさん降ります
(00:08:06) なのでそのたくさん降った雪を使って
(00:08:09) いろいろなものを作って
(00:08:11) そしてみんなに見せる
(00:08:13) それが北海道の雪祭りです
(00:08:16) 雪祭りは絵じゃなくて
(00:08:18) 人形みたいな大きい象を作ります
(00:08:22) 象って動物のことじゃないですよ
(00:08:25) 象っていうのは何か人とか動物とかの形を
(00:08:30) 真似した大きい人形みたいなものです
(00:08:33) そういうね
(00:08:34) いろんな楽しいことを日本ではやっていますので
(00:08:37) 皆さんもぜひ日本に遊びに来てください
(00:08:42) はいじゃあ今日はこの辺で終わりにしたいと思います
(00:08:46) また何かリクエストとかあったら
(00:08:48) ぜひ送ってくださいね
(00:08:50) それじゃあさようなら
