ep. 150 - ことわざ(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:06:31) だから あの例えばねダイエットこれから頑張るって言ってでも運動するのも大変だし
(00:06:38) あまり物も食べらなくてだから3日で辞めちゃったとかそういうのを3日坊主と言います
(00:06:46) まあこういうのはねどこの国の人でも経験あるんじゃないですかね じゃあ最後もう一つだけいきます
(00:06:55) 次は塵も積もれば山となるです 塵も積もれば山となる
(00:07:02) これはね意味はどんなに小さなことでもたくさん集まればすごいものになるっていう 意味です
(00:07:10) まあものだけじゃなくてね何でもいいんですけどね あの例えば日本語の勉強だったら漢字を1日1個覚えていったら
(00:07:19) まあ1日1個毎日って結構難しいですけどね でも1日1個覚えたら1年で365個ですよね
(00:07:28) 10年漢字を1日1個覚えたら3600とかになりますから普通の日本人よりもね かける感じ多くなりますよね
(00:07:38) こういうふうに1日1個1個だけだったらすごく少ない簡単だけどでもそれがたくさん 集まれば大きいものになる
(00:07:46) それが塵も積もれば山となるです 塵っていうのはすっごく小さいゴミのことです
(00:07:53) とっても小さいゴミただそれが積もる雪が積もるみたいにね たくさん集まると大きい山になるっていうのがこのことわざの意味です
(00:08:04) あともう1個さっき最後って言ったけどもう一つ あの紹介しておきます今の季節にちょうどいいので
(00:08:12) 花より団子っていう言葉があります 花より団子っていうのは花はお花見とかのね桜の花ですね
(00:08:21) で日本ではお花見する時に桜を見ながらいろんなものを食べたり飲んだりするんですが お花見に行った時に花を見るんじゃなくて美味しい団子を食べる
(00:08:33) そういう人のことを花より団子って言うんです つまり見て綺麗なものよりも役に立つものの方が好きっていうのが花より団子
(00:08:43) の言葉の意味ですね
(00:08:46) はいじゃあこんな風にねことわざってたくさんありますが結構ね やっぱりあの有名なものっていうのは
(00:08:53) あのことわざを知らなくても言われてみたら自分もそういうことあるなっていうのが たくさんあると思います
(00:09:01) なのでねその自分の経験と一緒に考えながら覚えると結構ね忘れないでずっと覚えてられるん じゃないかなと思います
(00:09:10) あともちろんよくある話だと例えばその三日坊主とかねああいうのは 日本人もね結構日常生活の中でよく使う言葉なので覚えておくと会話が楽しく
(00:09:21) なるかもしれませんね はいじゃあ今日はこの辺にしておきますが他にも面白いことわざってたくさんあるので
(00:09:29) いろいろ気になる人は自分でも調べてみてください はいじゃああの他にも何かこうリクエストとか質問とかあったらね
(00:09:37) ぜひメールとか送ってください皆さんからのメッセージ待ってます それじゃあさようなら
