ep. 139 - 日本人ならわかる問題(N2)

皆さんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
さて今日はですね、あのー、インスタグラムにちょっとね載せた、インスタとかツイッターとかに載せたやつなんですけど
日本人なら答えられるもんだいっていうのを ちょっとねあのグーグルのグーグルフォームを使って作ってみたんですけど
もうそれはドラえもんしかいませんよねこれドラえもんについての問題です でドラえもんが好きなものって言ったら有名な話だと思いますがドラ焼きですね
そしてその次8夢を叶えてくれるのはっていうのは これもまあ一応あの歌の歌詞についてなんですが歌を知らなくてもね
ドラえもんがわかればわかると思いますドラえもんといえばポケットからいろんな ものを出してくれるので不思議なポッケですね
入ってことでねこれが日本人ならわかる問題なんですが 日本人ならっていうかまぁ日本に子供の時からずっと住んでてテレビとかを見てたら
この問題10個は全部わかるんじゃないかなと思います 試しにねあの日本人の友達がいたらこの問題解かせてみてください
もしかしたらちょっとね世代によってはわからない問題っていうのもあるかもしれません が
ドラゴンボールの歌とかはねもしかしたら今はあんまり知らないかもしれないんです けど
まあ30代ぐらいの人だったら この問題全部簡単にできると思いますぜひやらせてみてください
ってことで今日は日本人ならわかる問題ってことでアニメについての話でしたね 今日ね言ったこのアニメが5種類ありますがこの5つのアニメ全部見ておくと
日本人の友達ができた時にね結構話が盛り上がるかもしれませんから 知らないのがあったら1回ぐらいはねみんなも見てみるといいと思います
はいじゃあ今日はこの辺で終わりにしたいと思いますが 今日はねある意味日本の文化についてでしたから知らなかった人はしっかり日本の文化
アニメについて勉強しておいてください それじゃあさようなら
