ep. 143 - 家事(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そうやって育ってしまったら やっぱりね家事しなくなるんじゃないかなと思うんですよ
なのでまあ 正直俺の父親ぐらいの世代になるとまあつまりね50年ぐらい前の人たちですよね
そういう人たちは家事をしない人がいても結構しょうがないかなっていう気はします ただ今の人はやっぱり考え方変わってきているのでだんだんね最近の若い人って
男女関係なく家事する人は増えてきているとは思います まあ男の人は家事する人は多くはないみたいですけどね
ちなみに俺は結構家事自分ではする方だと思ってます 一応ねあのうちの家事は半々になるようにはあのやってます
ただね俺は昔から今みたいに家事をしっかりやってたかっていうと違うんですよ あの
自分一人だったらやらない家事って結構あります 他の人と一緒に生活をし始めるとやんなきゃいけないなっていう家事が多くなるのでそれを
するんですけども あの一人だったらねこんなに家事してないと思うんですよ
まあうちの場合はその自分一人じゃなくて他の人と生活をし始めた時に どんな家事が必要なのかっていうのをちゃんとね
あの 認識お互いが認識しあったっていうのが大きいかなと思うんですよね
結構ねこれ俺だけじゃの俺だけじゃないと思うんですけど その家事をやらないって言われる人たちって
家事をしたくないとかできないとかそういうんじゃなくて そもそもする必要ないと思ってるっていうことが結構あるんじゃないかなと思うんですよ
例えばね洗濯とか 洗濯してそしてあのもちろん洗濯はするんですよ
洗濯は必要だからで洗濯した後にそれを 新たものを干してで乾いてから畳んでしまうっていう一連の流れがあるじゃないですか
ただ俺は洗濯する洗うっていうことは必要性をすごく感じるんだけど 乾いた後に綺麗に畳んでしまうっていうことに対してあんまり必要性を感じないんですよ
なんでかというとまあ俺はねあんまりこうファッションとかに気を使わない方だから 服が結構少ないんですよ
しかも日本で男の人っていうと平日着るものなんて あのスーツの人が多いと思うからYシャツと中に着る下着ぐらいだから
全然量もないし あの
下着なんて干してあるものをそのまま乾いてたら取って着ることもできるから だから
どうせ畳んでもまた着るし干してあるものをそのまま着てもいいんだから 畳む必要ないんじゃないかと思っちゃうんですよ
でその考えのまま他の人と一緒に生活を始めるとやっぱり あの他の人はそうじゃないからね自分が俺が必要ないと思っても他の人は必要だって
思ってるかもしれないから そこで認識の差が出てしまってそれで
あの家事をやらないというふうに思われてしまう そういうこともあるんじゃないかなと思うんですよ
だからうちの場合はその一緒に誰かと生活を始めるっていう時に認識の違いっていう ものがないか確認してこれはやったほうがいいっていうのを確認してそれから生活を
あの生活の習慣を作り始めたから だからね俺は結構家事をするようになったんじゃないかなと思います
多分最初にそれをしてなかったらねその認識の差っていうものを埋めようとしてなかったら あの俺も家事を全然しない人になったんじゃないかなという気がします
まあこの家事をねどの程度しなきゃいけないかっていう考え方ってほんと人それぞれだと思うん ですけど
例えば洗濯以外でも掃除とかね 1週間にどのくらいの頻度で掃除をするかって結構人によって違うじゃないですか
俺の場合ね結構土日とか週末休みの日にまとめて掃除をするから 平日そんなにやんないんですけどでも毎日掃除をしないと埃が気になるっていう人もいるじゃないですか
そうなるとその人がねそういう人が俺と一緒に生活始めたら 俺はすごい家事をしない掃除をしない人だダメな人だっていうふうに思われるかもしれないんです
よね ってことでまぁちょっとここまでの話をまとめると
日本では誰が家事をするのか まあ
あのやっぱり最初に言った通り昔からの習慣で男の人は家事をしないっていう 考え方はまだね完全には消えてないと思います
あの 家事をする男の人ってちょっと少ないんじゃないかなと思います
ただ あの男の人も
その家事をしないっていうよりもそもそも必要ないと思ってるっていうことも 俺はね個人的にはあるんじゃないかなっていうふうに思います
だから こう男女で認識の差が出ちゃう
男の方は家事は必要な家事はやってるつもりでもそれは別の人から見たら あの全然足りてない
私が必要だと思っている家事をあの人はやらないっていうふうに思われていることも あるんじゃないかなっていうふうに思います
まあそうは言ってもねうちの父親みたいに何回やれって言ってもやってくれない人とかも いるとは思うんですけどね
結局こういうのって性別の違いとかね 男女の違いとかあとは国の違いとか世代の違いとか
そういうのよりも一番あれですよね影響するのはその人の性格とか考え方ですよね ってことでまあ一言でまとめると家事を誰がするのかというと
豆な人とかそれを必要だと思っている人がするってことになっちゃいますかね はいじゃあ今日は家事についてのお話でした
また他にもね何かこういうリクエストとかあったらぜひいろいろリクエストしてみてください あとピューピューさんがこのリクエストをピューピューさんという人方
人からなんですけども8 レビューのところに書いてくれました皆さんもぜひレビューとかね
いろいろ書いてくれると嬉しいです それじゃあ今日はこの辺で終わりますさようなら
