ep. 223 - 副詞(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
今家に帰ってきましたって言ったらちょっと前に家へ帰ってきました という意味だし
今行きますって言ったら今からねちょっとだけ後に行きますという意味になるから あの
今だけだとねどの意味かわかんないのでその前とか後ろの言葉を聞いてどんな意味かな って考えます
あとはね えっとこれからの話とかあの前の話だけじゃなくてもう少し幅の広い言い方
幅が広いっていうのはあのつまり最近みたいな言葉ですね 最近暑い日が多いって言ったら
ちょっと前の話だけじゃなくて前から今までずっと続いている 少し長い時間の時使いますね
あのさっきとか 前っていうのはそんな長い時間じゃなくて短い時間です
例えば さっき友達に会いましたって言ったらその友達に会った時間というのはそんなに長くない
です まあ5分だけとかね1時間ぐらいちょっと一緒にご飯食べたとかでもいいです
けど でもさっき友達に会ったこれは友達とずーっと長い時間一緒にいるという意味ではありません
でも最近暑い日が続きますね っていう話し方をするとこの最近っていうのは
何日か3日とか4日とかあとは1週間とかね 長い時間ずーっと暑い日が多いこういう時に使う言葉ですね
で最近っていうのはだからあのこれからには使えない言葉なのでさっきとか前と ちょっと似てるよう似てる前の話なんですけどその幅が広い使い方です
で後はね時間に関係する言葉だとあの前とかこれからじゃなくて どのくらい
頻繁にするか頻繁って言ったらちょっと難しいねわかりにくい言葉ですね 8簡単な言葉だとね例えば時々という言葉は皆さん知っていると思います
時々と似てる言葉もねやっぱりたくさんあるんですよ 8初級で勉強する簡単な言葉だと時々よりももっとね
たくさんするときにはよくっていう言葉がありますね 時々朝コーヒーを飲みますって言ったら多分
1週間に1回とか2回とか よく朝コーヒーを飲みますだったら1週間に4回とかね5回とかね
いつもって言ったらこれは毎日ですね
8でこういうふうにあの1週間に何回しますかとか1年で何回しますか みたいな話し方
そういう言葉をね頻度って言いますどのくらいしますかという意味 で時々よりももっと多いのは今言った欲とかいつもですね
時々よりも少ないっていう時の言葉もあります たまにっていう言葉ですね
たまに朝コーヒーを飲みますって言うとね まあ結構少ないイメージですね
1週間か2週間に1回だけとか1ヶ月に12回とかね でさらにもっと少ない言葉もありますもっと少ないときには
滅多に飲みませんっていう言い方があります 滅多にっていうのはあまりとね使い方似てるんですけど滅多にって言ったら後ろ
はね絶対にないっていう言葉なんですよ そうするとねゼロじゃないけどとても少ないという意味です
だから滅多にコーヒー飲みませんって言ったら そうだねいっ
1年に何回かとかねそのぐらい少ない感じですね あとこの滅多にと似てる意味の言葉だと
まれになんてのがありますね まあ意味はだいたい同じなんですけど使い方少し違うかな
まれにっていうのはないと一緒に使いません 例えばこのあたりでも稀に雪が降ることがありますとかね
まあこれで時々よりもすごく少ないという意味です
さてじゃあこんなのがねあの時間に関係するいろいろな言葉ですね まあこれよりもねもっと難しい言葉だと
やっぱりねたくさんあるんですけども今紹介したような言葉がわかると結構ね あの普段の生活の会話だったら
わかるものが多いんじゃないかなと思います えっとどんどんね難しい
勉強を進めていったりとかいろいろなテレビとか本とかね そういうのを見ていくとまたいろんな言葉を見ると思うので
基本的なものを覚えたらそうやって難しいのもどんどんチャレンジしていってみて ください
では今日はこの辺で終わりにしたいと思いますがまた皆さんも何かリクエストとか あったらぜひメールやメッセージを送ってください
それじゃあまた次の話でお会いしましょうさようなら
