ep. 083 - 日本の電車(N4)

(00:00:00) みなさんこんにちはTomoです
(00:05:11) それで都会の方では車じゃなくて
(00:05:14) 電車を使ってどこかに行く人が多いです
(00:05:19) 俺も東京に住んでいたことがありますが
(00:05:22) その時は車が欲しいとは思いませんでした
(00:05:28) 全然車がなくても不便じゃなかったからです
(00:05:32) どこに行くときも必ず近くに駅があるし
(00:05:37) 電車を使わなくてもいい
(00:05:39) あまり遠くないところだったら
(00:05:42) 自転車とかバイクで移動していたので
(00:05:45) 車はなくても大丈夫でした
(00:05:48) ですから日本に旅行に来る人も
(00:05:52) 車がなくても電車だけで
(00:05:55) いろいろなところに行くことができますが
(00:05:58) でも田舎の方に行きたい人
(00:06:01) 田舎のとても自然が綺麗なところとか
(00:06:05) 周りに大きい建物とかがない人が少ないところ
(00:06:10) そういうところに行きたい人は電車じゃなくて
(00:06:15) 自分で車を借りて
(00:06:17) そして運転して行った方が
(00:06:20) 多分時間もかからないし
(00:06:22) 旅行が楽しめるんじゃないかなと思います
(00:06:27) でもまあ外国で車を運転するって
(00:06:32) 結構怖いですけどね
(00:06:34) 俺は台湾に住んでいる時はバイクは乗ってたけど
(00:06:39) 車は全然乗りませんでした
(00:06:42) 怖かったからです
(00:06:44) 車の免許はあったんですけどね
(00:06:47) はい、ということで日本での交通
(00:06:52) 移動手段についてですが
(00:06:54) 電車は確かに便利なんですけど
(00:06:58) でもそれは都会の方ですね
(00:07:02) 都会だったらどこかに行く時に
(00:07:05) 電車の時間を全然調べなくても
(00:07:09) 駅に行って少し待つだけで
(00:07:12) 電車が来るからとても便利です
(00:07:15) でも田舎の方だと最初にも言ったように
(00:07:20) 電車が1時間に1本だけとか
(00:07:23) すごく少ないところだと
(00:07:26) 2時間とか3時間に電車が1本だけとか
(00:07:30) そういうところもあるので
(00:07:32) 日本はどこに行く時でも
(00:07:35) 電車が使えると思っていると
(00:07:39) 旅行でちょっと大変なことがあるかもしれませんので
(00:07:42) 気をつけてください
(00:07:44) 移動する時に何を使うかっていうのは
(00:07:47) 結構国によって違いますよね
(00:07:51) 俺が前に住んでいた台湾だったら
(00:07:54) 車とか自転車よりも
(00:07:56) バイクに乗る人がとても多かったです
(00:08:00) ベトナムとかも確かバイクの人が多かったですよね
(00:08:05) 日本はバイクは結構少なくて
(00:08:09) 電車と車とあとは自転車の文化ですかね
(00:08:14) 自転車に乗る人はとても多いです
(00:08:17) 皆さんの国には何か面白い移動手段があるでしょうか
(00:08:21) 何かあったらぜひ教えてください
(00:08:26) それじゃあ今日はこの辺で終わりにします
(00:08:28) さようなら
