ep. 085 - 神道2(N2)

(00:00:00) みなさんこんにちはTomoです
(00:04:29) 何でもかんでも受け入れるっていうんであれば
(00:04:32) 日本人のその生活習慣とかも
(00:04:35) 全部いろんな宗教がごちゃ混ぜになって
(00:04:39) 何でもやるのかっていうと
(00:04:41) 実はそうじゃなくて何でも受け入れるんですけど
(00:04:46) でも日本人の生活習慣の基本になっているものは
(00:04:52) 結構神道関係のものが多いです
(00:04:56) 1年が始まったら玄関に門松を置いて
(00:05:00) そして神社に初詣に行って
(00:05:03) 節分には豆をまいて豆を食べて
(00:05:07) 1年中いろいろなところで神道のお祭りもあるし
(00:05:11) 何か大切なことがあるときは神社に行って
(00:05:15) いい結果になりますようにってお祈りもします
(00:05:19) だから日本人って結構自分は宗教は何もない
(00:05:25) っていうふうに思っている人も
(00:05:27) 結構多いと思うんですけど
(00:05:29) 実はその日本の生活習慣の中には
(00:05:34) 神道に基づいているものっていうのがかなりあるので
(00:05:38) 無意識のうちに神道のいろんなことをしているっていう人が
(00:05:46) すごく多いんじゃないかと思います
(00:05:48) だからこれ結構面白いと思うんですけど
(00:05:52) 日本人で私は神様は信じていないっていう人に
(00:05:57) じゃああなたは神棚を壊したりとか
(00:06:01) あとは神社の中に入って遊んだりとか
(00:06:04) そういうことができますかって聞いてみると
(00:06:08) 多分いやなんかそれはちょっと
(00:06:11) 悪いことがありそうな気がするから
(00:06:13) あまりやりたくないっていうふうに言うと思います
(00:06:16) 実は俺も昔はそういうふうに思ってたんですよ
(00:06:20) 神様はいないって自分には何も宗教がないし
(00:06:25) 神様はいないと思ってるって思ってたんですが
(00:06:30) でも大人になってその自分の今までの生活とか
(00:06:36) あとは習慣とかそういったものを考えてみたら
(00:06:40) 意外と神道に基づいている行動っていうのが
(00:06:45) あったなっていうふうに気づいて
(00:06:48) それからはね
(00:06:51) 俺は宗教はないっていうのはやめて
(00:06:55) 神道ですって言うようにしてます
(00:06:58) ただやっぱり神道って言っても
(00:07:01) そのさっき言った日本人によくある考え方なので
(00:07:06) どんな神様でも受け入れるっていう考え方なので
(00:07:10) 神道以外のイベントとかね
(00:07:13) そういうのもやったりはします
(00:07:16) さてそれじゃあこんなのが
(00:07:18) 日本人に多い神道の考え方だと思うんですが
(00:07:23) 最近の日本では
(00:07:27) 実際に調査をすると
(00:07:30) 神道とあとは仏教とどちらが多いのかっていうと
(00:07:35) 今ねだいたい同じぐらいみたいですね
(00:07:39) 神道の方がちょっと多いかな
(00:07:41) でもだいたい同じです
(00:07:44) キリスト教とか他の宗教の人もいますけど
(00:07:48) でも仏教と神道が一番多いです
(00:07:51) でこれがちょっと面白いんですけど
(00:07:55) その神道の人の人数と仏教の人の人数と
(00:08:00) あとは他のキリスト教とか別の宗教の人数と
(00:08:04) 全部足すと何人ぐらいになるかって言うと
(00:08:09) 日本の人口をめちゃくちゃ超えてます
(00:08:13) つまりどういうことかって言うと
(00:08:16) 一人が二つとか三つとかの宗教を
(00:08:19) 持っているっていうことですね
(00:08:22) だからこれもやっぱり
(00:08:25) 今まで話したように
(00:08:27) 日本人に多い考え方で
(00:08:29) 特定の宗教には縛られない
(00:08:32) 自分は日本人だから神道だけど
(00:08:35) でも日本には仏教のものも多いし
(00:08:38) 仏教の考え方っていうのも
(00:08:41) すごく昔から日本に根付いている
(00:08:44) 根付いているって
(00:08:46) 要するにその考えがみんなに受け入れられて
(00:08:49) そしてそれが当たり前になっているっていうことですね
(00:08:53) だから自分の宗教は神道でもあるけど
(00:08:56) 仏教でもあるっていう人がすごくたくさんいるっていうことですね
(00:09:02) さてこんなのが日本人の神道とか
(00:09:05) 宗教に対する考え方です
(00:09:08) もちろん日本人全部がこうだっていうわけじゃないですけど
(00:09:12) でもさっきも言ったように
(00:09:15) 日本には2つ以上の宗教を持っているっていう人がいるっていうデータもあるので
(00:09:21) やっぱり俺と似てる考え方の人は
(00:09:24) すごく多いんじゃないかなと思います
(00:09:27) 皆さんの国ではどうでしょう
(00:09:30) 日本と同じように
(00:09:31) あんまり一つの宗教に縛られずに
(00:09:35) 自由にやっているっていう人は結構いるんでしょうか
(00:09:39) 皆さんの国でどんな様子なのかぜひ教えてください
(00:09:44) 他にも今日のエピソードの感想とか
(00:09:47) あとは他に何か聞いてみたいこととかあったらぜひメッセージください
(00:09:52) 皆さんからのメッセージ待ってます
(00:09:55) じゃあ今日はこの辺で終わります
(00:09:57) さようなら
