ep. 025 - お葬式＆結婚式(N3)

(00:00:00) みなさんこんにちは、ともです これは日本語を勉強している人のためのボッドキャストです
(00:15:14) ちなみに結婚式もあの日本の神道のやり方 教会じゃなくて神社とかでやるやり方っていうのもありますが
(00:15:26) ちょっとねあの俺の周りではそれをやる人が全然いなかったので それをその結婚式をどうやってやるかっていうのは
(00:15:35) あの俺もあまり詳しく説明できないのですみません今日は そっちのお話はしないでおきます
(00:15:43) 気になる人はあのインターネットで google さんに聞いてみてください
(00:15:51) はいじゃあこんなのが日本のお葬式と結婚式についてのお話です どんなことをするかっていう話ですね
(00:16:02) 日本に住んでいる人は もしかしたらこれから日本人のお葬式と結婚式に呼ばれることがあるかもしれません
(00:16:12) その時はあの俺の話だけじゃああんまり細かいことはわからないと思うのでもう少し 詳しいことを
(00:16:21) 本で読んだりとかインターネットで調べたりとかして しっかり準備をして言ってください
(00:16:27) あまり役に立たないポッドキャストですみません お葬式とか結婚式っていうのは本当にもう国によってやり方が全然違うと思います
(00:16:40) 皆さんの国の独特なやり方 他の国とは全然違うやり方などがあったらぜひ教えてください
(00:16:50) 他にもこのポッドキャストの意見とか感想があれば お気軽にご連絡をください
(00:16:57) twitter インスタメールなんでも大丈夫です 皆さんからのメッセージでこのポッドキャストがどんどん良くなります
(00:17:04) ぜひお願いします それじゃあ今日はこの辺で終わりにしましょう皆さんさようなら
