ep. 045 - カルチャーショック 台湾編(N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:22) テーマはリクエストすることもできます。リクエストがある人は sns やメールなどで連絡をください。みなさんからのメッセージ待ってます。
(00:00:32) さて今日は
(00:07:05) この部屋についてもやっぱりちょっと日本と違うなって思ったのは 台所の他になかったものでお風呂
(00:07:15) 風呂がないんですよね 日本人は風呂が好きだから
(00:07:20) そんなにびっくりっていうことでもなかったんですけどね 他の国ではそんなに日本人みたいに毎日風呂には入らないっていうのは知ってたから
(00:07:30) でもやっぱり 初めてアパートに行って風呂がなかった時はちょっと残念でしたね
(00:07:37) なかなかお風呂に入れないなぁと思って
(00:07:41) 他にも家の中のもので日本と違うなって思ったことを一つ 思い出したんですけど
(00:07:47) トイレ トイレのドアについてなんですけど
(00:07:52) 台湾って結構トイレのドアを開けておきますよね これ多分俺のいた学校だけじゃないと思うんですけど
(00:08:02) トイレのドアが閉まっているとそれは中に人がいるっていうサインだから 誰もいない時はトイレのドアは開けといてくださいっていうふうに言われたんですよ
(00:08:13) 日本だと逆でトイレのドアを使ってない時に開けたままにしとくのはだらしがないっていうふうに あの
(00:08:21) 俺も子供の時とかにね言われてたんで これもなんか日本と違うんだなぁというふうに思って印象に残っていることの一つですね
(00:08:31) さあそれじゃあね他に 台湾で仕事をしていてちょっとびっくりしたこと
(00:08:38) 仕事をしていてっていうか仕事についてびっくりしたこと まずはね仕事の時の態度
(00:08:47) 態度って言っていいのかなぁ まあちょっとこう日本と違うなって思ったのが
(00:08:53) 例えばコンビニの店員さんとかあとはまあ飲食店の店員さんとかね お客さんがいない時に普通に携帯見たりとか
(00:09:04) あとはご飯食べたりとかしてるんですよね でお客さんが来たらあの接客をするっていう感じで
(00:09:13) 特にねこう夜中とかそういう本当に人が少ない時間帯ですね これ日本でやったら絶対怒られるんだろうなぁって思いながら見てましたけど
(00:09:24) まあある意味合理的っていうか いや何にもやることないんだったらね別にいいんじゃないかなとも思うんですけどね
(00:09:33) 日本人もそのぐらいリラックスして仕事できたらいいなぁと思いますけど あと他にねあの自分が仕事してて
(00:09:42) あのびっくりしたのは台湾って 仕事中に寝ていいんですよね
(00:09:48) 仕事中っていうかまあ休み時間 昼休みとかねご飯食べた後とか休み時間にみんな寝るんですよね
(00:09:58) 俺の場合普通の会社とは違ってその日本語を教える場所だったから 休み時間っていうか授業の合間
(00:10:06) 授業がない時間に 休憩で寝るっていうことができたんですけど
(00:10:12) 初めてねその話を聞いた時ちょっとびっくりしました その学校に行った時に
(00:10:19) あの もしねこう
(00:10:22) 勤務時間が長くて疲れてたら休み時間とかに寝ていいですからねって言われて それ初めて聞いていやいやいやそんな職場で寝るなんて何言ってんのって思ったんですけど
(00:10:35) 寝るんですよねみんな なのであの
(00:10:39) これもカルチャーショックの一つですね 最初はね俺も職場で寝るなんてそんなこととんでもないって思ってたんですけど
(00:10:49) まあ台湾の生活長くなって慣れてきたら 寝ないで仕事するのは疲れるなって考え方変わりました
(00:10:58) 今はまた日本に住んでるからその昼寝することはできないんですけど 台湾に住んでる時はもう疲れたら寝るっていう習慣に変わっちゃったので
(00:11:08) 日本に帰ってきた時はちょっと大変でした あと他にね仕事で言うと台湾って夜型の人多いですよね
(00:11:19) 日本の生活習慣と他の国の生活習慣で違うことの一つとして やっぱり時間っていうものあると思うんですけど
(00:11:30) 台湾は夜型 夜に活動する人がすごい多い
(00:11:35) みたいですねみたいですねというか多いです なので日本と違ってお店の空いてる時間とかもねすごい遅かったですね
(00:11:46) 日本だとデパートとか 夜ね7時とか8時ぐらいにはもうみんな閉まっちゃうんですけど
(00:11:54) 台湾だと9時とか10時とか遅い時間まで空いてるお店がすごい多かったです なのでねこれもびっくりしました
(00:12:02) こんな遅い時間にまだお店空いてんのって思いました で
(00:12:07) あのじゃあ朝は始まるの遅いかっていうと早い店もあるんですよね これはさっき言った食生活の食生活っていうか食習慣というかそこの違いだと思うん
(00:12:20) ですけど 台湾て外でご飯食べるから朝ごはんの店がすごい朝早くから空いてますね
(00:12:28) 朝5時ぐらいにお店に行って空いてるからそれもびっくりしました
(00:12:33) これ他の国ってどうなんでしょうね 日本だとお店っていうとまぁだいたい10時が多いですかね
(00:12:41) 早いところだと9時とか 飲食店だとあの
(00:12:46) 朝のモーニングメニューとかやってるとこだと朝7時とか8時ぐらいに空いてるところも 結構ありますけどね
(00:12:54) で夜は やっぱりその飲食店で遅くまで空いてる店っていうのもあるけど
(00:13:01) まあ普通の買い物をする店だとデパートみたいなとこね そういうとこだと7時8時に閉まるところが多いですね
(00:13:10) スーパーはね最近は夜9時とか10時ぐらいまで空いてるところも多くなったかなと思います けど
(00:13:18) あとね最後にもう一つ今度は仕事じゃなくて遊びに行くときの習慣の違いなんですけど これもねぇ
(00:13:29) 最初は慣れませんでした これ他の国の人はどう思うのかっていうのすごい気になるんですけど
(00:13:36) 台湾で遊びに行くときに 知らない人が一緒にいるっていうことがあって
(00:13:44) それがねー びっくりでしたねカルチャーショックでしたね
(00:13:49) 知らない人がいるってどういうことかっていうと 例えば友達と遊ぶ約束をして
(00:13:57) じゃあ友達3人と一緒に遊ぶ約束して でその3人と待ち合わせをして
(00:14:04) その待ち合わせの場所に行ってみたら 3人じゃなくて5人いる
(00:14:11) であの行ってみて いやこの人誰って思ってたらその約束した人たちが
(00:14:19) この人俺の友達とか俺の彼女とか 一緒に行く約束はしてないけどでもあの誰かを連れてくる
(00:14:28) これがね他の日本人の同僚も言ってたんですけど 最初は慣れなかったっていうかびっくりしました
(00:14:37) これね俺の感覚だと約束した人だけが普通は来ることができるっていう感じがするん ですよ
(00:14:46) だから約束に含まれてない人 約束してない人をもし連れてきたかったらその日に一緒に俺の友達も連れてって
(00:14:55) いいとか彼女も一緒に行ってもいいっていうふうに確認してから連れてくる それが普通だっていうふうに思ってました
(00:15:05) 日本にいる時は なんでかっていうとやっぱり全然知らない人が一緒だと
(00:15:11) こう気を使うじゃないですか その人がどんなものが好きか嫌いかとかもわかんないから
(00:15:19) ちょっとこう 嫌なことを言ったらいけないなとか
(00:15:23) そんでその気を使いながらだとやっぱりこう遊ぶのもちょっと疲れるだろうなっていう のがあるから
(00:15:30) だから普通は 約束をした人だけっていうふうに思ってたんですけど
(00:15:36) そういうね俺の常識っていうものがもうことごとく覆されて 海外の生活っていうのは
(00:15:45) いろんな意味で 新鮮で刺激的でした
(00:15:50) さあそれじゃあねあのこんなのが俺の経験したカルチャーショックですが もちろん今日の話の他にもいろんなカルチャーショックってありました
(00:16:00) あったけどでも 結構ね忘れちゃったことも多いんですよね
(00:16:06) 旅行でちょっと行っただけとかだったらあの そのびっくりした印象がすごい強くて忘れられないと思うんですけど
(00:16:14) そこに2年とか3年とか長い間住んでるとだんだんそれが普通になって もうね何が普通で何が普通じゃないかって忘れてきちゃうから結構ね
(00:16:26) あの 自分でも
(00:16:29) カルチャーショックだったっていうのがあんまね はっきり覚えてないんですよ
(00:16:35) なのでねあのこの話を聞いている皆さんも日本に来てびっくりしたこととか 他の国の人が来て自分の国でこんなことをしてたっていうびっくりしたこととか
(00:16:46) そういうカルチャーショックが他にもあったらぜひ皆さんの話を聞かせてほしいと思います はいそれじゃあ今日はねこの辺で終わりにしたいと思います
(00:16:55) 他にも皆さんが聞きたい話とかあったらぜひメッセージを送ってください 待ってます
(00:17:01) それじゃあさようなら
