ep. 195 - おすすめの漫画6(N2)

ん
皆さんこんにちはと思うですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
でこのバンドがね最初は全然有名じゃないんですけどでもそのバンドのメンバー あのギターとベースとドラムとボーカルと
みんな一人一人がねすごい あの個性的で才能がある人で最初は目立ってなかったんだけどどんどんどんどんね
あの上手になって有名になっていくんですけどただやっぱり あのすんなりとね
先には進めないんですよ敵がいるんですよ 敵っていうのは要するにそのバンドがあの有名になるのを邪魔する人ですね
そういう人たちがいるんですけどでもねあの いろんな邪魔とか障害とかを乗り越えながら
自分たちの音楽を続けていくで最終的にはすごいね 有名なバンドになるっていうそういう話ですね
でねこれはねやっぱりすごい有名な漫画なんですけど 音楽の話って普通は音がない漫画だとね
音楽表現できないじゃないですか アニメとか映画だったらまあわかりますよ
ちゃんと音がわかるからねでも漫画には音がないでも 音がない漫画で音を表現してるって言ってすごく有名になった漫画です
確かにねこれあの 漫画なんだけどでも音楽を聞いているような気分になります
すごいねあの面白い漫画です出てくる人たちもかっこいい魅力的な人が多いので ぜひ読んでみてください
じゃあねもう一つ今日はねもう スポーツ音楽全然違うジャンルの話ばっかりなので最後も全然違う
最後はギャグ漫画の紹介になります えっとねこれはね
エンジェル伝説っていうタイトルの漫画で まあギャグなんですよ
要するに面白いこと面白い話がたくさんあるんですけど あの主人公は高校生の男の子
でねこの男の子がどんな人かっていうと 漫画のタイトルはエンジェルつまり天使なんですけどね
でもこの男の子の顔は悪魔なんですよ 要するにすごく怖い顔
すっごく怖い顔なんだけどでも心の中がエンジェルなんですよ つまりすっごい優しいすっごい親切
もう悪いことなんか何一つ考えてないすごい天使のような心を持っている優しい 男の子があのいろんなことをしていくっていうそういうお話ですね
で まあ何が面白いところかっていうと
周りの人はね その男の子の顔を見るとすごい怖いからこいつは悪魔みたいな顔だ怖い顔だ
きっと悪いやつに違いないと思って 例えばねあの学校の中では
ヤンキーってわかるかなヤンキーとかあと不良とかね要するに あの学校にはいってるけど全然真面目じゃなくて悪いことばっかりして
あの人と喧嘩したりとかねタバコ吸ったりとか授業行かないでどこ遊び行ったりとか そういうのを不良って言うんですけど不良たちがその主人公に喧嘩を売ってきて
で主人公はあの すごい優しい心を持ってるからね喧嘩を売られてもそれにあんまり気づかないんですよ
で気づかないで喧嘩を売られてでまぁ喧嘩だからね殴られたりするんですけど でもこの漫画の面白いところでその主人公って
すっごい優しくて全然不良じゃない真面目な人なんだけどでも実は喧嘩強いんですよ 本人は喧嘩をしているつもりがないんだけどでも実はすっごい運動神経が良くて
喧嘩しているつもりはないけどでも勝っちゃうっていうパターンですね であの本人は全然自分は不良じゃないと思ってて
で実際に優しい心の持ち主なんですけどでも周りの人がどんどん勘違いして あのあいつは不良だと思って喧嘩を売ってて喧嘩に負けて
で どんどんどんどんあの
その主人公が不良たちの中で偉い立場になっていっちゃうんですよ というお話なんですがでもね悪いことばっかりじゃなくて勘違いされるんだけどでも
最後にはその人がすごい優しい良い人だってわかってくれる人がどんどん増えていって で友達が多くなってそれであの楽しい高校生活が送れるっていうそういうお話です
なのであのまあハッピーエンドの 読んでてね気分のいい漫画だと思うので読んでみてください
あの 日本のね高校生の生活
今の高校生と違うかなこの漫画もやっぱりね20年ぐらい前の話ですから 古い高校生の生活ですけどでもある意味ね日本の文化を知るいい機会にはなるかも
しれません なので日本の高校生の生活とかも
気になる人読んでみると面白いかもしれません はいじゃあこんなところで今日のお話は終わりにしたいと思います
俺の好きな漫画の紹介でした やっぱり日本人が読む漫画だと日本語も難しいとは思うんですが
今日なんか特にねあの スポーツと音楽とギャグといろんなジャンルの漫画だからいろんなものを読むとそれだけね
日本語も上手になると思うので日本語の勉強のためにもね いいと思いますから読んでみてください
はいじゃあ今日はこの辺で漫画の紹介終わりたいと思います またあの紹介したい漫画が出てきたらね
紹介したいと思いますので漫画好きな人は楽しみにしててください はいじゃあ今日今日はこの辺で終わりにしたいと思いますさようなら
