ep. 116 - JLPT公式問題集1の解説-N2文字語彙問題3,4(N2)

me
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
これは答えは4ですね分析と言います分析 分析っていうのはあの
漢字を見ると分っていうのはこれは分けるっていう意味ですね なので細かく分けてそして調べるっていう意味ですそれが分析これは様々な
データって言ってるので一つ一つのものをちゃんと調べたよく調べたという意味ですね えっとこの中で調べるっていう意味だとにの検査
これもね調べるという意味なんですがちょっと使い方が違います 検査っていうのは一つのものをよく調べるときに使う言葉です
なので例えばあの病院に行って病気とかがないかをチェックするっていう時には 検査なんですよ
で似てる言葉だと他にも調査っていうのを聞いたことがある人いると思います 調査の長っていうのは調べるっていう意味だし
調査の差は検査の差と同じ だからあの同じ意味なのかなと思うかもしれませんが調査っていうのは一つのものを
よく調べるんじゃなくて例えばいろんな人にアンケートを取ったりとかして そういうふうにいろんなデートを集めて調べるっていう意味なので検査とは使い方が
違います 調べるという言葉ねたくさんあるので気をつけてください
じゃあその次今度17番みましょう えっとこれは答えは4ですねブラブラするっていう言葉です
ブラブラするっていうのは何かこう理由とか目的がはっきりしてないけどでもいろんな ところを歩き回るっていう意味ですね
なので街をブラブラするで なんかこう特にしたいこととか目的はないけどでも街を歩き回ってるっていう
そういう意味です ちなみにブラブラするってその街を歩き回るだけじゃなくて
あの ちゃんと会社に入らず定食につかずにアルバイトとかしながら自分のやりたいことを
やってるっていうそういう人にもブラブラっていう言葉を使ったりします だから会社とかに入らないであの何かやりたい仕事とかもちゃんと決めないで
とりあえずお金がもらえればいいやっていう感じで生活している人ですね そういうのもブラブラって言ったりします
8ついでに他の一番グラグラ8グラグラっていうのは安定してない ちゃんと固定されてなくて動いてしまうようなものですね
82番ガラガラとっても空いていることお店とか乗り物の中にほとんど人がいない そういう時にガラガラ
3番バラバラ8バラバラっていうのは一つにまとまってないことですね はいじゃあその次いきましょう
8今度は18番ですね 8これは活気に溢れているっていう言い方を覚えてください
1ですね活気 活気があるっていう言い方をします
8この木は雰囲気の木と同じです 8で活気のかの方生活の活っていう感じですけどこれは元気っていう意味があるので
元気な雰囲気それが活気があるです ちなみに同じ意味の活だとあのニアにの活発とかですね
と活発っていうのは柿と似てるんですけどこれは雰囲気じゃなくて人の性格ですね あの人はどんな人ですかって言った時にすごい活発な人ですよっていうふうに
言ったりします じゃあその次19番
819番答えは紙が詰まるですね 82番です詰まって
8この詰まるっていうのは今までスムーズに動いてたのが途中で間に邪魔のものがあって 動かなくなっちゃうっていうのが詰まるの意味です
8例えば トイレとかですかねトイレの中に紙以外のゴミとかを捨てると水が流れなくなるとか
あとは鼻が詰まるなんていうのもみんなよくわかると思いますが 風邪をひいた時に鼻から息ができない
あの中の鼻の中に空気が入らない あの花の中に水とかがあってで空気が通らない
これも鼻が詰まると言います
8他のやつ 1は潜るですね潜るこれ水の中に入ることです
8さんは沈む沈むっていうのは水の中に入るという意味なんですけど あの自分で入りたくて入るんじゃなくて溺れたりとかしてで中に入ってしまう
浮かびたいけど浮かぶことができなかったという時に沈むを使って自分で中に入り たいと思ったら1の潜るを使います
84は埋まるこれは もしかしたら埋めるっていう言葉はみんな聞いたことあるかもしれませんが土の中に入ることですね
潜るとか沈むっていうのは水で埋まるっていうのは土の中によく使います じゃあその次に10番
えっとこれは反映するっていう言葉なので1ですね 反映
8反映するっていうのは何かの特徴とかをよく表しているっていうことです なので
8問題だと小説ですね今の時代の特徴っていうものがよくその小説に現れてるって いうとこれは
反映していると言います なんか似てる感じでにの言葉もありますがこれは法運営
a は同じですね方は放送するっていう時の方なので 方営っていうのはそのテレビとかを放送すること
じゃあその次に11番 えっとこれは窓の外を見てるんですけどその時の様子ですね
答えは1ぼんやりですぼんやり あのなんか何も考えてないようなそんな様子です
それがぼんやりです えっと他の見るとねちょっとわかりにくい言葉が多いかもしれませんが
にはふんわりふんわりっていうのは柔らかい様子ですね 3はうっすらはっきりしてない何かちょっと薄いもの
そういうのがうっすらです でしっとりっていうのは触った時にちょっと柔らかくて少し濡れているようなものですね
それがしっとりと言います じゃあ最後22番
えっとこれは 答えは
8にですね強みです強みっていうのはその人の強いところですね とこの身をつける形容詞にいい形容詞に身をつけるのは
あの いい形容詞が名詞に変わるんですけどいい形容詞を名詞に変える方法って多分みんな
2つ知ってると思うんですよ 一つがさをつける高さとか重さとかですね
で2つ目がこの3強みとか高みとかありますね えっとどちらもいい形容詞が名詞になるっていうのは同じなんですけど
さとの違いさを使うのはなんか猫 測るときなんかによく使います数字にできるものですね
なので例えば荷物を送るときに大きさと重さを測りますなんて言ったら大きさ 縦が何センチ横が何センチってわかるし重さも何キロっていうのがはっきり数字で
表すことができます が身を使うとあの数字にはできないようなものです
だから彼の強みって言ったら彼の強いところっていう意味なんですがこれは 数字にしてあの測ったりすることができないですね
だから数字にすることができないものっていうと他にも例えば人の気持ちとか 感情とかですね
そういうのもあの えっと形容詞を名詞にしようとするとさじゃなくて身を使うことが多いです
はいじゃあここまでが問題4までですね えっと問題5と6これも
また全部やるとちょっと時間長くなっちゃうのでまぁ今日は1回ここまでにしておき ます
できるだけね次のも早く作るので 皆さんも頑張って勉強してください
はいじゃあ今日はこれで終わりますさようなら
