ep. 148 - 狂言(N4)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:04:05) ブスにはその大きな家の人とまあつまりお金持ちの人と あとはその家で働いている仕様人
(00:04:15) 仕様人っていうのは家の中のいろいろな仕事をしてくれる人 その
(00:04:21) うちの人と仕様人との話です ある日そのうちのうちの人主人って言うんですけど
(00:04:30) 主人が砂糖を買うんですよ 砂糖って今はねみんな
(00:04:37) あの簡単に買うことができますが昔はなかなか買うことができない とても高いものでした
(00:04:45) みんななかなか食べることができないからとても高いし あの食べた時にはとても美味しいって思うすごくいいものだったんです
(00:04:55) その砂糖を主人が買って家に置いておくんですけど でも
(00:05:01) その主人がちょっと用事があって出かけなければなりませんでした 遠くに出かけるから仕様人の子供に留守番を頼むんですけど
(00:05:13) でも仕様人は子供だから 主人はその子供の仕様人が砂糖を全部食べちゃうんじゃないかって心配なんです
(00:05:26) それで 主人が出かけるときに仕様人の子供に嘘をつきます
(00:05:32) 砂糖のことをこれはブスという毒だから 絶対に食べてはいけない
(00:05:40) この毒は近くにいるだけでも死んでしまうから絶対に近くに行ってはいけない と嘘をつきます
(00:05:49) それで出かけるんですがでもその仕様人の子供は なんかねこう
(00:05:55) そのさっき毒って言われたブスがすごく気になるんですよ どんなものか見てみたい
(00:06:02) それでブスの近くに行ってブスを見てみたら 毒なんだけどでもなんか美味しそうに見えると思って
(00:06:13) それでちょっとねちょっとだけブスを食べてみるんですよ そしたら
(00:06:19) 毒って言ってたはずなのにすごく美味しい あ、これは毒じゃなくて砂糖だって気づきます
(00:06:29) それで砂糖って気づいて昔は砂糖ってなかなか食べられなかったから 美味しくて全部食べちゃうんですよ
(00:06:37) 主人が食べられないように毒だって嘘までついた すごく大切な砂糖を全部食べてしまって
(00:06:45) どうしようってちょっと心配するんですけど でもその仕様人は頭が良くて
(00:06:53) 怒られない方法を考えます じゃあその怒られない方法ってどんなものかって言うと
(00:07:01) びっくりするんですけどね その仕様人は主人が大切にしてたものをたくさん
(00:07:09) 壊してしまいます
(00:07:12) どうしてだと思いますか この仕様人は主人の大切なものをたくさん壊して
(00:07:20) そして 主人に嘘をつくんです
(00:07:24) 留守番している時に主人の大切なものを間違って壊してしまいました それで間違って大切なものを壊したから
(00:07:37) 自分はとても悪いことをした 自分は悪いことをしたから死ななければならないと思いました
(00:07:44) それで死ぬために 毒の物をたくさん食べました
(00:07:51) と嘘をつきます そうすると主人は
(00:07:56) あの 自分はね
(00:07:59) 毒だっていうふうに嘘をついたから その仕様人のことを起こることができないんですよ
(00:08:06) 仕様人は悪いことをしたから謝るために死のうと思った それで毒を食べたと言ってるんです
(00:08:14) 主人はあれは嘘だったっていうのはちょっと自分からは言えないからそれで 残念だったけどでも起こることができないっていうそういうストーリーです
(00:08:26) これがブスっていう話です なんかねこの話はアジアのいろいろな国に似ている話があるそうですね
(00:08:37) ですからもしかしたら皆さんの国にもちょっと似ている話があるかもしれません
(00:08:46) さあこれが俺の知っている狂言の話です 狂言ができたのは
(00:08:53) すごく昔ですね えっと多分1000年ぐらい前かな
(00:08:59) そのくらい昔からある日本の伝統的なものです だからすごくいいものだと思うんですが
(00:09:09) でも狂言で使う日本語は 1000年前の古い日本語ですから
(00:09:16) 俺もね実はちょっと狂言を見てもわからない言葉がたくさんあります だから外国人が狂言を見るのはちょっと難しいかもしれませんが
(00:09:29) でも 日本語がね上手になったら1回ぐらいは見ると日本の文化がわかるからいいかもしれませんね
(00:09:42) はいじゃあ今日は日本の伝統的な文化 狂言についてでした
(00:09:48) 日本の文化に興味を持ってくれるのはとても嬉しいので 他にも何か日本について聞いてみたいことがある人は
(00:09:57) リクエストとかメッセージとかね何か送ってください それじゃあ今日はこの辺で終わりにします
(00:10:05) さようなら
