ep. 039 - 日本留学(N4)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。リクエストがある人はTwitterやInstagramなどでメッセージをください。
待っています。
今日もリクエストをもらっています。 今日は
1年とか1年半だけ日本語学校に行って そして日本語が上手になったら大学に行くということもできます
俺の学校では2年勉強してそれから次の学校に行くという人が多いです でも
留学生じゃなくて留学じゃない別のビザで日本に来ている人もいます 例えばワーキングホリデーのビザなどです
ワーキングホリデーっていうのは 簡単に言うと
日本に来て自由に遊んだりアルバイトをしたりしてもいいですよっていうビザです ただしそれは1年だけ
1年でそのビザが終わりですから1年経ったら自分の国に帰らなければなりません だからワーキングホリデーのビザって
遊ぶことも学校に行くこともそれからアルバイトをすることも全部できるんですけど 1年だけですから
だから 2年間しっかり日本語学校で日本語を勉強したりその後に大学に行ったりということはできません
でも 1年だけでいいから
アルバイトとあとは日本語の勉強 どっちもやりたいっていう人にはちょうどいいビザですね
ただそのワーキングホリデーのビザをもらえる国の人っていうのは決まっていて 全部の国じゃありません
だから自分の国の自分の国は日本のワーキングホリデーのビザがもらえるかどうかというのは インターネットですぐ調べられますから
興味がある人は調べてみてください
さてそれじゃあ今留学生とかワーキングホリデーの人が日本で生活すると どうなのかっていうところを
お金について中心に話しましたね 日本語学校の学費とかあとは日本で生活するためのお金とか
留学生は1週間に28時間だけですがアルバイトをしながら 日本で生活ができます
ワーキングホリデーの人は28時間じゃなくてもっとたくさんアルバイトができますから 自分の国であんまり貯金しなくても日本で生活できるかもしれませんね
でも ワーキングホリデーのビザは1年だけなので大学には行けません
1年だけ日本語学校に行くことはできますけどね
じゃあその1年とかあとは留学生が2年 日本語学校に行って
どのくらい日本語が上手になるのか 自分の国で勉強するより日本語学校に行った方がいいのか
っていうと これは
人によります 人によるっていうのはつまり
1年だけですごく上手になる人もいるし 2年いてもあまり上手にならない人もいます
どうしてかというと どのくらい頑張って勉強するかで
どのくらい上手になるかが変わるからです
日本で勉強すれば誰でもすごく上手になるというわけではありません 日本にいても
学校の外に出たら全然日本語を話さないで 買い物する時もコンビニだけとか
友達と遊ぶ時も自分の国の友達とか あとは
英語とか他の言葉で話す友達だけとか そういう人は日本に1年いても2年いても3年いてもあまり日本語が上手になりません
ですから 日本に行ったら日本語上手になりますかとか
日本語学校って勉強するのにとてもいいところですよね っていうふうに聞かれることもありますが
それは 人によりますみんな違います
一生懸命勉強できる人なら 頑張ることができる人なら
きっと上手になります 先生もいるし
日本の生活は周りに日本人がたくさんいるし 1年だけでもとても上手になると思います
でもあんまり頑張れない人は 日本に来ても上手にならないかもしれませんね
そこはちょっと気をつけてください ちなみに
日本に留学するならどこがいいですかと聞かれることも時々あるんですけど 俺のおすすめは
特にありません あのどこでもいいと思います
生活スタイルっていうのはみんな違いますよね 生活スタイルっていうのはどんな生活をするかっていうことですけど
生活の仕方が違うと一番いい場所も変わりますから 俺の一番おすすめの場所っていうのはありません
ただお金がある人は 東京に行ったら
いろんなことができるから 暇にはならないと思います
田舎の方だとやっぱりできないことっていうのもたくさんあるから やりたくてもできないっていう
ちょっとつまらないこともあるかもしれません ですから
お金がある人は東京 あんまりお金がない人は田舎の方の生活がいいかもしれませんね
でも一つ注意することがあります 日本の田舎の方は
ちょっと日本語が難しいかもしれません 普通
外国の人が勉強している日本語は東京のあたりで話している日本語です でも東京から遠くに行くとちょっと教科書の日本語と違う日本語を話して
います 例えば大阪の方だと
大阪弁とか関西弁っていう 東京と全然違う話し方をしています
ですから 自分の国で日本語の教科書で勉強してそして大阪の方に行った人は最初はちょっと
言葉が難しいと思うかもしれません なのでそこは注意ですね
大阪は東京より 物価も安いし
あとはなんとなく俺のイメージだけど美味しい食べ物 たこ焼きとかお好み焼きとか
そういうのもたくさんあるから だから
大阪もおすすめですけどね 大阪にも遊ぶところとかお店とかはたくさんあるし
あの usj っていう大きい遊園地もあるし
だから 絶対暇にはならないと思います
田舎の生活よりも楽しいんじゃないかなと思います 言葉の違いもそこに住んでそこで友達を作ってたくさん話していたら
きっとすぐ慣れると思いますから多分大丈夫でしょう さあそれじゃあこれが日本での生活です
日本で勉強する留学するっていうことですが 留学生の生活とかあとは何か他の留学についてもっと細かいことが聞きたい
という人がいたら またリクエストをください
外国の生活って大変だと思いますけどでも楽しいこともたくさんありますから 留学したい人は頑張って
勉強と あとは貯金ですね
貯金してそして日本に来てください それじゃあ今日はこの辺で終わりにしましょう
さようなら
