ep. 129 - 好きな音楽 (N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:04:09) 例えば特にアイドルの歌とかそういうのだと 歌詞の中に結構ねたくさんカタカナの言葉とか
(00:04:19) あとは英語とかを使ってると思うんですけど こういうのってね俺はあんまり好きじゃないんですよ
(00:04:28) なんかね安易にその英語とかの言葉を入れるんじゃなくて やっぱり日本語は日本語だけで
(00:04:37) 日本語にしかできない表現で 歌詞を作るとすごい上手だなとかすごい綺麗だなっていうふうに思うんですよ
(00:04:46) で福山の歌詞ってやっぱりそういうのがすごい あの上手にできてるなっていうふうに思うので
(00:04:52) まあこの人はだから歌が上手だしそういう歌詞も綺麗だし上手だなということで 昔からね好きな人の一人です
(00:05:01) あとそうだねせっかくなのでまあこれは日本語のポッドキャストなのでもう少しだけ 日本人の俺が好きな人紹介しておきます
(00:05:10) えっとね一人で歌う人だったら最近だと米津玄師とかは有名ですね あのここに3年ですごい人気が出た人なんですけど俺も結構好きです
(00:05:21) この人はね歌詞難しいね日本人でも何言ってるかよくわからないところが結構あります まあ歌も上手だしでもこの人はやっぱり
(00:05:31) なんだろう独特な 曲の雰囲気っていうの言うのかなそういうのがあるから
(00:05:38) ちょっとこう他の人たちと 違う感じがしてね
(00:05:43) この人だけの 音楽だなっていう感じがしてすごくねあのいいと思います
(00:05:49) やっぱりねこうジャンルが同じだとすごく似てる アーティストっていうのもいると思うんですよ
(00:05:57) 声も似てるとか曲の雰囲気も似てるとか だから大した特徴もなくて埋もれていってしまう
(00:06:05) 歌詞の人とかも結構いると思うんですけどこの人は 他の人と比べてちょっと違う感じがしますね
(00:06:13) なんて言えばいいのかねちょっと俺もよくわかんないんですけど なんかやっぱり独特の雰囲気があるんですよ
(00:06:20) あとはそうだなあの新しいバンドじゃないんですけど俺が昔から好きなバンドもう一 つこれはねロックだけどまぁそんなに
(00:06:29) リンキンパークみたいに激しいバンドじゃないんですがバンプオブチキンとか 日本では結構有名だと思います
(00:06:38) まあちょっとね俺の年齢がバレちゃいそうな感じもしますが バンプオブチキンは昔から好きですね
(00:06:45) 多分バンプオブチキンで一番有名な曲ってすごい古いんですけど あの天体観測っていう曲があるから
(00:06:54) これはねあの俺の世代だけじゃなくて結構 上の人も下の人も知ってるんじゃないかなと思うので
(00:07:01) 日本の歌何か聞いてみたいっていう人いたらねぜひ聞いてみてください はいってことで今日は俺の好きな音楽についてのお話でした
(00:07:12) まあ音楽って音楽が嫌いな人はそんなにいないと思うんですけど 音楽の好みとなると結構幅広いんじゃないかなと思います
(00:07:22) 俺はその激しいロックが好きだしそうじゃなくてクラシックとかの方がね よくってロックなんか好きじゃない嫌いだっていう人もいるとは思います
(00:07:31) まあ好みは人それぞれで 他の人の好みを否定することもないので
(00:07:38) 俺と好みが合わない人もたくさんいるとは思いますが もしね俺みたいにあの激しい音楽ロックバンドが好きな人がいたら
(00:07:49) さっき言ったコールドレインとかワンオクロックとかそういうのを聞いてみてください 他にも何か皆さんのおすすめの音楽とかがあったらぜひ教えてください
(00:07:59) 皆さんからのメッセージ待ってます それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
