ep. 155 - 学校の種類(N4)

(00:00:00) みなさんこんにちはトモです
(00:05:56) さあこれが日本人が行く学校ですね
(00:05:59) 小学校、中学校、高校
(00:06:03) そして短期大学、専門学校、大学
(00:06:08) 大学を卒業したら行きたい人は大学院に行きます
(00:06:13) あと他にはまあこれは学校っていうふうにはあまり言わないんですけど
(00:06:19) 自分のやりたいこととか趣味とか
(00:06:24) 自分の好きなことをもっとよく勉強したいとか練習したいとか
(00:06:30) そういう時に行くところもありますね
(00:06:33) 趣味のところだと、趣味を学ぶところだと
(00:06:37) 学校じゃなくてスクールっていう風に言う時が多いような気がします
(00:06:43) 例えば英語の会話を練習したいとかね
(00:06:48) 旅行でよく英語を使うからもっと英語の勉強がしたいっていう時は
(00:06:53) 英会話スクールに通ったりする人がいます
(00:06:59) あとは
(00:07:02) 趣味じゃないんですけど
(00:07:04) いい大学に入りたいと思っている人が
(00:07:07) 学校の勉強だけじゃ足りないから
(00:07:11) 学校が終わった後にもっと勉強するところなんかもあります
(00:07:16) 塾とか予備校とかですね
(00:07:21) このなんとかスクールとか予備校とかは行きたい人だけなので
(00:07:26) 行かなくてもいいという人は行きません
(00:07:30) あと学校じゃないけど小学校の前に行くところもありますね
(00:07:36) これは学校じゃなくて幼稚園と言います
(00:07:40) 幼稚園は3歳からですね確か3歳から行くところ
(00:07:46) 幼稚園が終わったら小学校に入ります
(00:07:50) あとは
(00:07:51) 親がお父さんとお母さんがどちらも仕事をしているっていう時は
(00:07:59) 0歳から行くところもあります
(00:08:02) これは保育園って言うんですけど
(00:08:06) そのお父さんとお母さんがどっちも仕事をしているから
(00:08:10) 仕事がある時、平日の昼とかに子供の世話ができない人が
(00:08:17) 自分の子供を保育園に連れて行って
(00:08:20) そこで世話をしてもらうっていうところです
(00:08:24) 保育園は本当に生まれてからすぐに行くこともできるので
(00:08:30) 0歳から小学校に入るまで
(00:08:35) だから0から6歳までですね
(00:08:38) 幼稚園はまあ行かなくてもいいので
(00:08:41) 幼稚園じゃなくてずっと保育園っていう人もいます
(00:08:46) はいじゃあこれがですね日本のいろいろな学校です
(00:08:51) だいたい大学に入るまで勉強しなければならない時間っていうのは
(00:08:57) どこの国でも12年とか
(00:09:01) あとは時々11年の学校が
(00:09:03) 学校じゃない
(00:09:04) 11年の国がありますね
(00:09:07) だから日本と同じところも結構多いと思いますが
(00:09:11) 時々小学校6年で中学と高校は一緒で同じ学校に6年とか
(00:09:19) 小学校は5年で中学校が4年とか
(00:09:25) あの少し同じ学校に通う時間が違うところもありますね
(00:09:32) 日本人の友達ができたら自分の国と日本の違いとかを話してみると面白いかもしれませんね
(00:09:40) さてじゃあ今日は日本の学校について
(00:09:44) あのいろいろ教えてくださいっていうことだったので
(00:09:47) 日本の学校について話しましたが
(00:09:49) 他にも何かいろいろなリクエストがあればぜひ送ってください
(00:09:54) リクエストをするときはどのくらいのレベルがいいかも書いてくれると
(00:09:59) それに合わせて作りますので
(00:10:02) もし何か希望があったらそれも教えてください
(00:10:06) それじゃあ今日はこの辺で終わります
(00:10:08) さようなら
