ep. 058 - 日本人形(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:07:02) その理由がわからなくて あのずっと大事に持ってた人形の髪の毛が
(00:07:08) 長くなってたら それは怖いですよね
(00:07:13) 多分初めてその髪が長くなったのに気づいた人は すごくびっくりしたと思うんですよ だからこの話がきっと有名なんだと思います
(00:07:24) でまぁ本当はその人形は 人じゃありませんから髪は伸びませんが
(00:07:32) 髪長くなっちゃってですごい怖い でそれで有名な話になって
(00:07:38) で日本人みんなそういう話を知ってて だから日本人形は怖いっていうイメージ
(00:07:45) これが結構あると思います あのこれはねー
(00:07:50) google のイメージ検索とかでもわかると思うんですけど 日本人形って
(00:07:58) google で検索すると結構 怖いイメージが出てきます
(00:08:05) 怖い画像ですね 夜に一人で見ないほうがいいですよ本当に
(00:08:11) まあもともとねあの可愛く可愛い女の子を作っているわけですから それが怖いっていうのもちょっと失礼な話ですけど
(00:08:21) でも日本だけじゃなくて人形が動くっていう怖い話って結構ありますよね 有名な映画だと
(00:08:31) なんだっけあのチャッキーだっけ 人形がナイフを持って人を殺すっていう怖い映画もありましたね
(00:08:40) だから人形ってすごくよく作られているとても綺麗なものもたくさんあると思いますが 時々人の形をしてるっていうのも理由の一つだと思いますが
(00:08:53) 怖いイメージを持ってしまうこともある それが人形ですね
(00:09:01) さてこの日本人形ですがまあ今日話したのはとりあえず3種類 あの出ましたけどコケシとヒナ人形とあと一松人形ですね
(00:09:12) でも他にもいろんな日本人形ってあるので 人形が好きな人はねあの日本に遊びに来たらぜひお店で探してみてください
(00:09:22) 日本人は細かいものを作るのが得意なので すっごく小さいものがすごーくリアルに作られているものっていうのもたくさんありますから
(00:09:34) ぜひ自分の気に入る人形を探してみてください ただ細かいところまでよく作られているものはすごく綺麗ですがすごく高いので
(00:09:46) お財布の中をしっかり確認してからお店に行ってください はいそれじゃあ今日は日本人形についてですが人形だけじゃなくて日本人って
(00:09:58) あのさっきも言ったけど細かいものを作るのがすごく得意な人が多いと思うので 人形だけじゃなくてね日本に遊びに来たら
(00:10:10) 木とかで作ったいろいろなものっていうのを探してみてみてください 結構面白いものとかがあると思います
(00:10:20) 特に山の方とかねそういうところに行くと木で作ったものなんかはたくさん売ってると思う ので
(00:10:28) 日本の有名な観光地といえば温泉がありますね 温泉って山の方にあることが多いのでそういうところに行ったらぜひいろんな買い物を
(00:10:40) してみてください はいそれじゃあ今日はこの辺で終わりにしたいと思います
(00:10:45) 日本人形 すごくよくできている綺麗なものとか可愛いものもあるけど
(00:10:51) でも時々怖いイメージもあるそれが日本人形ですね 他にも皆さんも何かリクエストがあったらぜひメッセージを送ってください
(00:11:02) 皆さんからのメッセージ待ってます それじゃあさようなら
