ep. 029 - ミニマリズム(N2)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:12) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:07:57) 日本人がよく着る服って言うと 昔はあんまり多くなかったんだけど最近はユニクロとかGUとか
(00:08:08) その服がすごく多くなったような気がします でこのユニクロとかGUの服っていうのは本当にシンプルです
(00:08:18) あんまり絵とかも書いてなくて色が一つだけみたいな服 そして日本人は
(00:08:25) あの もったいないっていう言葉は結構世界で有名らしいんですけど
(00:08:32) その物を無駄にするっていうことに対して 抵抗があるっていうか
(00:08:38) 無駄にするのは良くないっていうような考えが強いので なので
(00:08:44) あんまり物を買いすぎず少ないもので
(00:08:50) できるだけ良い組み合わせを探して そして良いものを作るっていうのが
(00:08:57) 日本人の好みに合ってるのかなというふうにちょっと思いました 思いましたっていうだけで完全に俺の意見ですけどね
(00:09:07) 本当に日本人がみんなそう思ってるかどうかわかんないですけど
(00:09:13) とにかくそれがねこのミニマリズムっていうのを聞いて俺が思ったことです
(00:09:22) さあこのミニマリズム 最初に言った通りちょっと難しいテーマですね
(00:09:28) なんで難しいかというと俺がミニマリズムっていうものについてあまりよく知らないから だんだん喋ることがなくなってきたっていうことですね
(00:09:39) まあでももうすぐ10分くらいになるのでちょっと短めですけど あのすいませんが今日はこの辺で終わろうかなと思います
(00:09:49) 正直な話やっぱり自分の文化って あの自分の国の文化って
(00:09:56) 普段あんまり 意識して考えないと思うんですよ
(00:10:02) なんでかっていうと自分にとってはそれが普通だから 普通すぎて
(00:10:09) その文化の中に文化の中にいるのが当たり前すぎて 特別だっていう感じがしないからだからそれについてあんまり考えない
(00:10:21) 人が多いんじゃないかなと思うんですよ 俺なんかは外国の人とよくたくさん話すし海外にも住んでたことあるから
(00:10:31) だから 外から
(00:10:33) 外国から日本を見たことがあるから それでこう日本の文化って他の国の人から見るとこんな風に見えるんだなっていう風に
(00:10:43) びっくりしたこととかもあるんですけど それでもやっぱりまだまだ他の国の人から見ると日本はどうなのかっていうのは
(00:10:53) わからないことがあるし わかんないことがこんなにたくさんあるっていうのもちょっと
(00:11:00) しかも俺は日本語の先生なのにこんなに わからないっていうのはちょっと恥ずかしいんですけど
(00:11:07) でも今日はそのミニマリズムっていうイメージを 日本は外国の人に持たれてるっていうのがわかったので
(00:11:17) ちょっといい勉強になったような気がします こうやっていろんな人にテーマのリクエストをもらうとこのポッドキャストを聞いてる
(00:11:26) 人だけじゃなくて俺も勉強になるので面白いですね さあそれじゃああのリクエストをくれた
(00:11:35) バーターさんにはちょっと申し訳ないんですけど こんな風に俺が知らないことについてのリクエストをもらうとあんまり話せないことも
(00:11:45) ありますが それでも
(00:11:47) あのいろんなテーマについて話ができるとかいろんなことについて考えることができる っていうのは面白いと思うので皆さんも何か
(00:11:59) テーマのリクエストがあったらいろいろ送ってください それじゃあ今日はこの辺で終わります皆さんさようなら
