ep. 073 - JLPT公式問題集1の解説-N3文法問題1(N3)

(00:00:00) ん
(00:08:34) 2番ですね がっているの形にしないといけません
(00:08:39) でまぁこのがっているっていう言葉の使い方ちょっと注意なんですけど 今だけっていう時にはがっているているの形にしますが今じゃなくっていつも
(00:08:51) っていう時にはているの形にしないでがあるの形にします まあ例えば
(00:08:59) あの子はいつもお菓子を食べたがるとか 食べたいっていうのも気持ちの言葉なので他の人には使えないんですが
(00:09:09) いつもお菓子を食べたいと思っている子供だったらあの子はいつもお菓子を食べ たがると言います
(00:09:17) で今だけっていうんだったらあの食べたがっている っているの形にしましょう
(00:09:25) じゃあその次今度は8番ですねえっとこれは敬語の問題です これは自分が先生の部屋に行くと言っているので
(00:09:36) 自分が行きますって言うとき謙譲語を使ってうかがうを使いましょう 答えは3番ですね
(00:09:44) んでえっと他のは 124全部これは謙譲語じゃなくて尊敬語の形になっているので全部ダメです
(00:09:54) 自分が行くんだから自分について話すときは謙譲語を使いましょう
(00:10:01) じゃあその次ですね 8
(00:10:04) 今度はこれはアドバイスをするときの表現です 他の人に何か教えてあげるという時の言い方ですね
(00:10:12) じゃあそれは答えどれかって言うと何かをしたらどうでしょうかって言います 答え4番ですね
(00:10:21) んであのまあこれは a の人がどこかいいところありませんかって聞いているので 教えてあげるアドバイスをあげるからたらどうでしょうの形です
(00:10:33) このアドバイスをするっていう日本語の文法は多分皆さん他にもした方がいいとか しない方がいい方がいいっていうのを勉強したことがあるかもしれませんが
(00:10:48) 8方がいいっていうアドバイスの使い方はちょっと注意であの 2つのもののうちどちらがいいですかっていうアドバイスだったら方がいいと言ってください
(00:11:01) 2つっていうのは例えば 8病院の話だったら病院に行くかそれとも行かないか
(00:11:08) どっちがいいかっていう時ですね 例えば友達が
(00:11:13) あの最近体の調子が悪いって言ったら じゃあ早く病院に行った方がいいよ
(00:11:21) 今その人は病院に行ってないけどでも早く行った方がいい 行くか行かないかのどっちかだからそういう時には方がいいを使いましょう
(00:11:31) ちなみにこの9番の問題の 1と2と3は全部何かをお願いするときですね
(00:11:40) させてくださいっていうのもでもいいでしょうか もさせてほしいのですがもう全部自分が何かしたいときのお願いの言い方です
(00:11:50) これをしてもいいですかっていう意味ですね
(00:11:55) じゃあその次10番 えっと今度は
(00:11:59) だけとかほどの使い方ですね えっとこれは
(00:12:04) 4番のだけでです これはだけと後はでを一緒に使ってますね
(00:12:13) だけの意味は他のものはありませんという意味ですね 例えば私のクラスの学生は中国人だけですって言ったら
(00:12:23) 他の国の人はいませんという意味ですね でえっとこの問題は
(00:12:30) このお菓子の作り方についてですがそのお菓子の中に入っているもの 小麦粉と卵と砂糖他のものは入っていませんという意味です
(00:12:40) でもう一つ助手の使い方がとでですがここではでですね 何を使うかっていう時の言葉はでです
(00:12:52) この何を使うかっていうのは道具の時もそうだし料理の材料の時もそうです 道具っていうのは多分日本語の勉強を始めて結構最初の方に皆さんも習ったと思うん
(00:13:05) ですけど 例えばペンで書きますとかハサミで切りますとかね
(00:13:12) あとはあの 乗り物とかもそうですね車で行きますとか
(00:13:19) で何かを作るときも材料で 材料の話をするときもでを使います
(00:13:27) じゃあその次811番今度は うーんとまでの使い方ですね
(00:13:33) これは2番でまでには終わるですね まずはまでとまでにの使い方の違いを覚えましょう
(00:13:45) までっていうのはずっとっていう意味ですね 例えば
(00:13:51) 今朝は 8時までずっと寝ていましたって言ったら昨日の夜から8時まで途中で1回も起きません
(00:14:00) ずーっと寝ていました そのずっとするっていうのがまでの使い方でまでにの使い方は
(00:14:09) それの前にっていうのとちょっとに似てますね 例えば明日の10時までにレポートを出してくださいって言ったらその10時より前に
(00:14:20) レポートを出してくださいっていう意味になります まあ正確に言うとあの
(00:14:26) 10時ちょうどに出してもギリギリ大丈夫なので完全に前にと同じではないんですが まあ意味も使い方もだいたい同じですね
(00:14:36) であとはまでにの後ろにはをつけるかもうつけるかの違いですが この場合ははをつけて11時半までには終わる
(00:14:50) このまでにはって言ったら 一番遅くても11時半でももしかしたら11時半より前
(00:15:00) 11時20分とか11時とかに終わると思います でも一番遅くても11時半でそれよりは遅くなりませんっていう
(00:15:10) 一番遅い時間でも11時半ですっていう時のはの使い方です じゃあその次12番今度は
(00:15:19) 8 答えは3番ですね
(00:15:23) これはまずはならの使い方なんですがもしっていう時のならですね もし9時過ぎるなら9時より遅くなるならですね
(00:15:35) 8で ようならこれは用をつけてますねこの用っていうのは
(00:15:43) 8はっきり9時過ぎるってわかんないけどちょっとこう 友達と長く話しちゃってこのままだとあの9時より遅くなるかな
(00:15:53) 多分そうなるかなって考えた時の用の使い方 で答えがようならですね
(00:16:02) 8じゃあその次最後13番 今度は8
(00:16:07) ちょっと長い言葉ですね いろんな言葉が一緒になってますが答えは一番ですね
(00:16:16) ない方が良さそうと言ってます 長いですね
(00:16:23) じゃあまずこれはどんな文法なのかというと 8一つ目に使われている文法は方がいいですね
(00:16:31) さっきちょっとアドバイスのところでも方がいいっていうのを言いましたけど ここでは話しかけるか話しかけないかどちらがいいかと考えて話しかけない方が
(00:16:43) いいと言いましたね でその次は話しかけない方がいいと後は何かの様子を見てそして多分こう
(00:16:53) かなって考えた時の文法がそうですっていうものなので 話しかけない方がいいですとそうです
(00:17:03) 一緒にすると良さそうです 普通はねそうですの前はいい形容詞だったらいいがなくなるだけなんですけどでもいい
(00:17:13) ですはちょっと特別でいいが4に変わってそして そうですの前に差が入ります
(00:17:21) そうすると良さそうです で最後にあのなってついてますけどこれ一人ごとの時によく使う言葉
(00:17:31) 独り言っていうのは誰かと話すんじゃなくて自分一人で話すことですね で
(00:17:37) 8自分が考えたこととかを独り言で言うときになをつけます 例えばお腹すいたなぁとか今日は暑いなとか
(00:17:48) この名の使い方ですねでこの弟が今 えっとお父さんに話しかけない方がいいと考えてそしてそれを一人ごとで言ってるから
(00:17:59) 最後に名がついてます
(00:18:03) はいじゃあとりあえずここまでが問題1ですね ちょっと長くなってきたので1回ここで終わりにしたいと思いますが
(00:18:10) 続きもねまた時間があったら 作りたいと思いますので続きが聞きたい人はもうちょっとお待ちください
(00:18:18) いろんな人からねあの続きが早く聞きたいですっていうメッセージとかもらったらもしか したらちょっと早く作るかもしれません
(00:18:26) 皆さんからの応援のメッセージいつも嬉しく読んでます 皆さんからのメッセージがこのポッドキャストを作る
(00:18:35) 原動力 まあこのポッドキャストを作るためのやる気ですねやる気になっているのでどんどんメッセージを送って
(00:18:43) ください 他にも何かこうリクエストとか質問とかあればいつでも気軽にメッセージください
(00:18:50) それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
