ep. 042 - 山遊び(N2)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
日本では川とかあとは山の中の湖とかで釣りをする人もたくさんいます 特にね川の釣りって
あの結構難しいみたいで 魚がね頭が良くて人が近づくとどこかに逃げたりするから
あの音を立てないように静かに山に登って そしてそーっと
あの餌とか針とかを水の中に入れて魚にバレないように釣りをするっていうやり方 らしいんですけどね
これがまあ難しいんですけどやっぱり難しい分釣れた時すっごい楽しいっていうことで 川の釣りが好きな人がたくさんいます
あと他にね川ですることといえば釣りだけじゃなくて 川を下る
ラフティングとかですねまあこれも俺はやったことないんですけど 川の上から下までボートに乗って降りていくっていう
まあスポーツみたいなものですね こういうのも日本でできるところがたくさんあります
あと他にも子どもでもできるような遊びだと 日本は結構いろんなところにアスレチックとかがありますね
アスレチックっていうのは ちょっと説明難しいんですけど
山の中に木とかロープとかでこう 登るものを作ってあの建物じゃないですよ
木でたくさん階段みたいなのを作ったりとか あとはその階段と階段をロープで結んでロープの上を歩いたりして反対側まで行ったり
とかそういうことをして遊ぶ 運動っていうか
遊びっていうかそういうのをアスレチックって言います ちょっとこれねあの言葉だけだと説明が難しいので
インターネット使える人はぜひあのイメージ検索とかで アスレチックって調べてみてください
山でするアスレチック 日本のねいろんなところにあります結構楽しいですよ
これだと危なくないからあの子どもでも子どもでも大人でもできるし 家族で行って遊んだりもできるので
特にこう 夏とかね街の中にいるとすっごい暑いですから山のちょっと涼しいところに行って
みんなで運動したいって言うんだったらこういうのもいいと思います あと他にもあの山ですること道具道具とか乗り物とか使うのだと山の中を
自転車で走ったりとか あとはバギーとか
バギーっていうのはなんかこう小さい車みたいなやつ 山の中とかそういうちょっとね
あの荒れた道 でこぼこした道とかそういうところでも走れる小さい車をバギーって言うんですけど
そのバギーに乗ったりとかで遊ぶことができる場所もあります こういうのが日本でする山でのアクティビティなんですが
他にも忘れちゃいけないものがもう一つ それが何かというと
今まで言ったのは全部夏にするものなんですけど 日本は四季がありますみんな知ってますよね
春夏秋冬夏だけじゃなくて冬に山で遊ぶこともできます 冬でする山での遊びと言ったらもう一つですよね
スキー スノーボードのことをスノボーって言うんですけど
スノーボーもできますね スキーとスノボーができるところっていうのも日本にはたくさんあります
特に有名なのはねやっぱり長野とかそういう山がたくさんあるところなんですけど やっぱり日本は冬は寒くて雪がたくさん降るところなので
雪がたくさん降ってそして山があるっていうならもうスキーをしないわけにはいかないですね まあ最近だとスキーじゃなくて本当にスノボーをやる人の方が多いんですけどね
ちなみに俺はあのスノボーはできません スキーしかしたことがありません
スキーもねあの子供の時にちょっとだけと あと大学生の時に1回だけなのであの全然上手じゃないというかほとんど滑れない
んですけど でもまあやったことはあるしすごい楽しいなぁと思います
日本に来て 山で遊びたい人夏だけじゃなくて冬に来れば
スキーとかスノボーとかでね遊ぶこともできますので 興味がある人はそれもぜひチャレンジしてみてください
さあ簡単ですけどこんなのが日本の山でできる遊びです あとね山でする遊びとはちょっと違うんですけどやっぱり
日本の山といえば この話も今まで何回もしたことがあると思いますが
やっぱり日本といえば その季節に応じたきれいなものっていうのも
山で見られる 特別なものですね
もう何の話かわかりましたね 桜とか紅葉とかです
春に日本に来たら山に登って桜を見て そして秋に日本に来たら山に登って紅葉を見て
このね綺麗なものを見るっていうだけでも十分楽しめると思うので 運動が苦手とか
たくさん歩くのは疲れるからちょっとなっていう人は本当に綺麗なものを見るだけでも 楽しいのでぜひ山に登ってみてください
あと個人的にはねあの ちょっとね危ないし大変だから
あんまりおすすめはできないかもしれないけどでも春とか秋だけじゃなくて 冬の山も見ててすごい綺麗だなぁとは思うので
雪が好きな人あとは寒いのが大丈夫な人 そういう人はね
冬の山っていうのもちょっとどっかに行って見てみてください 雪で周りが全部白くなってる景色っていうのはね
すごく綺麗です まあ雪降ってたらね山じゃなくって街の中でもだいたい綺麗なんですけどね
はいじゃあこんなのが日本の山についてです 日本ってね本当大きい街もあれば自然もたくさんあるので遊ぶところはたくさんあります
ぜひ旅行に来てそしていろんな遊びをしてみてください 日本に来て遊ぶときにはもちろん日本語を使わなければならないのでこの
ポッドキャストをたくさん聞いて日本語の練習もたくさんしてくださいね さあそれじゃあ今日はこの辺で終わりにしたいと思います皆さんの国でも山の中でできる
いろんな遊びとかあったらぜひ教えてくださいね それじゃあさようなら
