ep. 052 - 老後の生活(N2)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はメールとかSNSで連絡をください。
(00:03:52) 60歳からもらえたし 今ほど高齢者が多くなかった
(00:03:58) 若い人もたくさんいただから若い人が払ってくれる年金だけで高齢者の人はずっと 生活できてたんですけど
(00:04:08) でも今は少子高齢若い人が少なくなって高齢者が多くなっている だから
(00:04:15) あのみんなで年金を払うんですけど 年金をもらう人
(00:04:21) 払う人よりもらう人がどんどん多くなって それで年金が足りなくなってきてるっていう問題があります
(00:04:31) だからあの今はもらうもらうのも60歳からじゃなくて65歳から 65歳まではちゃんとお金を払ってください
(00:04:40) もらうのは後からですって言われてるし あのもらうことができる金額も昔より少なくなっています
(00:04:48) そしてさらに払う金額も多くなっています だから今その老後のためのお金っていうのがすごく問題になっています
(00:04:58) それでその問題の一つで 2000万円問題っていうのがあります
(00:05:05) あのこれ去年かな確か 金融庁っていう日本のお金を管理しているところですね
(00:05:15) そこがあの調べたデータの発表したんですけども 今の日本人の生活では老後
(00:05:24) えっとまぁ65歳かな仕事ができなくなるそのぐらいの年齢の人が 仕事をしないで生きていくには
(00:05:32) 2000万円貯金しておかなければならないっていうそういうデータです それを金融庁が去年発表してで日本人みんなびっくりしたんですよ
(00:05:45) いやいやいやそんな65歳までに2000万円なんて貯められるわけがないじゃんって
(00:05:52) でまぁ何で2000万円なのかっていうとそのもらえる年金もそんなにないし 今日本の平均寿命っていうのがすごく高くなっています
(00:06:03) 寿命っていうのはあの死ぬまでの時間です だいたい日本の平均寿命って
(00:06:12) 83歳か4歳ぐらいだったかな女の人は 結構ね長くて90近くまであるかな
(00:06:22) 男の人は80ちょっとぐらいでまぁ全部平均して834歳ぐらいなんですけど 20年ぐらい仕事をしないで生きていくっていう計算ですね
(00:06:36) で20年仕事しないんですけど 年を取ると体が弱くなってきて病院に行くことも多くなるし
(00:06:46) それからどうしても一人で生活ができなかったら 介護をしてもらわなければなりません
(00:06:54) 介護っていうのは体の不自由な人の世話をすることなんですけど 昔はねそんなに介護って問題にはならなかったんです
(00:07:05) その平均寿命がそんなに高くなかったし まぁちょっと言い方はあまり良くないかもしれないけどみんなすぐになくなってたから
(00:07:14) 介護が必要な時間っていうのが短かったんですよ 年を取ったらすぐなくなる人が多かったからだから世話をする必要もなかった
(00:07:26) でも今は医療技術もあのすごい発達してるし 治る病気も多くなってきたしそれで
(00:07:35) 亡くなるまでの時間が長いからだから 亡くなってはいないけどでも体が弱いから一人では生活できない
(00:07:44) そういう人が多くなってきてそれで介護をする人が少ない 昔はね自分の家族だけでも大丈夫だったんですけど
(00:07:53) 仕事をする人も多くなってるし男の人も女の人もずっと仕事をしている でも介護もしなければならない
(00:08:02) でじゃあどうするかっていうと家族に介護をしてもらえないんだったら 他の人に頼むしかないですよね
(00:08:10) その他の人に介護を頼める場所を 介護施設とかあとはお年寄りがみんなであの集まって集まって言っていうか
(00:08:21) 同じ場所に行ってそこで生活する場所を老人ホームって言ったりするんですけど そういうところで生活する人が多くなってきました
(00:08:32) でこの老人ホームとか介護施設っていうのはもちろんただじゃありません いろんな世話をしてもらうので老人ホームってそのみんなで一緒に住む
(00:08:44) 大きい家みたいなところだから家賃とかももちろんかかりますしね それで
(00:08:50) あの 老後は体が弱くなってきて病院に行くお金もかかるし
(00:08:56) 介護してもらう人はその介護施設に行かなきゃいけないからそこのお金もかかるし でも仕事はできないし
(00:09:04) それで 年金だけでは生活できないから
(00:09:09) あの 老後のお金は2000万円ぐらい貯金しておかないと
(00:09:15) 生きていけないっていうそういう のが2000年問題というものです2000年じゃねえや2000万円問題っていうものです
(00:09:26) 2000年問題ってあの 今2020年ですけど2000年になるときにいろんなコンピューターとかがおかしくなるっていう
(00:09:34) そういう問題ですね 若い人は2000年問題とか知らないよね
(00:09:39) まあとにかくこれが2000万円問題でまあ日本の老後についての問題です じゃあもう少し日本のその老後の生活について話すと
(00:09:52) 今話した通り日本では 介護が必要な人が多くなってきたのでその介護を頼む場所っていうのがあります
(00:10:01) いろんなのがあるんですけど 止まらないで朝行って夕方帰ってくる場所もあるしずっとそこで生活する場所もあります
(00:10:11) 1日だけだったらそんな高くないので何千円かで済むんですけど ずっとそこで生活するとなるとやっぱりいろんなお金がかかるので
(00:10:22) 安くても1ヶ月10何万円とか高いと30万円ぐらいかかるところもあります 結構お金がかかって大変だと思うんですけどそれでも今は
(00:10:37) 高齢者がすごく多くなってきて 介護を頼む人がいないからこの介護施設
(00:10:46) 老人ホームとかに入りたいっていう人がすごくたくさんいて 入りたい人が多すぎて老人ホームが足りないって言ってるところもあります
(00:10:56) あと足りないのは老人ホームだけじゃなくてそこで仕事をする人 介護をする人も足りないって言われてます
(00:11:06) 言われてますというか全然足りないみたいですね それでどうするかっていうと日本では今外国からその介護の仕事をしに来てくれる人を
(00:11:19) 募集しています 日本で仕事するためには皆さんも知ってると思いますが
(00:11:26) ビザが必要なんですけど そのビザの種類の一つの中に介護っていうのがあります
(00:11:33) 介護のビザって結構いろいろあるんですけどね その介護のビザがあると日本で介護の仕事ができる
(00:11:42) 日本で仕事のビザ取るのって結構大変だと思うんですけど 介護は本当に今人が足りないからだから介護だけの特別なビザを作ってそれで
(00:11:52) いろんな人に来てもらおうとしています ただそれでもねなかなか人が集まらないみたいですけどね
(00:12:00) だから日本で仕事をしたい人は介護の仕事だったら簡単にビザが取れるかもしれません あと他にもねあの
(00:12:09) 介護に関して言うと 介護の仕事をするためには
(00:12:14) 資格がないといけないんですけどその資格を取るための勉強する専門学校 2年勉強してそれで資格を取る学校でだいたいこの学校に2年行くとお金が
(00:12:28) 150万とか160万とかかかるんですが学費としてね この学費の150万円を
(00:12:37) 全部もらうことができます あまりにも介護の勉強をする人介護の仕事をする人が少なすぎて
(00:12:46) 今日本の都道府県全部で人が足りないから だからお金あげるからだから介護の勉強して介護の仕事をしてくださいっていうふうに言ってます
(00:12:58) なので日本の専門学校に行ってそして仕事をしたいっていう人は 介護の学校だったらすごく安く勉強できてビザも取れます
(00:13:11) ただ介護の仕事をするためには介護福祉士っていう 資格を取らなきゃいけないので試験に合格しなきゃいけないんですけどね
(00:13:22) こんな風に日本では今 介護される人の問題
(00:13:27) つまり2000万円問題ですね 年を取ってからお金がかかるからそのお金を貯めなきゃいけないんだけどでも2000万円
(00:13:37) 高すぎて大変だっていう問題とか あとは介護をする人の問題
(00:13:44) 介護する人が少なすぎて 外国から人を呼んだりとかねでもそれでもまだ足りないからお金を出したりとか
(00:13:54) いろんな老後の問題があります 日本人がみんなで頑張って解決していかなければならないことですね
(00:14:03) さてじゃあこれが日本の老後の問題ですが あんまりねいい話がないなぁとは思いますが
(00:14:11) もしかしたら日本で働きたいって考えている人にとっては ビザが取りやすい仕事が見つかりやすいっていう状況なので
(00:14:20) ある意味ではちょっといい話だったかもしれませんね では今日はこの辺で終わりにしたいと思いますが
(00:14:28) また日本について何か知りたいこととか聞いてみたいことがあったら ぜひメッセージを送ってください
(00:14:35) それじゃさようなら
