ep. 049 - ゲーム(N4)

みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
そしてもう一つがドラゴンクエスト ファイナルファンタジーもドラゴンクエストもどちらもポケモンみたいな
RPGですロールプレイングゲーム 俺と同じぐらいの年齢の人はこのドラゴンクエストを短くするとドラクエって言うん
ですけどドラクエとあとはファイナルファンタジー FFって言いますが
このドラクエとFFをしたことがない人の方が したことがある人より少ないんじゃないかなと思うんですけど
どうですかね俺の周りではみんなしてました 実はこのドラクエとFFって最近あの日本のゲームでちょっと話題になったんですけど
まずドラクエは去年 ドラクエウォークっていう新しいゲームを出してそれがとても人気があってみんながしていました
どんなゲームかというと 多分ポケモンGOとちょっと似てるのかな
俺はポケモンGOをやったことないんですけどゲームを開いてそして そのこれスマホのアプリなんですけど
そのスマホを持ってそして外を歩くと 中のキャラクターも自分と一緒に動いてそして
自分が外を歩いていると外でモンスターとかに会ってそしてそのモンスターを倒して 他にもそれだけじゃなくていろいろな人に会ったりとか
いろんな街に行ったりとかしてそして話を進めていくっていうゲームです これはずっと家の中にいて一人でやるんじゃなくて
実際に家の外に出て街を歩きながらするゲームなので自分が本当に ゲームのキャラクターじゃなくて自分が旅をしているみたいでそれで面白くて人気です
俺もちょっとやりましたけど面白かったです それからもう一つFF
これも最近実はちょっと話題になったんですけど どうしてかというと
昔出たゲームが新しくリメイクされます このFFって
FF1から 今何まで出てるかな15とか6ぐらいまであるのかな
俺がやったことがあるのは10までなんですけど その中でも特に人気があったFF7
ファイナルファンタジーの7 このゲームが
最近システムもあとはあの映像も全部新しくなって綺麗になって そして
新しいゲームとして売られます このFF7は初めて売られたときはソニーの
PlayStationっていうゲームのソフトだったんですけど 今度を出るときはPlayStationじゃなくて
プレイステー…プレ… プレイステーション4かな
多分その新しいゲーム機でやるソフトです 昔と比べて
あの デザインとかも音楽も全部綺麗になってそして難しいこともできるから
すごく面白そうなゲームです 俺プレステ4は持ってないんですけど
プレステってプレイステーションのことね プレイステーションでは長いからプレステと言いますが
俺はプレステを持ってないんですけど このFF7のリメイクをするためだけに
ちょっとプレステ4を買おうか 悩んでいます
このプレステ4高いんですけどね 高いですから
あのあまりお金は使いたくないんですけど でもそのくらいこのFF7
FF7っていうのはとても面白くて人気がある ゲームなので
きっとすごく面白いと思います あの
プレステ4を持っている人はぜひやってみてください そしてどのくらい面白かったか俺に教えてください
さてなんか ランキングとか見てたら昔のゲームの話もそうだけど新しいゲームの話も
ちょっと多くなっちゃいましたね やっぱりそのマリオカートとか
あとはファイナルファンタジー ドラクエ
こういうのって昔から人気があるから 古いゲームだけどでも今も人気がある
どんどん新しくなるゲームなんですね 皆さんもぜひやってみてください
あとねできるなら 今の新しいゲームもいいんですけど
俺はやっぱり新しいのよりも昔子供の時にやったゲームの方が ゲームの面白さだけじゃなくて
思い出もね 一緒に楽しめるから
だから 皆さんもね新しいのだけじゃなくてもし古いゲームを買ったりすることができ
たら ぜひやってみてください古いのもね面白いですからね
さあそれじゃあこれで ゲームの話ですが
あの俺が好きなゲームドラクエとかFFとかそういうのについて もっとねまた別の機会にどんなゲームなのか詳しく紹介とかもしてみたいと思います
ゲームの話が好きな人はそれまで待っていてください 他にも皆さんの好きなゲームとかあったらぜひ教えてください
それじゃあ今日はこの辺で終わりにしましょう さようなら
