ep. 157 - 本音と建前(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:14) そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:20) さて今日は日本人が使う本音と立て前についての質問っていうか
(00:04:40) で後であの ちょっとごめんその日は予定が入ってたから行けないっていうふうに連絡をすると
(00:04:48) 誘った方も行きたくないとは言われなかった ただ予定が合わないから行けなかっただけだっていうふうに思うから
(00:04:56) そんなにこう 断られても悪い気がしないっていう感じですね
(00:05:03) こういうのが本音と立て前なんですよ
(00:05:08) はっきりと行きたくないっていう気持ちを言ってしまうと相手にとっても気分があまり いいものじゃないから
(00:05:16) だからその
(00:05:19) ねちょっと嘘をついてそして あの相手の気分が悪くならないようにするっていう感じですね
(00:05:29) まあこれだけで話が終わればねそんなに難しいことではないんですけど 本音と立て前の何が難しいかっていうと
(00:05:37) そのね断られた方が その
(00:05:41) 断ってきた理由についてそれが 本音なのか立て前なのかっていうのがわからないと
(00:05:50) 例えばあっじゃあその日じゃなくて別な日にしよう 別な日に行こうっていうふうに
(00:05:57) 言ってしまうとその立て前で 断ったまあちょっと嘘をついて断った方としては
(00:06:05) あの 行きたくないから
(00:06:09) その日は忙しい予定があるって言って断ったのに また別の日を出されたら
(00:06:15) あの もうね1回断ったから
(00:06:20) もう2回目はちょっと断れないからじゃあ あの行きたくないけどしょうがないから行くかっていうふうになってしまいますよね
(00:06:30) でそうするとあの 断る方としては行きたくないけど行かなきゃいけない
(00:06:36) なんかこう人間関係がめんどくさいなっていうふうになってしまう でやっぱり相手に対してもその
(00:06:44) 面白くないことに誘ってくる 嫌な人っていうイメージがついてしまうから
(00:06:51) まあそこが難しいですよねだからその断られた方が 理由を聞いた時にあこの人は忙しい予定が合わないって言ったけど
(00:07:01) もしかしたらそれは建前で本当は行きたくないのかもしれないっていうふうに考える と
(00:07:09) まあお互いね その
(00:07:13) あんまり悪い空気にならないから人間関係が悪くならないっていうね そこが難しいところですね
(00:07:23) でこれは日本人なら誰でもこの本音と建前を使ってそして相手の建前についてよく 考えることができるのかっていうとそんなことはないです
(00:07:35) これは難しいのは外国人だけじゃないんですよ だからそのね
(00:07:43) 最近だとやっぱり日本人同士でも 建前ばっかりだと最終的にね人間関係疲れちゃうから嫌なものは嫌だって
(00:07:54) はっきり言った方がいいとか あとはビジネス関係の話であれば
(00:07:59) 建前ばっかり使ってるとそのねやっぱり契約とかねいろいろあるから良くないから ビジネスでは本音と建前はあんまり使わないでちゃんとねはっきり言った方がいいとか
(00:08:12) そういうふうにあの 昔と違う考え方ですね新しい考え方っていうか
(00:08:19) 今までとちょっと違うふうやり方でやりましょうっていうふうに言う人も結構多くなって いるとは思います
(00:08:28) 俺もねやっぱりその建前ばっかりだと自分も疲れるし相手もね疲れるっていうか その
(00:08:38) 本当の自分を見せることができないからねだから いい人間関係作れないから建前ばっかりっていうのは良くないんじゃないかなとは思うん
(00:08:47) だけど まあやっぱりね時々優しい嘘みたいなのは必要だなとは思います
(00:08:56) 嫌なものは全部嫌だ はっきり言うんじゃなくて時々はねその
(00:09:03) はっきり嫌だっていうんじゃなくてちょっと別の理由 相手が傷つかないような理由とかを言って嫌だって言った方がその
(00:09:14) ね いい人間関係できるんじゃないかなっていう気はします
(00:09:18) やっぱこういう考え方はその 日本人っていうかね日本の文化なのかな
(00:09:24) やっぱり俺もね建前多すぎても良くないけど 相手のことをよく考えてちょっと優しい話をした方がいいんじゃないかなっていうような
(00:09:35) 考え方はどうしてもね抜け切らないっていうか あの
(00:09:40) 残ってしまいますね というわけでこんなのがね日本人の本音と建前ですね
(00:09:47) やっぱりこう相手を傷つけないとか相手にちょっとこう悪いなっていう気持ちがあって それで
(00:09:54) はっきりと自分のことを全部自分の気持ちを言ってしまうと良くないなという時には建前を 使います
(00:10:03) ちょっとね外国の人には本音と建前って難しいかもしれないし 建前っていうのがまあやっぱり嘘みたいなものですからね
(00:10:12) あんまり良くないイメージとかあるかもしれませんけど でも
(00:10:18) まあその建前を使うっていうのはね あの
(00:10:22) 悪いって悪い話ばっかりじゃなくて あの他の人のために優しい嘘をつくっていうこともあるから
(00:10:32) まあね日本人と話すときにこれが建前なのかな これは嘘なのかなと思った時もあまり悪く考えないでもしかしたら自分のために
(00:10:43) 自分が傷つかないように優しい嘘をついてくれたのかもなっていうふうにちょっと考えて みてください
(00:10:52) はいじゃあえっと今日は本音と建前についてでした やっぱりねその日本の文化とか日本人の考え方とか難しいとは思いますが
(00:11:02) いろんな人と考えいろんな人の考え方ってありますから まあいろんな人とかいろんな国の考え方とかねありますから
(00:11:13) いろんな人と話をしてみてああいう考え方もあるんだな その考え方面白いなとか思えるようになるといいですね
(00:11:21) その自分と違う考え方すべてを否定するんじゃなくてね さて今日は日本人の本音と建前についてがテーマでしたが他にも何かこう
(00:11:32) ね日本についての質問とかね聞いてみたいことがあったら ぜひリクエストとかを送ってください皆さんからメッセージお待ちしています
(00:11:43) じゃあ今日はこの辺で終わりにしたいと思いますさようなら
