ep. 002 - 「ひまつぶし(N3)」

(00:00:00) みなさんこんにちはトモです このポッドキャストは日本語教師の友がいろいろなテーマについて話をします
(00:05:12) 日本には結構あって だいたい1冊100円とかすっごい安い時は1冊50円ぐらいかな
(00:05:22) なので漫画って買うと1冊500円とか600円とかするから 10冊20冊買うとすごいお金もかかるし
(00:05:32) あとは場所もね 場所も結構あの取るんですよね邪魔なんですよね
(00:05:39) 特に俺みたいに漫画が好きでたくさん読む人は あの100冊とか200冊とか当たり前のように読むから欲しい本を全部買うとお金も
(00:05:50) 場所もすっごいかかっちゃうんです でそこがレンタルなら
(00:05:55) もう安い時は お金も10分の1そして場所も読んだら返せばいいだけだから
(00:06:03) 置く場所に困らない なので連休とか時間があって暇だなぁって思ったら漫画を読むことも多いですね
(00:06:13) あと最近だと休みとかじゃなくてちょっとした暇つぶし 5分とか10分とかそのぐらいの細かい暇な時間ができたら
(00:06:24) だいたいツイッターやってますね あとは他には
(00:06:31) たまーにだけどゲームもしますね ゲームって言ってもあのスマホのゲームじゃないですよ
(00:06:39) 昔のゲーム ちょっとこう年齢はあまり言いたくないんですけど
(00:06:46) スーパーファミコン あれ海外だと何だったかな
(00:06:51) スーパーニンテンドーとかかな ちょっと名前が違うんですよね
(00:06:57) 有名なゲームだとスーパーマリオブラザーズ スーパーマリオワールドかな
(00:07:04) ブラザーズだとファミコンかなファミリーコンピューター で多分
(00:07:10) 同じぐらいの年齢の人なら スーパーファミコンスーファミって言ってましたけど
(00:07:17) スーファミがめちゃくちゃ面白かったっていうのが わかると思うので
(00:07:23) ちょっとこの俺の気持ちもわかってもらえると思うんですけど たまーにやりたくなるんですよねあれ
(00:07:30) んで小学校の時 小学生とか中学生の時によくやってたゲームで
(00:07:38) ゲームなんて子供がやるものでしょ って思う人も
(00:07:43) いるみたいなんですけどあれ大人がやっても 面白いんですよね
(00:07:51) 毎日何時間もやるっていうものじゃないけど たまにやると面白いんですよ
(00:07:57) なかなかやめられないぐらい ゲームといえば
(00:08:02) これは暇つぶしじゃなくて むしろ暇を作って時間を作って積極的にやるゲームですけど
(00:08:11) そのスーパーファミコンの時代にすごく売れてた ff とかドラクエなんかは今でも
(00:08:20) スマホに入ってますね ff っていうのはファイナルファンタジー
(00:08:26) 多分これは 世界中で有名なゲームだから知ってる人も多いかと思うんですけど
(00:08:33) そのファイナルファンタジーの特に 45678ぐらいまでは子供の時に
(00:08:43) 何回もやった何回もやった大好きなゲームで 今でもそれは
(00:08:51) 暇つぶしじゃなくて たまにもう一度やりたいなって思った時に暇を作ってやるゲームですね
(00:09:01) あとはさっきちょっと言ったドラクエこれはドラゴンクエストっていう これもその ff とファイナルファンタジーとだいたい同じぐらいの時期に日本でとても有名だった
(00:09:15) 有名だった?今でも有名か 今でもとても有名なゲームで
(00:09:21) こっちもだいたい同じぐらいドラクエの456のあたりは 小学生中学生ぐらいの時に大好きで何回もやったゲームですね
(00:09:35) ドラクエもいくつかやっぱりスマホに入ってます これも暇な時じゃなくてやりたくなったら暇を作って時間を作ってまた楽しんでます
(00:09:48) さあこんなのが 私トモの
(00:09:53) 暇つぶし なんか仕事で
(00:09:57) 日本語を教えてますって言うとあ先生なんですかすごいですね なんて言われる時も結構多いんですけど
(00:10:06) まあ確かに先生といつも呼ばれているけど でも
(00:10:13) うちの学校は5時15分までなので5時15分からは俺は先生じゃありません 普通の
(00:10:24) 普通の一人の日本人なので やってることは
(00:10:31) そんな真面目なことばかりじゃありませんあの先生って言っても いつも勉強してるわけじゃありません漫画も読めばゲームもするし
(00:10:41) なんならゲームしてる時や漫画読んでる時片手は漫画片手は酒みたいな そんな感じの過ごし方をしてます
(00:10:50) あの先生も真面目な時と不真面目な時があります はいじゃあ
(00:10:58) 長くなってきたし 今日はこの辺で終わりにしたいと思います今日のテーマは暇つぶしでした
(00:11:08) 暇つぶしって なんか国によって違いがあるんですかね
(00:11:14) あの このポッドキャスト日本だけじゃなくていろいろな国の人が聞けると思いますから
(00:11:21) あの私の国ではこんな暇つぶしがありますっていうのがあったらぜひ教えてください 次回のテーマはまだ決まってませんが
(00:11:32) またこれからもサボらずに頑張って続けたいと思いますので次もよろしくお願いします それじゃあ皆さんさようなら
