ep. 169 - ライブ(N4)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:07:31) 街の中には そういうライブをやってるお店っていうのは一つしかありません
(00:07:41) さあそれじゃあこんなのがね日本でのライブの楽しみ方ですね 特にロックが楽しめる
(00:07:48) ロックのライブの楽しみ方ですが 日本人はだいたい最初にライブを楽しむのは学校の文化祭
(00:07:56) そしてそれだけでね学校の中の活動だけで終わっちゃう人もいるけど そうじゃなくてずっと音楽を続けたいっていう人は自分のバンドで外のそのライブを
(00:08:09) やるお店に行ってライブをして それでもし有名になってもっとたくさんお客さんが集まるようになったら今度はそのね
(00:08:19) もっと大きいライブのお店とか あとは夏のこのフェスみたいなのに呼ばれるぐらい有名になったら何千人とか何万人
(00:08:29) っていう人の前でライブをするようになります
(00:08:34) 俺も音楽は好きだからねライブ嫌いじゃないんですけど ただあの
(00:08:40) 人が多いところがねあんまり好きじゃないから だからね俺はフェスにはあまり行きません
(00:08:49) 音楽はね部屋の中で楽しみます
(00:08:54) はいじゃあ日本のライブの話でした皆さんの国のライブとどうでしょう 何か違うところありますか
(00:09:02) どこの国でもねそんなに違いはないと思いますが でも初めてライブを経験する場所が学校の文化祭っていうのは
(00:09:13) ちょっと他の国と違うかもしれませんね 皆さんの国ではライブデビュー
(00:09:20) 初めてのライブっていうのはどこでやるんでしょう 何かね日本と違う話があったらぜひ教えてください
(00:09:28) じゃあ今日はこの辺で終わりにしたいと思いますがまた何かリクエストとかあったら ぜひメッセージとかあとはコメントとかいろいろください
(00:09:37) 待ってます じゃあ今日はこれで終わりますさようなら
