ep. 049 - ゲーム(N4)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:11:49) プレステ4を持っている人はぜひやってみてください そしてどのくらい面白かったか俺に教えてください
(00:11:58) さてなんか ランキングとか見てたら昔のゲームの話もそうだけど新しいゲームの話も
(00:12:06) ちょっと多くなっちゃいましたね やっぱりそのマリオカートとか
(00:12:12) あとはファイナルファンタジー ドラクエ
(00:12:15) こういうのって昔から人気があるから 古いゲームだけどでも今も人気がある
(00:12:24) どんどん新しくなるゲームなんですね 皆さんもぜひやってみてください
(00:12:30) あとねできるなら 今の新しいゲームもいいんですけど
(00:12:37) 俺はやっぱり新しいのよりも昔子供の時にやったゲームの方が ゲームの面白さだけじゃなくて
(00:12:48) 思い出もね 一緒に楽しめるから
(00:12:52) だから 皆さんもね新しいのだけじゃなくてもし古いゲームを買ったりすることができ
(00:13:00) たら ぜひやってみてください古いのもね面白いですからね
(00:13:07) さあそれじゃあこれで ゲームの話ですが
(00:13:11) あの俺が好きなゲームドラクエとかFFとかそういうのについて もっとねまた別の機会にどんなゲームなのか詳しく紹介とかもしてみたいと思います
(00:13:24) ゲームの話が好きな人はそれまで待っていてください 他にも皆さんの好きなゲームとかあったらぜひ教えてください
(00:13:33) それじゃあ今日はこの辺で終わりにしましょう さようなら
