ep. 107 - 居酒屋(N3)

(00:00:00) みなさんこんにちはトモです
(00:03:31) 大勢で言って騒いだりしません あんまり多くない2人とかまあ3人とかそのくらいの少ない人数で言って
(00:03:41) そして静かに飲むイメージですね お店の中もちょっと暗い落ち着いた雰囲気のところが多いです
(00:03:50) じゃあ居酒屋はどうなのかっていうと 居酒屋はまあ悪く言えばうるさいよく言えばとても賑やかで明るいところ
(00:04:02) 居酒屋は結構大勢で行ってそして大きい声出してたくさん笑って話してっていうことが できる店も結構たくさんあります
(00:04:13) 忘年会とか新年会とかそういう宴会ですね 宴会っていうのはまあパーティーみたいなものだけど
(00:04:24) そんな踊ったりゲームしたりとかするんじゃなくてただみんなで集まってお酒を飲むだけ そういう宴会だと居酒屋です
(00:04:34) 絶対バーは使いません だいたいこんなのが居酒屋とあとはバーの違いなんですけど
(00:04:43) じゃあ居酒屋ってそのいろんな食べ物がある さっきも言ったように
(00:04:50) あのご飯食べた後のデザートまであるんですよ じゃあ
(00:04:56) そのいろんなご飯もあるしデザートもあるしそれならお酒を飲まないでご飯だけ 食べるのはどうなのって言うと
(00:05:08) そういう使い方をする人もいます 実は居酒屋って最近のお店は本当にたくさんいろんな料理があります
(00:05:18) さっきもピザとかご飯とかいろいろあるよって言ったけど その一つのお店だけでいろんな種類の料理が食べられるから
(00:05:28) だから ご飯を食べに来るっていう人も結構います
(00:05:33) お酒を飲まないでご飯食べてデザート食べてそれで終わり なので最近の居酒屋では子供を連れて行くこともできる場所があります
(00:05:46) 子供のためのちょっと子供が遊んでいる場所とか子供のための椅子とかそういうのを 準備しているところもあります
(00:05:56) バーは基本的に大人が行ってお酒を飲む場所なんですけど居酒屋はそういうご飯だけ っていう人でも行けるから子供を連れて行く人も時々います
(00:06:08) ただちょっと注意ですけど子供を連れて行ってもいいんだけど 子供だけで行くことはできないですね
(00:06:17) やっぱりご飯もあるけどお酒を飲む人の方が多いから だから子供だけで行くのはちょっと良くないので
(00:06:27) これを聞いている人はまあ子供はあんまりいないと思うけど 気をつけてください
(00:06:34) はいってことで今日はこの居酒屋とバーの違いでしたが 居酒屋って俺はすごい好きなんですよ
(00:06:43) そのいろんなものが食べれるしいろんなお酒も飲めるから 日本のお酒の方が多いって言ったけどでも外国のお酒が全然ないわけじゃないですからね
(00:06:55) だいたいの居酒屋にはウイスキーもワインもあのほとんどの種類のお酒が置いてあります それに友達と言ってその何か楽しいことがあったら大きい声で
(00:07:10) 笑ってすごい騒いでも問題ないので あと言い忘れてたけど居酒屋にはだいたい飲み放題のサービスがありますね
(00:07:20) バーでは飲み放題ってほとんどやってないと思うんですけど居酒屋だと飲み放題 つまり
(00:07:28) 1000円とか2000円とか出すと何倍お酒を飲んでもお金が同じっていうそういうサービス 居酒屋だと飲み放題もあるから友達とたくさん飲みたい時はやっぱり居酒屋の方がいいですね
(00:07:43) これを聞いている人の中にもお酒を飲む人たくさんいると思うので 日本に来たらぜひ居酒屋に行ってみてください
(00:07:53) 家族旅行で来た時でも居酒屋は行っても全然問題ないので お酒はそんなに飲まないけど日本のいろいろな料理を食べてみたいっていう人にも居酒屋はいいと思います
(00:08:05) まあ居酒屋って必ず酒を飲んでる人がいるから その子供に酔っ払いを近づけたくないっていう人にはあんまり良くないですけど
(00:08:17) まあ大人だけだったら全然問題ないと思うので皆さんもぜひ日本の文化の一つかな 居酒屋を楽しんでください
(00:08:27) それじゃあ今日はこの辺で終わりにしたいと思います さようなら
