ep. 021 - 紅葉(N3)

みなさんこんにちはTomoです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
まあ俺はあまり京都に詳しくないですけど 京都について知りたかったら
Googleに聞いてみてください 紅葉の時期に綺麗な景色を見たりとか
綺麗な葉っぱをちょっと拾って持って帰ったりとか そういうのをもみじ狩りと言います
なのでもみじ狩りで有名なところっていうのを探してみると いろいろ綺麗な場所がわかると思いますので
皆さんもぜひ日本に来てもみじ狩りっていうのをしてみてください 俺の住んでいるところではまだあまり
綺麗な赤とか黄色にはなってないんですけど もう少ししたら11月ぐらいになったら
綺麗な景色が見られると思うので そしたら俺も写真を撮りに行こうかなと思っています
いい写真が撮れたらインスタグラムにもアップするので皆さんもぜひ見てください
それからさっきは京都が有名って言いましたけど 皆さんが知っている場所で紅葉が綺麗な場所
どこかあったらぜひ教えてください 日本人の俺が教えてもらうっていうのもちょっと変かもしれないですけどね
さあそれじゃあ今日はこの辺で終わりにしましょう このポッドキャストについて意見とか感想質問などあればいつでも
メッセージをください
それじゃあみなさんさようなら
