ep. 060 - 文法説明(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:09:55) ないことにはっていうのは後ろがないの形になります なので明日雨が降らないことには遊びに行くっていうのはダメです
(00:10:07) んでこのないが2つ来るっていうのは形の問題なんですけど じゃあ使い方はどうなのか
(00:10:15) このないことにはっていうのはどんな時使うのかっていうと だいたいね
(00:10:21) 何かできないことの理由を説明するときそういう時によく使います だから例えば
(00:10:31) あなたは旅行が好きなのにどうして旅行に行かないのっていうふうに聞かれたら いや旅行に行きたいけどでも仕事が忙しくて休みが取れないことには旅行にも行けない
(00:10:42) でしょとか 留学したいって言ってたのになんで留学しないでアルバイトばっかりしてるのって聞かれた
(00:10:50) 時に いや留学したいけどでもお金を貯めないことには留学できないからだからまずは
(00:10:58) バイトをして金貯めてるんだよって言ったりとか こういうふうに今何か自分ができないとか何かをしていない
(00:11:06) じゃあそれはどうしてなのかっていう話の時にその時にこのないことにはを使います これがね2つ目の質問の使い方です
(00:11:19) しないととかしなければっていうのは何かが必要だっていう話をするとき たらっていうのはそのどうですかっていう話を考えるとき
(00:11:30) そしてないことにはっていうのは今自分が何かできないことについて説明するとき これが使い方の違いですね
(00:11:41) はいじゃあ今日はねこの2つの質問の答えでした n 2の文法ってね難しいし何が違うのって聞かれた時に日本人でも
(00:11:52) わかんないもの結構たくさんあると思います ですからね皆さんもちょっと難しいとは思うんですがいろんな
(00:11:59) 日本語を聞いてそしてちょっとずつ違いを覚えていってください あと今日のこのポッドキャストだけで違いがわからなかったとしても
(00:12:10) jlpt みたいなテストの時にはあんまりねこの だいたい同じ意味だけどでも使い方が違うという問題はそんなに出ないと思うから
(00:12:22) まああんまり心配しなくていいと思います ただね自分で一人で勉強するときに何が違うんだろうって気になった人は
(00:12:31) こういうねちょっとした違いっていうのを覚えていってください じゃあ今日はこの2つの質問でしたがまたね他にも何かわかんないこととか
(00:12:40) あったら あの
(00:12:43) このポッドキャストを聞いている人でもね結構 聞いてて勉強になるっていう人がいると思うのでどんどん質問をしてください
(00:12:51) じゃあ今日はこの辺で終わりにしますさようなら ああああああああ
