ep. 023 - 文法＜られる、させる＞(N4)

みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
なぜかというと あまり面白くないかなと思うからです
まあこのポッドキャストを聞いている人はみんな日本語が大好きで 勉強も楽しくしているかなと思うんですけど
俺の学校の学生は文法の話を始めると すぐ眠くなる人も多いんですよ
なのでね文法の話が多くなるとこのポッドキャストを全部聞かないで寝る人が 多くなってしまったら
困りますので あまり文法の話はしませんでした
でもこうやってリクエストがあったら文法の話でも ちょっと難しい話でもなんでも
しますので皆さんも聞きたいこととかあったらどんどんリクエストをください 文法が嫌いな人話を聞いて眠くなる人は
今日のエピソードは睡眠薬代わりに使ってください 睡眠薬っていうのは
寝ることができないときに飲む寝るための薬です 難しい話を聞いていると眠くなりますよね眠れないときにこのポッドキャストを
たくさん聞いてください 他にも何かこのポッドキャストについて意見
感想などあればどんどんメッセージをください それから
このポッドキャストは spotify で聞いている人がとても多いみたいですが
アップルのポッドキャストで聞いている人も最近多くなってきました アップルのポッドキャストでは
レビューを書くことができますので もし皆さん時間があったらこのポッドキャストのレビューをどんどん書いてください
いいことを書いてくれたらもちろん嬉しいですが 直してほしいところとかもっとよくしてほしいところなども書いてくれると嬉しいです
皆さんからのメッセージがこのポッドキャストをもっともっと良くしてくれます ぜひお願いします
それじゃあ今日はこの辺で終わりにします 皆さんさようなら
