ep. 089 - 擬音語(N3)

(00:00:00) みなさんこんにちはTomoです
(00:06:24) 今の音は俺がベッドに倒れた音です
(00:06:30) ベッドみたいに柔らかいもの
(00:06:33) ソファーとかクッションとかでもいいですね
(00:06:37) そういう柔らかいものにぶつかった音は
(00:06:40) 今のは俺だったらボフと言います
(00:06:45) じゃあ次もう一個だけいきますね
(00:06:48) 今度はこの音です
(00:06:53) はいこの音が何かというと
(00:06:55) これも柔らかいものなんですが
(00:06:57) 今のはタオルです
(00:07:00) タオルを振った音です
(00:07:03) タオルとか服でもいいんですけど
(00:07:05) そういう布
(00:07:07) 布を動かした時とか
(00:07:10) あとは風で揺れてる時とか
(00:07:13) その音はバサバサと言います
(00:07:16) 今のは俺だったらバサバサと言います
(00:07:20) はいじゃあこんな感じで
(00:07:22) 日本語ではいろいろな音を言葉にします
(00:07:26) 人によってもちろん
(00:07:28) どんな言葉にするかっていうのは
(00:07:30) ちょっと違うんですけど
(00:07:32) でも結構ねみんな似てると思います
(00:07:36) どうして何か音を聞いた時に
(00:07:38) みんな同じような言葉にするかっていうと
(00:07:41) それは日本人は小さい時から
(00:07:46) いろいろな本を読んでいるからです
(00:07:50) この擬音語っていうのは
(00:07:52) 実は漫画が好きな人はとても得意なんですけど
(00:07:57) 漫画にはいろいろな音が字で書いてあります
(00:08:02) もちろん漫画だけじゃなくて
(00:08:03) 小説とか小さい子供が読む絵本とかでも
(00:08:07) そうなんですけど
(00:08:08) 多分漫画が一番多いと思います
(00:08:12) 日本人はこの漫画とか
(00:08:15) その子供が読む絵本とか
(00:08:17) いろんなものを昔から読んでいるので
(00:08:21) それでどんな時にはどんな言葉にするか
(00:08:25) というのをみんななんとなく知っているので
(00:08:29) 何かの音を聞いた時に
(00:08:31) みんな同じような言葉にします
(00:08:34) この擬音語とか擬態語っていうのは
(00:08:37) 慣れないと結構難しいとは思うんですけど
(00:08:41) でも日本人はみんなこの擬音語
(00:08:45) 擬態語をとてもよく使うので
(00:08:48) これが上手に使えると
(00:08:50) 日本語がまたちょっと上手になると思います
(00:08:54) なので皆さんも頑張って覚えてください
(00:08:57) 一番いい覚え方はさっきも言ったけど
(00:09:00) 漫画だと思います
(00:09:02) 漫画をたくさん読むとね
(00:09:03) いろんな言葉がわかります
(00:09:05) 俺は自分がね漫画が好きだから
(00:09:09) 勉強する時も楽しむ時も
(00:09:11) 漫画はすごくいいと思ってます
(00:09:13) 皆さんもぜひ漫画を読んでください
(00:09:16) じゃあ今日はこの辺で終わりにしたいと思います
(00:09:20) 今日は日本語の擬音語の話でした
(00:09:24) 日本語は特に擬音語が多い言葉だと思いますが
(00:09:28) 多分どの国の言葉でも
(00:09:30) 同じようなものがあると思うので
(00:09:32) もし皆さんの国に何か面白い言葉があったら
(00:09:36) 教えてください
(00:09:37) 他にも何かリクエストとかあったら
(00:09:40) ぜひメールとかメッセージを送ってください
(00:09:42) 皆さんからのメッセージ待ってます
(00:09:45) それじゃ今日はこれで終わります
(00:09:47) さようなら
