ep. 013 - インターネット02 SNS(N4)

(00:00:00) みなさんこんにちはTomoです
(00:10:46) インターネットがあれば外国の人とも友達になれるし いろいろな話もできます
(00:10:53) 日本に来たことがない人もSNSを使えば 日本人と友達になることもできるかもしれませんね
(00:11:02) SNSを使って日本人と友達になりたい人は Facebookのグループとか
(00:11:09) あとは写真が好きな人 綺麗な写真を撮ることができる人は
(00:11:15) インスタグラムを使ってみるといいと思います
(00:11:19) さあそれじゃあ今日はこの辺で終わりにしたいと思います
(00:11:25) 他にも聞きたいことがあったらメールやツイッターなどでリクエストをしてください
(00:11:31) またわからないことがあったら質問なども大丈夫です
(00:11:36) 皆さんからのメッセージがあるとこのポッドキャストがどんどんいいものになります
(00:11:42) ぜひぜひたくさん送ってください
(00:11:46) それじゃあみなさんさようなら
