ep. 035 - 敬語(N3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
日本語が下手なのかそれともちょっと丁寧じゃない あまり良い人じゃないのかもしれないっていうふうに思われてしまうかもしれません
だから知らない人とかにそういう悪いイメージを持たれてしまうと 日本で
生活したりとか日本に遊びに来たりとかそういう時に ちょっとね嫌な思いをしてしまうかもしれないので
そういうのがなくなるためにもね あの頑張ってください
今日は 敬語の
使い方とか文法とかそういう話は全然しないで どうして敬語を勉強するのかっていうそんな話でしたけど
またねリクエストがあったら じゃあ敬語の使い方とか文法とか
そういうことの話とかもまたできたらいいなと思います これを聞いている人で敬語がうまく話せないっていう人
そういう人は ぜひ俺に敬語で何かメッセージを送ってみてください
やっぱりね最初にもちょっと言ったけど 日本人も学校で敬語を勉強しても
実際にそれを使わないとあまり話すことができません 仕事を始めて本当に敬語を使うようになって
それで初めて敬語が上手になります なので皆さんもたくさん敬語を使ってたくさん練習して上手になってください
それじゃあ今日はこの辺で終わりにしましょう さようなら
