ep. 042 - 山遊び(N2)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:08:25) 好きな人がいたらちょっと面白くないとか言っちゃってすいませんね ただまあ山でねすることって本当にいろいろあって特に日本は山が多い
(00:08:36) 山が多ければ川も多い だから山を歩くだけじゃなくて川でする遊びっていうのも結構たくさんあります
(00:08:48) 例えばまあ川ですることといえばね 水があればもちろん魚もいるから
(00:08:55) 日本では川とかあとは山の中の湖とかで釣りをする人もたくさんいます 特にね川の釣りって
(00:09:05) あの結構難しいみたいで 魚がね頭が良くて人が近づくとどこかに逃げたりするから
(00:09:16) あの音を立てないように静かに山に登って そしてそーっと
(00:09:22) あの餌とか針とかを水の中に入れて魚にバレないように釣りをするっていうやり方 らしいんですけどね
(00:09:31) これがまあ難しいんですけどやっぱり難しい分釣れた時すっごい楽しいっていうことで 川の釣りが好きな人がたくさんいます
(00:09:41) あと他にね川ですることといえば釣りだけじゃなくて 川を下る
(00:09:48) ラフティングとかですねまあこれも俺はやったことないんですけど 川の上から下までボートに乗って降りていくっていう
(00:09:57) まあスポーツみたいなものですね こういうのも日本でできるところがたくさんあります
(00:10:05) あと他にも子どもでもできるような遊びだと 日本は結構いろんなところにアスレチックとかがありますね
(00:10:14) アスレチックっていうのは ちょっと説明難しいんですけど
(00:10:19) 山の中に木とかロープとかでこう 登るものを作ってあの建物じゃないですよ
(00:10:27) 木でたくさん階段みたいなのを作ったりとか あとはその階段と階段をロープで結んでロープの上を歩いたりして反対側まで行ったり
(00:10:38) とかそういうことをして遊ぶ 運動っていうか
(00:10:43) 遊びっていうかそういうのをアスレチックって言います ちょっとこれねあの言葉だけだと説明が難しいので
(00:10:51) インターネット使える人はぜひあのイメージ検索とかで アスレチックって調べてみてください
(00:10:59) 山でするアスレチック 日本のねいろんなところにあります結構楽しいですよ
(00:11:06) これだと危なくないからあの子どもでも子どもでも大人でもできるし 家族で行って遊んだりもできるので
(00:11:15) 特にこう 夏とかね街の中にいるとすっごい暑いですから山のちょっと涼しいところに行って
(00:11:22) みんなで運動したいって言うんだったらこういうのもいいと思います あと他にもあの山ですること道具道具とか乗り物とか使うのだと山の中を
(00:11:34) 自転車で走ったりとか あとはバギーとか
(00:11:38) バギーっていうのはなんかこう小さい車みたいなやつ 山の中とかそういうちょっとね
(00:11:46) あの荒れた道 でこぼこした道とかそういうところでも走れる小さい車をバギーって言うんですけど
(00:11:55) そのバギーに乗ったりとかで遊ぶことができる場所もあります こういうのが日本でする山でのアクティビティなんですが
(00:12:05) 他にも忘れちゃいけないものがもう一つ それが何かというと
(00:12:10) 今まで言ったのは全部夏にするものなんですけど 日本は四季がありますみんな知ってますよね
(00:12:18) 春夏秋冬夏だけじゃなくて冬に山で遊ぶこともできます 冬でする山での遊びと言ったらもう一つですよね
(00:12:31) スキー スノーボードのことをスノボーって言うんですけど
(00:12:36) スノーボーもできますね スキーとスノボーができるところっていうのも日本にはたくさんあります
(00:12:44) 特に有名なのはねやっぱり長野とかそういう山がたくさんあるところなんですけど やっぱり日本は冬は寒くて雪がたくさん降るところなので
(00:12:57) 雪がたくさん降ってそして山があるっていうならもうスキーをしないわけにはいかないですね まあ最近だとスキーじゃなくて本当にスノボーをやる人の方が多いんですけどね
(00:13:11) ちなみに俺はあのスノボーはできません スキーしかしたことがありません
(00:13:17) スキーもねあの子供の時にちょっとだけと あと大学生の時に1回だけなのであの全然上手じゃないというかほとんど滑れない
(00:13:27) んですけど でもまあやったことはあるしすごい楽しいなぁと思います
(00:13:33) 日本に来て 山で遊びたい人夏だけじゃなくて冬に来れば
(00:13:39) スキーとかスノボーとかでね遊ぶこともできますので 興味がある人はそれもぜひチャレンジしてみてください
(00:13:48) さあ簡単ですけどこんなのが日本の山でできる遊びです あとね山でする遊びとはちょっと違うんですけどやっぱり
(00:13:59) 日本の山といえば この話も今まで何回もしたことがあると思いますが
(00:14:06) やっぱり日本といえば その季節に応じたきれいなものっていうのも
(00:14:14) 山で見られる 特別なものですね
(00:14:18) もう何の話かわかりましたね 桜とか紅葉とかです
(00:14:24) 春に日本に来たら山に登って桜を見て そして秋に日本に来たら山に登って紅葉を見て
(00:14:34) このね綺麗なものを見るっていうだけでも十分楽しめると思うので 運動が苦手とか
(00:14:41) たくさん歩くのは疲れるからちょっとなっていう人は本当に綺麗なものを見るだけでも 楽しいのでぜひ山に登ってみてください
(00:14:50) あと個人的にはねあの ちょっとね危ないし大変だから
(00:14:56) あんまりおすすめはできないかもしれないけどでも春とか秋だけじゃなくて 冬の山も見ててすごい綺麗だなぁとは思うので
(00:15:08) 雪が好きな人あとは寒いのが大丈夫な人 そういう人はね
(00:15:15) 冬の山っていうのもちょっとどっかに行って見てみてください 雪で周りが全部白くなってる景色っていうのはね
(00:15:25) すごく綺麗です まあ雪降ってたらね山じゃなくって街の中でもだいたい綺麗なんですけどね
(00:15:34) はいじゃあこんなのが日本の山についてです 日本ってね本当大きい街もあれば自然もたくさんあるので遊ぶところはたくさんあります
(00:15:46) ぜひ旅行に来てそしていろんな遊びをしてみてください 日本に来て遊ぶときにはもちろん日本語を使わなければならないのでこの
(00:15:56) ポッドキャストをたくさん聞いて日本語の練習もたくさんしてくださいね さあそれじゃあ今日はこの辺で終わりにしたいと思います皆さんの国でも山の中でできる
(00:16:06) いろんな遊びとかあったらぜひ教えてくださいね それじゃあさようなら
