ep. 047 - 令和(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:04:24) でこの大和とか今は令和 令和の前は平成
(00:04:31) この年の前につける言葉を元号と言います 元号です
(00:04:37) 今の日本の元号は令和です この元号っていうのは基本的には今は
(00:04:46) 天皇が変わると元号も変わるというルールがあります なので去年はその天皇が
(00:04:56) 今の前の天皇からその天皇の子供の子供に変わって それで一緒に元号も平成から令和に変わりました
(00:05:07) 今まではこの元号が変わるのは天皇が亡くなった時でしたね 天皇が亡くなって
(00:05:17) それで天皇が亡くなってからその子供に変わる それが普通だったんですけど去年はそれまでとちょっと違って
(00:05:26) あの 前の天皇は亡くなってませんまだ元気です
(00:05:32) まだ元気なんですけどでも あのだんだんお年を召してきたって言うんですけど
(00:05:39) あの年を取ることを丁寧に言うとお年を召してきたって言うんですけどね そのだんだん前の天皇の人が年を取ってきて体も弱くなってきて
(00:05:50) それで 今の天皇の仕事がだんだんできなくなってきたから
(00:05:56) だから もっと体が弱くなってあの仕事が全然できなるとできなくなるとかあとは
(00:06:05) 亡くなってしまう前にあの元気なうちに次の子供に 天皇を変わってもらった方がいいと言ってそれで去年は新しい天皇に変わりました
(00:06:18) ちなみにですねあの今は天皇が変わった時だけ言語が変わるんですけど 昔はそうじゃありませんでした
(00:06:29) 昔はねあの天皇が変わってなくても結構たくさん言語を変えてました でそのね言語を変える理由も
(00:06:40) 変な理由が結構多かったみたいですね これが本当かどうかわかんないですけど
(00:06:48) まあ有名な話だから多分本当だと思うんですけど どんな理由があったかっていうと例えば
(00:06:56) 空に綺麗な雲があったから変えたとか あとは
(00:07:03) 珍しい亀をもらったから 亀っていう名前が入っている言語に変えたとか
(00:07:11) そういうね変な変なっていうかその時の人はそれがすごいことだと思ったんでしょう けど
(00:07:20) 今の人から考えるとねあのちょっと変だなって思うような そんな理由で言語が変わってたことがありました
(00:07:29) これは本当に昔の話ですけどね だから今は言語って
(00:07:35) その天皇が変わる時だけだから そんなに短い期間で何回も変わるっていうことはないんですけど
(00:07:44) 昔の言語はすぐに変わるっていうこともあったみたいです 1年だけとか
(00:07:52) すごく短いと 2ヶ月くらいだっけな
(00:07:56) まあとにかくすぐね新しい言語に変えたりしたそうですね さっき言った珍しいものがあったとかそういう理由だけじゃなくて何か
(00:08:09) 縁起が悪いこととか嫌なことっていうのがあった時にも言語を変えるっていうことが よくあったみたいです
(00:08:20) 縁起が悪いとか嫌なこととかっていうのは例えば
(00:08:26) 大きい地震があったとか あとは食べるものがなかなか取れないとかそういう理由ですね
(00:08:35) さあこれが日本の年の数え方 和暦です そしてその和暦で使う言語です
(00:08:43) 日本では昔から和暦を使っていたから もちろん昔の人は和暦だけで年を数えてたんですけど
(00:08:52) 今は最初に言った西暦 西暦もあるから和暦を使わないで西暦を使う人もたくさんいます
(00:09:03) 特にあの外国の人が多いところとかは 西暦の方がわかりやすいから和暦はあまり使わないで西暦を使うっていう人が多い
(00:09:15) みたいですね ただ日本の
(00:09:19) 国とかあとは県とか市とかそういう仕事をしているところでは 日本の
(00:09:28) 数え方和暦っていうのは日本のものですから 西暦は使わないでみんな和暦を使っています
(00:09:37) ただねちょっと問題っていうか去年話題になったのは 外務省っていうその国の仕事なんですけど
(00:09:47) 外国とあのいろんな仕事をする国の機関ですね その外務省では和暦は使わないで西暦だけにしたいっていう話をしていました
(00:10:02) 日本の国の仕事をする人たちが和暦をやめたいって言ったので それがねあの大きい大きいかな
(00:10:12) 結構ニュースになりました なんで和暦をやめたいのかっていうと
(00:10:19) 令和に変わったばかりだからその新しいものね せっかく
(00:10:24) 新しい令和っていう言語ができたんだからそれを使えばいいんだけどでも 言語は
(00:10:31) 時々変わるからわかりにくいんですよね 例えば去年も去年の最初はまだ令和じゃありませんでした
(00:10:42) 平成でした そして途中で令和に変わりました
(00:10:48) だから2020年は令和2年っていうのはわかりやすいんですけど 2019年は
(00:10:58) 最初は平成でした だから2019年1月だから平成だとか
(00:11:05) 2019年の7月だからもう平成じゃない同じ2019年だけど 令和にしなきゃとか
(00:11:13) それがねちょっと大変でわかりにくいし 間違えてしまうかもしれないからだから
(00:11:20) あの西暦だけの方がわかりやすい簡単だっていう そういう意見ですかね多分
(00:11:28) ただこれについては他の政治家他の日本の国の仕事をしている人たちね 他の人は
(00:11:36) 外務省っていうその日本の国の仕事をする人が 和暦を使わないで西暦だけにするっていうのは
(00:11:45) そんなのは絶対ダメだっていうふうに言ってました まあ去年は令和っていう新しい言語ができたばかりでしたからね
(00:11:54) 特にその令和を使わないなんて絶対ダメだっていうふうに思ったんでしょうね きっと
(00:12:02) まあこんなのがその日本の年の数え方です 西暦と和暦と2つあって和暦っていうのは言語がたくさんあります
(00:12:13) 昔からいろんな言語が使われてました そして去年日本では新しい天皇に変わったから新しい言語ができて
(00:12:23) それで今日本の年の数え方は 令和という数え方です2020年は令和2年です
(00:12:33) 正直俺もねその西暦と和暦とで2つ一緒に覚えるのはちょっとめんどくさいなって 思う時もあります
(00:12:42) 昭和って何年までだっけとか あの平成の最初の年は西暦何年だっけとか忘れちゃう時があるので
(00:12:52) だからまあどっちか一つだけの方がわかりやすいなとは思うんですけど でもね日本で昔から
(00:13:00) 何百年もずっと和暦っていうものを使ってたので それがなくなるのもそれはそれでちょっと寂しいなと思うので
(00:13:11) これからもね ちょっとわかりにくいけどでも言語
(00:13:17) 言語を使う和暦っていうのも使いたいなと思います ちなみに日本に遊びに来る外国人の人とか
(00:13:25) あとは日本に住んでいる人がいたらその和暦の方の数え方も覚えておくといいですね 時々自分の誕生日を書くときに西暦を書くところがなくて
(00:13:39) 和暦だけの時もありますから だから皆さん自分の誕生日が 日本の和暦で何年なのかっていうのを覚えておくといいですね
(00:13:51) 20代までは平成です 20代までってあの
(00:13:57) 29歳ですね あと平成は31年まであったからそのぐらいの年の人も平成生まれかもしれません
(00:14:06) それよりも年上の人 32歳とか
(00:14:10) 40歳とか50歳とかその人たちは昭和生まれです なので自分の西暦は昭和何年か
(00:14:22) 平成何年かっていうのをインターネットを使うとね すぐに調べることができますからぜひ調べてみてください
(00:14:31) この自分の国の年の数え方がある国って 日本だけじゃないですよね
(00:14:38) 結構いろんな国にその数え方があると思うので皆さんの国では今何年なのか いろいろ教えてください
(00:14:48) さあそれじゃあ今日はこの辺で終わりにしたいと思いますが ここ数日2,3日くらい
(00:14:55) あの 1日のこのポッドキャストの再生回数がすごく多くなってます
(00:15:03) 1日に1000回ぐらいこのポッドキャストが聞かれているみたいですね なんかこんなにたくさん聞かれているのちょっと怖いような気もするんですけど
(00:15:13) でもいろんな人に聞いてもらえてとても嬉しいです ぜひあのこのポッドキャスト聞いて何か意見とか感想とかあったら教えてください
(00:15:23) 皆さんからのメッセージ楽しみにしてます それじゃあさようなら
