ep. 044 - 日本で食べられる食材(N3)

(00:00:00) みなさんこんにちはTOMOです
(00:07:49) スーパーってそこに住んでる人の普段の生活
(00:07:55) 観光の人に見せるための生活じゃなくて
(00:07:57) 普段の生活っていうのがわかるから
(00:08:00) だから本当に面白いと思います
(00:08:04) 特に日本人って何か食べることが好きみたいですね
(00:08:10) どこの国の人でも好きだと思うんですけど
(00:08:13) 日本人っていろんな国の料理を
(00:08:16) すぐに自分の国に取り入れて
(00:08:19) そしていろんなものを作るっていうのを
(00:08:23) 昔からねやってたみたいです
(00:08:25) だから日本料理はもちろんそうなんですけど
(00:08:29) 日本料理だけじゃなくて
(00:08:31) すぐ近くの中華料理とか韓国料理はもちろんそうだし
(00:08:35) ヨーロッパの方の料理とか
(00:08:38) 地球の反対側のブラジルとかね
(00:08:40) そっちの方の料理とか
(00:08:42) いろんなものが日本で食べることができます
(00:08:47) ほんと大きい町、東京とかに行ったら
(00:08:49) 多分ね大抵の国の飲食店とか
(00:08:53) レストランとかあるんじゃないかと思います
(00:08:56) さあこんなのが日本の食べ物ですが
(00:09:00) 結構ね食べるものって国によって違うっていうか
(00:09:05) 他の国では食べないけど
(00:09:07) その国では食べるものっていうのもあると思います
(00:09:11) 俺がね台湾に住んでる時にびっくりしたものと言えば
(00:09:16) コオロギですかね
(00:09:18) コオロギっていうのは虫なんですけど
(00:09:22) 小さい黒い虫でジャンプしたりするやつですね
(00:09:27) 気になる人はコオロギって
(00:09:30) インターネットで調べてみてください
(00:09:33) 俺もね結構何でも食べるんですけど
(00:09:37) 大体のものは食べるんですけど
(00:09:39) 虫だけは絶対食べたくないと思っているので
(00:09:44) 台湾でそのコオロギを見た時はびっくりしました
(00:09:48) こんな風にね
(00:09:50) あのいろんな国にいろんな面白い食べ物ってあると思うので
(00:09:54) 皆さんの国にある面白い食べ物とかあったら
(00:09:57) ぜひ教えてください
(00:10:00) さあそれじゃあ今日はねちょっと短めですけど
(00:10:03) この辺で終わりにしたいと思います
(00:10:06) 他にも何かね皆さんが聞いてみたいテーマとかあったら
(00:10:09) ぜひメッセージを送ってください
(00:10:11) よろしくお願いします
(00:10:12) それじゃあさようなら
