ep. 217 - 日本旅行中にコロナになったら(N4)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:05:29) そのいろいろな薬とか病院じゃなくて
(00:05:33) ホテルにいなきゃいけないってなった時も
(00:05:36) ホテルのお金も出るのかとか
(00:05:38) そういうのをよく確認して
(00:05:40) そしてちゃんとね保険に入ってから来てください
(00:05:43) それが注意ですね
(00:05:45) あとは日本に来てからも注意ですが
(00:05:48) あのちゃんとねそのツアーの旅行だから
(00:05:53) 旅行会社の人と一緒に行かないといけないので
(00:05:57) 旅行会社の人の話をよく聞くっていうのが大切ですね
(00:06:02) あの旅行する人はね
(00:06:05) あんまり気にしなくていいかもしれませんが
(00:06:07) 旅行会社の人はもしコロナの人が出たら
(00:06:12) 例えばレストランだったら何時に
(00:06:15) どこの席に誰が座っていたかとか
(00:06:19) あのそういうのまで全部ね
(00:06:21) あの記録しなければなりません
(00:06:24) データを残さなければなりません
(00:06:26) だからそのちゃんとね全部のデータを残せるように
(00:06:31) 旅行会社の人の話をよく聞かなければなりません
(00:06:36) そして話をよく聞いてその人と一緒に旅行をする
(00:06:41) ねなんかそんなそんなことを聞くと
(00:06:43) あんまり楽しくなさそうな旅行かもしれませんが
(00:06:46) でも今はね日本でできる旅行っていうのはそれだけなんです
(00:06:50) 自由な旅行はまだできないのでしょうがないですね
(00:06:56) あのまたね最近ちょっと
(00:07:00) あのコロナの人が多くなってきたっていうニュースも出てるので
(00:07:05) まだねあのコロナの人多くなったけど
(00:07:09) そんな酷い人あの死にそうな人とかはね
(00:07:16) あんまりいないから
(00:07:16) だからあの前みたいな大きな騒ぎにはならないと思いますが
(00:07:22) でもねコロナの人が多くなったってニュースでよく見るので
(00:07:26) まだねちょっと自由な旅行をするには時間がかかるかもしれません
(00:07:31) 残念ですけどね
(00:07:33) えーとでもしねこれがもっとね
(00:07:37) あのいい薬ができたりとか
(00:07:41) あのもうみんながコロナにかかって
(00:07:45) みんながその交代って言うんですけど
(00:07:50) 一度コロナになった人がね
(00:07:52) 一回なったから体の中にそのコロナになっても大丈夫なものができて
(00:07:57) それでコロナが怖くなくなったりとかそういうことになればね
(00:08:02) あのもっと自由な旅行ができると思うので
(00:08:05) ツアーが好きじゃない人はそれまでもう少し持ってください
(00:08:09) ツアーでもいいそれでも行きたいという人は
(00:08:13) 保険に入ったりとか
(00:08:15) 旅行会社の人の話をよく聞いたりとかして
(00:08:18) そういうルールを守って
(00:08:20) そして旅行を楽しんでください
(00:08:25) はいじゃあ今日はね
(00:08:26) あのコロナの話でしたから
(00:08:28) まあそんなに明るい話ではありませんでしたが
(00:08:32) でも日本に来ることができる
(00:08:36) 今まで全然できなかったからね
(00:08:38) その来ることができるようになったという話題は
(00:08:41) 今までと比べたらいいことなので
(00:08:45) あのまあそうですねよかったですね
(00:08:48) これからもっといい話が増えてくるといいですね
(00:08:53) では今日はこの辺で終わりにしたいと思いますが
(00:08:55) 他にも何か皆さんもリクエストとかあったら
(00:08:58) ぜひメッセージとか送ってください
(00:09:00) ペイパーでも載せておくので
(00:09:03) もしこのポッドキャストが気に入った
(00:09:05) よかったと思う人は応援お願いします
(00:09:09) ではまた次のエピソードでお会いしましょう
(00:09:11) さようなら
