ep. 179 - 台湾の経験(N3)

(00:00:00) 皆さんこんにちはトモですこれは日本語の勉強をしている人のためのポッドキャストです
(00:08:24) で俺は結構ね やっぱり慣れてきて
(00:08:28) 自分はそんなことしないけどこの人はそうするんだなっていうのがあってもそれに対して別にイライラするとか怒ったりとかはなくなりましたね
(00:08:40) 自分は違うけどこの人はこうなんだなとか この国の文化ではこういう考え方なんだなっていうふうに
(00:08:48) すんなり受け入れられるようになりました これがね
(00:08:53) まあ台湾 って生活
(00:08:56) したからっていうかまあ他の国でも多分そうなったと思うんですけど 外国に行ってねその海外の生活で成長できた部分だなぁと思います
(00:09:08) まあこんなのがね海外での生活ですね あの良かったことだね
(00:09:14) 悪いことはそんなにないとは思うんですけど まあ強いて言うなら
(00:09:20) 台湾に行くまでは台湾の美味しい料理を知らなかったから 台湾料理食べなくてもストレスは感じなかったんだけど今はね
(00:09:31) やっぱり台湾に長いことを済んでたから
(00:09:34) 半分ねあの自分の地元みたいな感じだから時々ねすっごい 台湾の料理が食べたくなってねそれがちょっとストレスかな
(00:09:44) ねあのそんなに大きな問題じゃないんですけどね 今ねコロナで全然海外に出られないから毎年台湾に行ってね
(00:09:52) 友達に会ったりとか台湾の好きなものをたくさん食べたりとかしてたんですけど 全然台湾に行けないからそれがストレスだったりとか
(00:10:00) してたんですけど 全然台湾に行けないからそれがストレス
(00:10:05) これはね海外で生活しなければ あの感じることがなかったストレスだなぁと思います
(00:10:14) さあそれじゃあこんなのがね台湾での生活で俺が得たものですね 総合的に考えるとそのさっき言ったカルチャーショック
(00:10:25) 嫌なことっていうのももちろんあったんだけどでもねプラスの方がもう全然多くて あの台湾にいた期間というのはすごい貴重なものだったなというふうに
(00:10:35) 思っています 今でも時々ね実は台湾に行って台湾に行ってというか台湾に帰ってっていうか
(00:10:43) 前にいた学校で仕事をする夢を見ることがあります そういう夢を見るとねまた台湾のご飯とか食べたくなるんですけどね
(00:10:53) あとは台湾での経験というのがすごい良いものだったから あの
(00:11:00) 今度はね違う国 アジアじゃなくてヨーロッパとかねそっちの方に行って生活してみたいなっていうような気持ちも
(00:11:11) 芽生えましたね 俺はもともと海外に全然興味がなかったんですけど
(00:11:16) やっぱりその台湾での生活があったからこそその違う国の生活にも興味が出てきたので まあ今はねちょっと
(00:11:27) 海外に行って仕事するなんてもうできないけど そうだなぁ50歳60歳今の仕事を辞めてその後第二の人生を歩み出すっていう時には
(00:11:43) もしかしたら違う国で仕事とかねやってみてもいいかもしれませんね まあこういうふうにねいろんな考え方の幅が広がったから本当に海外の生活って
(00:11:52) 良かったなぁと思うので 若い人たちはぜひねそのいろんな世界を知ってもらいたいなと思います
(00:12:02) はいじゃあ今日のリクエストは台湾でのその生活っていうことだったんですが 台湾の生活っていうかね台湾で得たものっていう話になっちゃいましたが
(00:12:12) あの 結構いい経験ができたから皆さんもこの話を聞いていろんなことにチャレンジしてほしいなと思います
(00:12:23) 他にも何かリクエストとかね感想とか意見とかあればいつでもメッセージ 待ってますので送ってくださいただちょっと返上するのは最近忙しくて遅くなっちゃって
(00:12:34) ますすいませんでも必ず皆さんのメッセージ全部読んでますし 遅くなりますができるだけ返信はするようにしてますので気長にお待ちください
(00:12:45) それじゃあ今日はこの辺で終わりたいと思いますさようなら
