ep. 168 - 不安の克服(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:04:16) たくさん話をしてたくさん慣れるしかないと思うんですよね でねあの
(00:04:25) これねちょっと 間違えるのが怖くて話せないっていう人に聞いてみたいんですけど
(00:04:33) 外国語で話すときに 文法とかね言葉とかを
(00:04:39) 間違えて 何か
(00:04:43) 悪いことありますか ねいや
(00:04:47) 間違えることがそれ自体が怖いって言われたらもうそれで終わりなんですけど 俺はねその日本人として日本語を勉強している人の話を
(00:05:00) 聞いたときにね 全然間違った日本語とか言葉とか文法とかをね間違ってても
(00:05:10) 気にしないんですよ
(00:05:13) それはもちろんね俺が日本語の先生だからっていうのもあると思うんですけど でも
(00:05:20) あの まあ子供の時からですねその日本語の先生になる前もずっと
(00:05:28) あの外国の人がね日本に旅行に来てそれで日本語で話しかけたりとかしてきたときに 待ちふえても全然
(00:05:37) あの 旅行に来たくせに
(00:05:40) 下手な日本語を使うななんて怒ったり絶対しませんからね むしろ日本語の勉強頑張ってんだな頑張って日本語で話してるんだなって思うと
(00:05:50) 逆に好意的な気持ちにすらなります
(00:05:55) で あの
(00:05:58) もしね間違いが多くてわかんなくても
(00:06:03) ごめんちょっとわかんなかったそれどういう意味っていうふうに聞き返すことはあると思うん ですけど
(00:06:10) それをねあの
(00:06:13) それは別に怒ってるわけではない むしろ
(00:06:17) こう下手な日本語で話されて俺がわかんなかった時ねその時も あの
(00:06:24) 下手だからもう話すのやめようっていうふうに思われるよりも 今の説明じゃわかんなかったからじゃあちょっと違う言葉でもっといろんな言い方で説明して
(00:06:35) みようって言ってそのね 下手な日本語であってもたくさん話してもらった方がコミュニケーションを取りやすいんですよね
(00:06:44) だから 間違えること自体何にも問題ないし間違えても
(00:06:50) あの 大丈夫なんですよ
(00:06:54) だから その自信を持って話すためにはね
(00:06:59) どうすればいいのかというと 間違えても大丈夫
(00:07:05) 間違えるのは悪いことではないっていうのを 何回も
(00:07:11) 間違った日本語を話して失敗してであって大丈夫なんだなっていうことを実感するの がいいんじゃないかなと思うんですよ
(00:07:20) だから最初はねやっぱりその外国語で話をする時に間違えたらどうしようと思うかもしれない けど間違えたらどうしようの先まで考えてみてください
(00:07:34) 今ここで日本語を使って話をしても相手に伝わらないかもしれない でも伝わらなかったらじゃあ何か問題ある
(00:07:45) って考えてみてであの 下手な日本語でね
(00:07:51) 間違って相手に怒られるっていうことは絶対ないから それ考えてみると間違ったらどうしよう
(00:07:58) あれいや待てよ間違えても別にいいじゃんっていうことに気づけるんじゃないかなと それでもやっぱり最初は間違えたら怖いと思うかもしれないけど
(00:08:11) あの たくさん日本語をね
(00:08:14) 使っているうちに間違えても大丈夫だっていうことがわかってくると思います 自分の日本語下手だけどでも
(00:08:23) 下手な日本語なりにいろいろ話せばわかってくれる っていう気持ちがどんどん多くなるとそういう実体験が増えてくると緊張とかねどんどん
(00:08:33) なくなってくると思います でやっぱり俺もねその台湾に住んでる時に
(00:08:40) 最初は中国語で話すのが怖かったけど だんだんね慣れてくると
(00:08:46) 特に台湾の人ってねあの優しい人多いんですけど 日本人っていうと
(00:08:53) あのすごい親切にしてくれる人多かったから 俺の下手な日本語でもなんか話は聞いてくれるし
(00:09:01) あの頑張って英語とかも使っていろいろ説明しようとしてくれるから 結構ね
(00:09:08) あの 大丈夫だったんですよ
(00:09:12) あの最悪 中国俺の中国語も通じない相手の英語とか日本語相手が英語とか日本語も
(00:09:20) わかんないでもその時も 顔とジェスチャーで
(00:09:25) なんとなくコミュニケーションは取れました だからねそういうことに気づいてくると俺中国語下手だけど間違えても何とかなるなっていう
(00:09:34) 気持ちがどんどん大きくなってそれで最終的には中国語で話す その緊張感とかね不安とかもなくなっていきました
(00:09:42) はいということでもうとにかく同じ話を何回も繰り返すようなんですけど 間違えても大丈夫なんですよ
(00:09:52) 本当に今日はこのエピソード同じ話何回も言ってる これしか言ってないけど間違えても大丈夫
(00:09:58) 間違えても何も悪いことはないし あの怒られたりもしない
(00:10:04) それに気づけるかどうか っていうのが重要かなと思います
(00:10:11) まあねその 時々ね
(00:10:15) えっとこの今日のメッセージくれた方はベトナムの方なんですけど 例えばベトナムの人だと日本語を勉強したときに
(00:10:25) あの つ立ちつてとのつこれがね苦手で言えない人っていうのが結構多いんですよね
(00:10:33) 熱がね中みたいになっちゃうで あの日本語の2と中を間違えると
(00:10:41) 時々に恥ずかしいこともあるんですよ 例えばあの机の上に本がありますというときに宿泳の上に本がありますって言ってしまう
(00:10:50) と 小さい子供赤ちゃんみたいな話し方に聞こえちゃうから
(00:10:57) それでねあの えっとちょっとこう大人が赤ちゃん言葉を使ってるっていうふうに聞こえて笑われてしまう
(00:11:06) ことなんかはあるかもしれない だからあの間違えてもいいんだ
(00:11:12) でもちょっと笑われるのは嫌だなって思ったら その
(00:11:18) 自分のねあの日本語の ちょっとこう分かりにくいところとか間違いやすいところ
(00:11:25) まあ自分だけじゃなくて自分の国の人 まあ例えばそのベトナムだったら2が難しいみたいなね
(00:11:33) そういうところがわかると そこだけをちょっとね対策としてなんかいろんな練習をしてそれで会話ができるかなと思う
(00:11:42) ので 間違えてもいいけど絶対間違えたくないところっていうのをそこだけを決めてそれをしっかり
(00:11:50) 練習して でそれ以外はまあいいやっていう気持ちでいけば
(00:11:56) いいんじゃないかなと思います
(00:12:00) じゃあ今日はなんか長い割に大した話はしてないですね同じことしか話してないんです けど
(00:12:07) その外国語を話すときの不安とか緊張とかですねそれを取り除くためにどうすればいいのか っていうことで
(00:12:15) あのたくさん話をして間違えても大丈夫だということに気づいて そして慣れてください
(00:12:23) それがねあの一番だと思いますそして間違えることに慣れて大丈夫だ たくさん話そうって思ってたくさん話していると
(00:12:32) あのどんどんね日本語も上手になると思いますから 日本語を勉強している皆さんはぜひ頑張ってたくさん間違いをしながらね話をしていただき
(00:12:43) たいなと思います
(00:12:46) はいじゃあ今日はねえっと参考になったかどうかはわかりませんが リクエストというか質問の答えでした
(00:12:55) 皆さんも何かこうリクエストとかあったらねぜひメッセージとかコメントとかをください 皆さんからのコメントを楽しみに読んでます
(00:13:03) じゃあこの辺で終わりにしたいと思いますさようなら
