ep. 145 - 最近の東北(N3)

(00:00:00) みなさんこんにちはトモです
(00:03:28) 町もたくさんあるんですが
(00:03:31) 宮城県の仙台っていうところは
(00:03:34) 俺も地震の後に何回か行ったことあるんですが
(00:03:38) そこはね
(00:03:40) まあ見た目だけだったら
(00:03:42) かなり良くなってきたっていうか
(00:03:47) 元通り復興したんじゃないかなっていうような気はします
(00:03:53) 仙台の港の近く
(00:03:57) 海ですね海の船が来るところの近くに
(00:04:01) 大きい水族館とか
(00:04:03) あとはアウトレットモールって言って
(00:04:06) まあいろいろな服とかね
(00:04:07) カバンとかそういうお店がたくさん集まってるところがあるんですけど
(00:04:12) 俺はそこにね前に行ったんですよ
(00:04:15) でやっぱりその辺は
(00:04:17) 地震の時はすごいもう津波とかで
(00:04:19) ひどい状況だったらしいんですけど
(00:04:22) 今はその地震の後に大きい水族館を作って
(00:04:27) であとはアウトレットモールも
(00:04:29) やっぱり地震の後はね
(00:04:31) すごいひどかったらしいんですけど
(00:04:33) でも地震の後結構すぐに営業再開することもできたみたいだし
(00:04:37) 今はねその地震の影響というか
(00:04:40) 壊れたところなんかももちろん全然ないし
(00:04:43) お客さんもすごいたくさん来てるから
(00:04:46) だからねその辺は不幸が進んでるような気がしました
(00:04:52) ただやっぱり見た目じゃね
(00:04:53) さっきも言ったけど
(00:04:55) 見た目じゃわからないところって結構あるんですよね
(00:04:59) もちろんその地震とか津波とかで
(00:05:02) 大切な人が亡くなってしまったとかね
(00:05:05) あのずっとこれから死ぬまで残るような
(00:05:08) 大きな怪我をしてしまった人とか
(00:05:11) 大切なものが全部なくなってしまったとか
(00:05:13) そういう人もたくさんいると思うので
(00:05:16) そういう見た目じゃわからない心の傷とかですね
(00:05:21) それはやっぱりどんなに街が賑やかになっても
(00:05:25) 人が増えてもなかなか治らないものってのも
(00:05:30) あるんじゃないかなと思うので
(00:05:32) そういう点はねちょっと難しいですね
(00:05:35) 俺からは完全に復興したっていう風に
(00:05:38) 言うことはできないと思います
(00:05:40) ただ復興ってすごい難しいとは思うんですけど
(00:05:44) でもこうやって日本人じゃなくて
(00:05:48) 外国の人でも地震の後どうなったかとかね
(00:05:52) そういうのを気にしてくれるっていうのは
(00:05:54) 日本人としてはすごく嬉しいですね
(00:05:58) まあなかなかねその治らない
(00:06:01) いろんな傷とかそういうのもあると思うんですが
(00:06:05) みんなにこうやってね
(00:06:06) あの気を使ってもらうっていうか
(00:06:09) 心配してもらったりとか
(00:06:12) でそれであと他にもみんなでね
(00:06:15) 傷ついた人もいるけど
(00:06:17) でも頑張っていこうっていう
(00:06:19) そういう気持ちがあれば
(00:06:21) まあなんとかなるんじゃないかなとは思います
(00:06:25) なんとかなるっていうか
(00:06:27) なんとかしなきゃいけないんですよね
(00:06:30) 自分たちでいつまでも落ち込んでは
(00:06:33) 落ち込んでてもしょうがないからね
(00:06:36) であの地震の影響とか津波の影響って
(00:06:40) もちろんその宮城県だけじゃなくて
(00:06:42) まあ宮城県福島県とか
(00:06:44) あとはその近くですね
(00:06:45) いろんなところにもあるんですけど
(00:06:48) ちょっとね俺が行ったことあるのは
(00:06:50) そのくらいなので
(00:06:51) 他がどうなってるかっていうのは
(00:06:53) はっきりは言えないんですけど
(00:06:55) でも俺が実際に行った
(00:06:58) 宮城県の様子とかあとは
(00:07:00) その福島のね原発の近くの町で
(00:07:04) こうまた人を集めて
(00:07:06) 賑やかにしようっていう風に挑戦したりとか
(00:07:09) そういうことはみんなでどんどんしているので
(00:07:13) あのこれからもあの地震のね
(00:07:16) 被害にあったところ
(00:07:17) 津波の被害にあったところも
(00:07:20) またね元気になっていくんじゃないかなと
(00:07:24) 思うって言ったら
(00:07:27) ちょっと違うかな
(00:07:29) やっぱり傷ついた人の気持ちは
(00:07:31) 俺には完全にはわからないから
(00:07:34) その人たちが絶対に元気になるとは言えないけど
(00:07:39) でもみんなでね
(00:07:40) 元気にしていくっていうのを
(00:07:43) 期待はしています
(00:07:44) 日本人として
(00:07:47) ということでまあこんなところで
(00:07:50) あの地震から10年後の日本はどうですか
(00:07:54) っていうお話でした
(00:07:57) まあやっぱりねその話題が
(00:08:01) 地震でねたくさんの人が亡くなったとか
(00:08:03) そういうものなので
(00:08:04) 明るい話にはなりませんが
(00:08:07) でもこれからのことをね
(00:08:09) 期待するっていうのは大事ですよね
(00:08:12) なので今俺が見てきたところだけって言えば
(00:08:16) すごいこうみんな頑張って
(00:08:18) 盛り上げていこうっていうのがすごくわかったし
(00:08:21) 実際にあの賑やかにもなってたし
(00:08:25) これからもねきっとそういうふうに
(00:08:27) あのみんながこうやって心配して
(00:08:28) これから頑張りましょうっていうふうに
(00:08:30) 元気な気持ちでいれば大丈夫だと思うので
(00:08:34) もしねこういう地震の後大丈夫だったかなっていうふうに
(00:08:37) 気にしてくれる人がいたら
(00:08:39) 実際に東北の方に行ってみてください
(00:08:42) ぜひまあコロナが落ち着いたらになりますけどね
(00:08:47) はいじゃあ今日は地震の話でした
(00:08:49) リクエストありがとうございました
(00:08:50) こうやって日本のねいろんなことに
(00:08:53) あのいろんなことを気にしてくれるっていうのは
(00:08:56) すごく嬉しいです
(00:08:58) 他にも何かリクエストとかあったら
(00:08:59) 皆さんもぜひメッセージとか送ってください
(00:09:02) それじゃあ今日はこの辺で終わりにします
(00:09:05) さようなら
