ep. 179 - 台湾の経験(N3)

皆さんこんにちはトモですこれは日本語の勉強をしている人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
自分はそんなことしないけどこの人はそうするんだなっていうのがあってもそれに対して別にイライラするとか怒ったりとかはなくなりましたね
自分は違うけどこの人はこうなんだなとか この国の文化ではこういう考え方なんだなっていうふうに
すんなり受け入れられるようになりました これがね
まあ台湾 って生活
したからっていうかまあ他の国でも多分そうなったと思うんですけど 外国に行ってねその海外の生活で成長できた部分だなぁと思います
まあこんなのがね海外での生活ですね あの良かったことだね
悪いことはそんなにないとは思うんですけど まあ強いて言うなら
台湾に行くまでは台湾の美味しい料理を知らなかったから 台湾料理食べなくてもストレスは感じなかったんだけど今はね
やっぱり台湾に長いことを済んでたから
半分ねあの自分の地元みたいな感じだから時々ねすっごい 台湾の料理が食べたくなってねそれがちょっとストレスかな
ねあのそんなに大きな問題じゃないんですけどね 今ねコロナで全然海外に出られないから毎年台湾に行ってね
友達に会ったりとか台湾の好きなものをたくさん食べたりとかしてたんですけど 全然台湾に行けないからそれがストレスだったりとか
してたんですけど 全然台湾に行けないからそれがストレス
これはね海外で生活しなければ あの感じることがなかったストレスだなぁと思います
さあそれじゃあこんなのがね台湾での生活で俺が得たものですね 総合的に考えるとそのさっき言ったカルチャーショック
嫌なことっていうのももちろんあったんだけどでもねプラスの方がもう全然多くて あの台湾にいた期間というのはすごい貴重なものだったなというふうに
思っています 今でも時々ね実は台湾に行って台湾に行ってというか台湾に帰ってっていうか
前にいた学校で仕事をする夢を見ることがあります そういう夢を見るとねまた台湾のご飯とか食べたくなるんですけどね
あとは台湾での経験というのがすごい良いものだったから あの
今度はね違う国 アジアじゃなくてヨーロッパとかねそっちの方に行って生活してみたいなっていうような気持ちも
芽生えましたね 俺はもともと海外に全然興味がなかったんですけど
やっぱりその台湾での生活があったからこそその違う国の生活にも興味が出てきたので まあ今はねちょっと
海外に行って仕事するなんてもうできないけど そうだなぁ50歳60歳今の仕事を辞めてその後第二の人生を歩み出すっていう時には
もしかしたら違う国で仕事とかねやってみてもいいかもしれませんね まあこういうふうにねいろんな考え方の幅が広がったから本当に海外の生活って
良かったなぁと思うので 若い人たちはぜひねそのいろんな世界を知ってもらいたいなと思います
はいじゃあ今日のリクエストは台湾でのその生活っていうことだったんですが 台湾の生活っていうかね台湾で得たものっていう話になっちゃいましたが
あの 結構いい経験ができたから皆さんもこの話を聞いていろんなことにチャレンジしてほしいなと思います
他にも何かリクエストとかね感想とか意見とかあればいつでもメッセージ 待ってますので送ってくださいただちょっと返上するのは最近忙しくて遅くなっちゃって
ますすいませんでも必ず皆さんのメッセージ全部読んでますし 遅くなりますができるだけ返信はするようにしてますので気長にお待ちください
それじゃあ今日はこの辺で終わりたいと思いますさようなら
