ep. 213 - JLPT公式問題集1の解説-N2問題10(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本は面白くないでもドラマや映画は難しすぎる
今まであのインクは5%引きだけど7月と8月に買うともっと安いですよっていうのがこの メールですね
で最初は挨拶だから読まなくていい最後もこれからもよろしくっていう挨拶だから最後は 読まなくていい
だからこのさての部分だけ読んでそのインクの割引の話だっていうのがわかりましたね そうするとこれは答えはあの2番ですね
7月と8月にインクを買うと5%普通は5%引きなんだけどそれよりももっと安く買える っていうのがこのメールです
はいじゃあその次ですね3番に行きますねえっと3番はねー と質問を見るとね筆者は恐怖や不安をどう
このね捉えるっていうのはまあどう考えるかという意味ですね でねこれね筆者の考えを聞かれるタイプって結構簡単でだいたいね
日本語のこの読解の問題で筆者の考えて最後にあるんですよ そうするとね
えっとこの話のテーマってもう恐怖とか不安っていうのがわかりますよね あの最初を見ると恐れるとか不安とか書いてあるから
でその恐れる不安についての筆者の意見だからもう最後だけ読みましょう 最後を読むと人間も不恐怖や不安という名のブレーキを使って自分たちの
安全に役立てると書いてあります つまり不安とか恐怖が自分の安全に役に立つというのがこの筆者の意見ですね
この人の考えです そうすると
んと 恐怖とか不安が安全に役に立つっていうのとだいたい同じ意味だから2番の恐怖や不安
を感じるのが安全につながるってのが答えになりますね はいじゃあその次いきますよ今度は4番です
うんと 人に問題問題というか質問を見ると人に強い影響を与えるのは
なんとか限りませんとあるがなぜかですね さあこの線を引いてある部分ですがそれがどうしてかという理由です
でねこの線を引いてある部分が最初ですね 読解の最初っていうのはだいたいテーマとかねその話の話題が書いてあります
んで えっと線が最初に引いてあるからそのテーマの部分ですがそれがなぜか
はいテーマについての筆者の意見だからこれもね最後を見たらわかるんです 一番最後の分見てください
学ぼうとする学ぼうとする姿勢があれば何からでも価値あることが学べる で最後に丁寧に私は思うって言葉までつけてくれてますね
はいなのでもここが筆者の意見でそのテーマの答えだっていうのがわかります そうするとうーんと学ぼうとする姿勢があるっていう話ですね
えっとそれが わかるのはうーんと一番ですかね
強い影響を与えるかどうかは読み手の姿勢で決まる その読み読みて読む人がどういうつもりで読んでるかってことですね
うーんとはいじゃあその次行きますね最後です えっと5つ目の問題ですね
えっとね筆者が考える絵画とはどんなものなんですかっていう質問でこれね あの
最初見た時にあこれも簡単なタイプかな 筆者の考えが聞かれてるから最後だけ読めばいいのかなって思ったら残念ながらそうじゃ
なかったんです うーんと選択肢を見ていくと
あの この文章の中のいろんなところの
ねえっと話が出てたのでこれ残念ながら最後だけ読む問題ではありませんでした なので選択肢を一つ一つ確認してその後で全部読んでいってで答えを探しました
えっとねそうするとまあ選択肢1個ずつ見ていくとあの絵画とは 筆者が考える絵って何なのかっていう話ですがまず一番は
想像力で書いたもの2番が心の中に感じ取って書いたもの 3番もえっとこれも
想像なんだけど一番の想像は目で見たもの えっと3番の想像は存在しないものを想像しながら書く
で4番はうんとできるだけ現実に近づけて書く でこのどれかという話ですね
で えっとどれなのかというのを探しながら読んでいきますと
と 絵画とは何か絵画とはっていう話がありますね真ん中ぐらいに答えがありました
絵画とは目の前の自然を心の中に消化する 心の中に消化するっていうのは自分の心の中に1回入れて
そしてそれをもう1回吐き出すここでの吐き出すとか消化っていうのは 消化も吐き出すも食べ物に関わる話なんですが
8絵の話だから食べ物の話ではありませんこれはたとえの話ですね 8だから
あのもう一度吐き出せって書いてあるけどこの吐き出すというのを絵を書くっていう 意味です
そうすると自分の心の中に1回入れてそしてそれを絵として書き出すっていうのが この人の言ってることなので答えは一番近いのがにですね
この心の中で感じてそしてそれを書いたもの
はいじゃあここまでで問題10が終わりですでね最後の 問題とかあとはメールとかもねちょっと全部読まないと答えがわからなかったり
するんですが 1と3と4これはね
筆者の考えていることなんですかっていうタイプの問題で で筆者の考えていることって大体最後読むとわかるのでこうやってね
最後の部分だけ最後の1分とか2分だけ読んで答えを出すっていうことができます えっとこれがね読解のテクニックの一つですね
キーワードとか探してそこだけ読んだりとか筆者の考えが聞かれてたら 考えがよく書かれている最後だけを読むとか
こういう読み方するとね効率よくしかも他の部分ですね あの関係ないところに惑わされない
こっちが答えかなあでもこっちもなんか似てることが書いてあるなっていうそういう 迷うことがなくなります
はいじゃあねえっととりあえず問題10がここで終わりです その次問題11はまた
次のエピソードですかねそこで問題の解き方を話していきたいとおもいます ああじゃあ今日はこれで終わりになります
文法の最後の問題と読解と1日で2つ やりましたが
皆さんもあの疲れたかもしれませんが勉強頑張ってください えっとこのポッドキャストこのエピソードが少しでも役に立ったと思う人いたら
8ペイパーのアカウントを載せておくのでちょっとでもいいので応援してくれると嬉しい です
それじゃあ今日はこれで終わります次のエピソードでまたお会いしましょうさようなら
