ep. 194 - おすすめの漫画5(N2)

ん
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
白毛のパロディーが出てくるんですよ 白毛ってあの白いクジラアメリカの昔の有名な小説ですね
メルビルかなその人が書いた小説の白毛のワンシーンで 船長が
あの死んでしまった後に 手招き手を動かしてこっちへ来いって言ってる動きをしているように見えるっていう
そういうシーンがあるんですけどね そのシーンが漫画の中にちらっと出てきたりとかするんですよ
だからそういうねあの大人 それも強要のある大人ですかねそういう人にしかわかんないようなパロディーとか
ギャグなんかも入っているのでただね戦って あの敵を倒すとかギャグやってるだけとかそういうんじゃなくて
すごいこういろんな知識とか経験とかを持ってそれで書き上げている作品なんじゃない ですかねだからきっと大人になってから読んでも面白いのかなっていう気がします
であの最初の方はやっぱり単純に1は完結なんですけど後からどんどんどんどんね あの
長い話とかも出てきますし 魅力的なキャラが多いっていうのもこの作品のいいところですね
特に主人公は三上っていう人なんですけど 主人公じゃないそのサポートキャラの人が後からどんどん力をつけていって
最終的にはねもう一人の主人公って言われるぐらい主人公より目立っちゃうような人が いるんですけどこの人もねすごい魅力的なキャラで横島っていう名前なんですけどね
そういうところもまあ いいとこですかね面白いとこですねまあとにかく
一口にただギャグ漫画って言って終わらせることができないものなのでぜひ読んで みてください
はいじゃあとりあえず今日は3つの作品を紹介しましたがまだまだ面白いマンがたくさん あるので次回もう少しいくつか紹介したいと思います
ただね今回とその次とで紹介する漫画は基本的に俺が昔読んでた漫画を引っ張り出して きてそれで紹介してるから古い漫画ばっかりです
今の漫画みたいにパソコンで書いたりとかはできないからね昔は だからその全部手書きだからちょっとね絵が荒いとことかはあるかもしれないので
そういうのはね慣れるまでもしかしたらちょっと嫌な人もいるかもしれませんが まあとにかく面白いのでぜひ読んでみてください
はいじゃあ今日はね一旦ここで終わりにしたいと思いますまた次も漫画の紹介です 漫画好きな人は楽しみにしていてくださいそれじゃあさようなら
