ep. 053 - 文法〈は vs が〉(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:03:35) これは私の友達は綺麗です 綺麗はな形容詞だからはです
(00:03:44) 綺麗なのはその友達全部です じゃあ友達全部の話じゃなくて友達の何か一つだけの話をしたいとき
(00:03:55) 例えば私の友達は髪が長いです
(00:04:02) こういうふうに言うと私の友達全部が長いんじゃないですね 全部が長いってちょっと変ですね
(00:04:10) 友達の中の一つだけ髪の毛だけ その一つだけを言いたいときは私の友達は髪が長いです
(00:04:21) 髪は長いじゃなくて髪が長いと言います あともう一つがの使い方があってそれは質問の時
(00:04:31) 例えば あの喫茶店のコーヒーは美味しいですって言ったら美味しいはいい形容詞だからコーヒーは美味しい
(00:04:41) なんですけどこれを質問にするとき あの喫茶店は何が美味しいですか
(00:04:50) 何はっていうふうには絶対言いません 質問するときはがです
(00:04:56) あと質問されて答えるときもがです だから何が美味しいですかって聞かれたらコーヒーが美味しいです
(00:05:07) コーヒーがですコーヒーはじゃありません これが最初のはの使い方形容詞とか名詞の時ははと言いましょう
(00:05:19) でねあのこの話をすると時々あの 日本語の教科書でちゃんと日本語を勉強してた人は
(00:05:28) 好きとか上手とかはなけよしなのにいつもがですよねどうしてですかっていうふうに 聞いてくるんですけど
(00:05:38) これは 好きとか上手っていうのは絶対に誰か人のことですよね
(00:05:46) だからです まあ人じゃなくて動物とかでもいいんですけどね
(00:05:51) 私は コーヒーが好きですとか
(00:05:55) これは私の中の好きなもの何か一つだけを話しているから コーヒーが好きです
(00:06:04) 上手とか下手もそうですね 私の先生は話が上手ですとか
(00:06:12) 私の先生は英語が下手ですとか いつも上手とか下手っていうのは誰かの中の一つだけの話をしているから
(00:06:23) そういう時にははじゃなくてがを使います さあそれじゃあ今度は
(00:06:29) 今形容詞と名詞の使い方ではを使いますって言ったけど今度は形容詞じゃなくて 動詞だったらどうなのかという話です
(00:06:42) 形容詞ははを使います動詞ははじゃなくてがを使います いつもじゃないですけどね
(00:06:52) 自分の話するときは私はっていう時多いですけど 他の人の話とか他のものの話するときにはがを使います
(00:07:01) 例えば電車が来ましたとか雨が降っていますとか 他にも明日友達は遊びに来ますじゃなくて友達が遊びに来ますって言ったりとか
(00:07:17) 先生は私に日本語を教えてくれましたじゃなくて先生が私に日本語を教えてくれました とか
(00:07:26) これが動詞の時のがの使い方です どうしてはがを使います
(00:07:34) ここまでががの使い方の 動詞のがの使い方の簡単なルールなんですけど
(00:07:43) じゃあその次ちょっと難しい使い方を言いますね 実は動詞でもがじゃなくてはを使うときがいっぱいあります
(00:07:52) だからねみんなわかんないんだと思うんですけど じゃあどんな時にがじゃなくてはを使うのか
(00:08:01) まず一つ目 反対の時ははを使います
(00:08:07) これは動詞でも形容詞でも全部同じなんですけど 例えばさっきの友達が遊びに来ます
(00:08:17) これを友達がじゃなくて友達はって言ったら 家族は遊びに来ないでも友達は遊びに来る
(00:08:30) 来ないの反対だっていう意味になります まあ別に家族じゃなくても何でもいいんですけど
(00:08:38) はって言ったら その後とか前にでもって言って何か反対のことを言ってるっていう感じが
(00:08:46) します だから他にも明日雨が降るじゃなくて明日雨は降るって言ったら
(00:08:55) 雪は降らないけど雨は降るみたいな感じでやっぱり反対 つまり雨が降るんだったら別のものは降らない
(00:09:06) 何か反対のものがあるっていう意味です このはの使い方を話すときにあの学校でね
(00:09:13) いつも俺の学生に教えるときに例として出すのが 日本人を褒めるときは気をつけなさいっていうんです
(00:09:22) なんでかというと例えば こうクラスメイトでも日本人の知り合いでも誰でもいいんですけど
(00:09:30) 綺麗な人がいたらあなたは今日は綺麗ですねって言ったら すごく失礼だからやめなさいっていう話をするんですよ
(00:09:41) これなんでかっていうと今日は綺麗ですって言ったら それはつまり
(00:09:48) 今日は綺麗だけどでも 昨日は綺麗じゃなかったとか今日は綺麗だけどでもいつもは綺麗じゃないとか
(00:10:00) そういうふうに反対の意味 今日が綺麗だったら他の時は綺麗じゃないっていう反対の意味になっちゃうんです
(00:10:09) だから誰かを褒めるときははに気をつけなきゃいけないんですよ あの持っているものとかでも何でもそうなんですけど
(00:10:18) 友達が可愛い服を着てたらあその服は可愛いねって言うと 他の服は可愛くないとか
(00:10:27) あそのカバンはかっこいいねって言うと他のカバンはかっこよくないとかね こんな風にはは反対の意味になっちゃうから
(00:10:36) だから褒めるときははって言っちゃダメだよっていうふうに話してます だから綺麗っていう時も綺麗ですね
(00:10:44) だけだったり服とかカバンとかを褒めるときも その服はかっこいいじゃなくてその服かっこいいねとか
(00:10:53) その服可愛いね 服はって言ってはいけません
(00:11:00) これがはの使い方で 反対の意味になるっていうものです
(00:11:07) あとねもう一つはの使い方があります それは何かというと
(00:11:15) 2回目の時ははと言います 例えば
(00:11:20) 私には仲がいい友達がいます その友達は来年日本に留学します
(00:11:30) 今友達って2回言ったのわかりましたか 私には仲がいい友達がいます
(00:11:39) 最初はがです友達が そしてその次その友達は来年日本へ留学します
(00:11:48) 友達2回目の時がじゃなくてはになりました 最初に何か話をしてその後2回目とか
(00:11:59) 3回目でもいいんですけど 最初だけがにしてその後ははにします
(00:12:05) 他にも例えば 私の学校には
(00:12:10) とてもいい先生がいますその先生はいつも優しく日本語を教えてくれますとか 先生って言ったのが2回目2回目の時ははを使います
(00:12:25) こんなのがはとがの使い方です もちろん他にもいろんな使い方っていうのがあるんですけど全部説明するとすごく長く
(00:12:35) なっちゃうのでとりあえず今日はここまで じゃあとりあえずはとがの使い方について話しましたが
(00:12:43) えっとちょっと時間が長くなってきたので今日は1回ここまで 次ねまた別のもう少し文法の使い方について話をしたいと思います
(00:12:55) 皆さん最後まで聞けたでしょうか途中で眠くなりませんでしたか 文法は難しいかもしれないけど文法をたくさんしていると日本語も上手になると思うので
(00:13:08) 頑張って聞いてください もちろん文法だけじゃなくて他にも何か聞いてみたいことがあったらどんどんリクエストを送って
(00:13:15) ください それじゃあ今日はここで終わりにしましょう
(00:13:20) また次も文法の話になると思いますが 文法が好きな人は楽しみに待っていてください
(00:13:26) それじゃあさようなら
