ep. 007 - 日本の（食）生活(N3)

(00:00:00) みなさん、こんにちは。ともです。
(00:13:57) 日本にちょっと住んだことがある人はわかると思うけど、やっぱり日本人も寿司はよく食べますよ。
(00:14:05) 開店寿司って言って寿司が回ってくる寿司屋があるんですけど、
(00:14:10) そういうところはあんまり高くないからよく行くことができます。
(00:14:15) ただ毎日はもちろん食べません。
(00:14:19) じゃあ1週間に1回食べるのかっていうとそんなに食べません。
(00:14:23) じゃあどのぐらい食べんの?
(00:14:26) えーとね俺は1ヶ月に1回ぐらいですかね寿司。
(00:14:30) あとは天ぷらなんかも、天ぷらどのぐらい食べるかな?
(00:14:36) えーとね俺の家族、俺の家族っていうか俺の母親かな?
(00:14:42) 母親は天ぷらが好きだったので、
(00:14:46) 家にいる時、実家にいる時は、実家って自分が生まれたうちね。
(00:14:53) その実家にいる時は母親がねよく天ぷらを作ってたので、
(00:14:58) 多分1週間か2週間に1回ぐらいは天ぷらを食べていましたが、
(00:15:03) 今実家を出て自分で料理をしていると、
(00:15:09) 俺もね天ぷら作れますよ。作れますけど、ただ結構めんどくさい。
(00:15:16) あとは天ぷらって油をたくさん使う料理ですからね。
(00:15:21) 食べすぎると体にも良くないですから、
(00:15:24) だから天ぷらも寿司もそんなにたくさんは食べない。
(00:15:28) じゃあ何食べてるのかっていうと、
(00:15:30) 俺はまだ料理をするからそんなにたくさん食べないんですけど、
(00:15:34) 料理をしない人はコンビニのご飯をよく食べます。
(00:15:40) もうコンビニがある国の人ってどこでも結構そうじゃないのかな?
(00:15:46) コンビニにたくさんお弁当とかパンとかカップラーメンとか売ってるんですよ。
(00:15:51) で、そのコンビニの中で多分一番よく食べられてるんじゃないかなと思うんですけど、
(00:16:03) 日本人がすごくよく食べてるもの、それがおにぎりです。
(00:16:08) コンビニのおにぎり。
(00:16:10) おにぎりは多分みんな知ってますよね。
(00:16:13) 丸とか三角の形にして中にはいろいろなものが入ってて、
(00:16:19) 簡単に作れて簡単に食べられる手軽な料理ですけど、
(00:16:24) コンビニのおにぎりってすごい安いし美味しいんですよ。
(00:16:28) で、外国から旅行に来る人にぜひ食べていただきたいのがシーチキンおにぎりです。
(00:16:37) 別に俺コンビニのお店の人じゃないんだけどね。
(00:16:42) ただ日本のコンビニのシーチキンのおにぎりは絶対食べてほしい。
(00:16:48) 多分どこのコンビニでも一番人気があるのがシーチキンおにぎりだと思うんですよ。
(00:16:53) 俺他の国でも日本語を教えてたことがあるんですけど、
(00:16:57) そこで教えてる時もこれはめちゃくちゃ勧めてました。
(00:17:01) 日本に行ったら絶対コンビニのおにぎり食べてみなって。
(00:17:06) めちゃくちゃ美味しいからと。
(00:17:09) そして日本人がよく食べてるものだから、
(00:17:13) 日本人と同じ生活がしたかったらまずコンビニのおにぎりを食べてみろっていう風に話してます。
(00:17:20) 結構ね、旅行に行っていろいろな有名な観光地を見るっていうのもいいんですけど、
(00:17:29) 観光地って日本人はそんなに行かないですよね。
(00:17:35) 毎日の生活で当たり前ですけど。
(00:17:38) 毎日の生活で行くところってコンビニとかスーパーとか駅とかそういうところですよね。
(00:17:45) なので日本の生活を知りたかったらやっぱり観光地もいいけど、
(00:17:53) 日本人が毎日行く場所に行くっていうのが一番だと思うんですよ。
(00:17:58) それにこれはね俺も外国に行った時にするのが好きなんですけど、
(00:18:03) その国の大きいスーパーに行っていろいろ見るっていうこと。
(00:18:10) これ結構楽しいんですよね。
(00:18:13) その国の人がどんなものを食べていて、どんなものを使っているかっていうのがよくわかるから。
(00:18:19) 自分の国と全然違って面白いんですよ。
(00:18:23) 野菜一つとってもね。
(00:18:27) 例えば台湾のスーパーに行くと日本人みんなびっくりすると思うんですけど、
(00:18:33) めちゃくちゃでっかいきゅうりとか逆にめちゃくちゃ小さい白菜とかがあるんですよ。
(00:18:40) 野菜ってねいろいろ種類がありますからね。
(00:18:45) そんなわけで日本の食生活についてですが、
(00:18:50) どうしよう、最初にいろいろな話をしたからあんまり食生活の話できませんでしたね。
(00:18:57) おにぎりの話ですね。
(00:19:00) まあでもコンビニのおにぎりって日本人は絶対食べたことがあるものだから、
(00:19:05) 皆さんもぜひ行ってくださいね。
(00:19:07) これは何度でも言いますけどめちゃくちゃおすすめですよ。
(00:19:12) せっかくリクエストをもらったのにおにぎりの話しかしないっていうのもちょっと寂しいので、
(00:19:18) 今日はちょっと話をしたいと思いますが、
(00:19:21) 今日はそろそろ時間ですからこれで終わりますが、
(00:19:24) 次はもう少し日本の生活について話をしたいと思います。
(00:19:29) ちょっと難しい言葉もありましたが、今日の話はどうでしたか?
(00:19:34) わかりましたか?
(00:19:36) 難しい言葉とか、あとは話のわかりにくいところなどがあったら、
(00:19:41) ぜひぜひメッセージとかメールとか送ってください。
(00:19:46) もう少し詳しく説明したりとかわかりやすい言葉で話したりもできますので、
(00:19:51) 皆さんのいろいろな意見をお聞かせください。
(00:19:55) ポッドキャストの説明のところに俺のTwitterそしてメールアドレスが載っています。
(00:20:01) 皆さんのご意見ご質問などはそちらの方によろしくお願いします。
(00:20:06) では次回は日本の生活についてパート2ということで話をしたいと思います。
(00:20:13) 次のエピソードもぜひぜひ聞いてください。
(00:20:16) それじゃあさようなら。
