ep. 055 - 文法〈文末表現〉(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:05:08) はも自分の意見というか考えたことを言うんですけど 特に何ここびっくりした時とか感動した時とかに使う時が多いです
(00:05:20) 例えば綺麗なものを見たときに綺麗だわって言ったり これがさとかはの使い方なんですけど
(00:05:28) ただちょっとねこの佐藤はは使い方注意です 注意することいくつかあるんですけどまず一つ目
(00:05:37) さとかはは丁寧な言葉じゃないので気をつけましょう あの敬語で話すときは基本的に使いません
(00:05:45) ですのでビジネスシーンでは絶対使わないでください それからもう一つ
(00:05:52) はは普通男の人は使いません 辞書とか見てもだいたい書いてあるんですけどはっていうのは
(00:06:02) あの女の人がよく使う言葉で男の人が使うとちょっと変です 逆にさっていうのは男の人がよく使います
(00:06:12) 女の人はあんまり使いません そして最後にもう一個注意
(00:06:18) これは多分っていうかちょっと俺の感覚なんだけど はとかさっていうのは
(00:06:26) 最近使う人は少ないと思います 漫画とかアニメとかではまだ結構見ると思うんですけど
(00:06:35) でも普段話すときによくこのはとかさを使う人っていうのは昔と比べて多分少ないん じゃないかなと思います
(00:06:45) このはとかさはさっきも言った通り男の人が使うとか女の人が使うとか ちょっとこう性別で使い方違うんですけど最近の日本語はその男女の差が少なく
(00:06:57) なっているので 女の人だけの言葉とかそういうのが昔よりちょっと少ないと思います
(00:07:05) ただ今でもよく使うさっていうのが一つあってこれはさっき話したのとちょっと 使い方が別で
(00:07:14) 手と一緒に使うてさっていう言い方 これは俺もよく使っていると思います
(00:07:21) このポッドキャストではあんま使わないですけどね友達と話すときによく使うんですが 誰かに聞いた話を伝えるときに最後にてさと言います
(00:07:35) 多分ねあのみんながよく知っている言葉だと最後にそうですって言ったりとか ということですって言ったりとか
(00:07:45) この言葉を聞いたことあると思うんですがこれと使い方だいたい同じです だから例えば天気予報で見たんですけど今日は雪が降るそうです
(00:07:55) っていう時に今日は雪が降るってさと言ったりします これがさの使い方で今でもよく使うものです
(00:08:05) ただこれもさっき言った通り丁寧な話では使わない言葉なので気をつけてください さあこれがあの助手の使い方なんですけども
(00:08:15) 文の最後につけるのは助手だけじゃなくて他にもいろんな文法があります 例えばでしょとか
(00:08:24) 前にもらったリクエストではこのでしょうの使い方とあとはもう一つ やっぱり最後につける言葉でじゃないっていう言葉
(00:08:35) この2つの違いがわかんないので教えてくださいっていうことでした 確かにじゃないとでしょってちょっと使い方が似ているところがあります
(00:08:47) 簡単に言うと何が違うかというとでしょっていうのは 自分であんまり間違いがないと思っているとき
(00:08:55) でじゃないっていうのは ちょっと違うかなーって思ってる時です
(00:09:00) まあ違うかなとかあとはわかんないっていう気持ちがある時ですね 例えば友達と話してて明日雨が降ると思うって聞いた時に
(00:09:10) 降るでしょうって言われたらそれは友達は 明日きっと雨が降ると思っています
(00:09:18) でもこの時に降るんじゃないって言われたらその友達も降ると思うけど でもちょっとどっちかわかんないなーっていう気持ちがあります
(00:09:30) これがじゃないとでしょうの使い方の違いです ちなみに質問にはじゃないとでしょうともう一つだろうについても書いてあったんです
(00:09:42) が だろうっていうのはでしょうと同じです同じ言葉です
(00:09:47) ただでしょうの方がちょっと丁寧な感じがします だろうは男の人はよく使うかもしれないですね
(00:09:56) 俺も友達と話すときはでしょうも使いますがだろうもよく使います でも家族と話すときはだろうはあんまりっていうか全然使わないかな
(00:10:08) やっぱり友達と話す時だけですね 家族にもあの普通は敬語とか全然使わないであの丁寧な話し方はしないんですけど
(00:10:18) だろうは 自分よりもまあ家族といっても親は自分より上の人ですからね
(00:10:26) だからだろうはちょっと失礼かなという気がしてあの使いません 友達と話すときはでしょうもだろうもよく使います使い方は同じです
(00:10:36) 明日雨降ると思うって言われたら きっと降るって思ってたら降るだろうというふうに言います
(00:10:43) じゃあこれが文末表現分の最後に使う言葉です あの実は他にももう少し質問されてたことあったんですけど
(00:10:55) まあ全部に答えなくてもいいですよって言ってくれたし ちょっとね文法の話が多くなっちゃったので今日はここまでにしたいと思います
(00:11:04) また機会があれば文法の話ももっとしたいと思うので他にも あの文法の話とか聞きたいと思う人はそれまで楽しみに待っていてください
(00:11:14) 他の人からもねもっとリクエストもらったらまたいろんな文法の話もしたいと思います もちろん文法だけじゃなくて他のいろんなテーマについて
(00:11:23) リクエストがあればどんどんメッセージをください 皆さんからのメッセージ待ってます
(00:11:29) それじゃあ今日はこの辺で終わりにしたいと思います さようなら
