ep. 082 - 奨学金(N2)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:09:12) さっき言ったそのジャッソのホームページに日本留学奨学金パンフレットっていうのがあって このパンフレットに留学生がもらえる奨学金が一覧で載ってます
(00:09:25) 奨学金って結構たくさんお金をもらうことができるシステムなので 申し込んだら必ずもらえるわけじゃありません
(00:09:35) 厳しい奴だと10人に1人とか20人に1人とか そのくらい少ない人数しかもらえないものっていうのもあるんですけど
(00:09:43) でもね自分がいい学生だ自分は貢献できるって思ったら ぜひ申し込んでみてください
(00:09:51) そしたらね その勉学により集中できる環境が作れるんじゃないかと思います
(00:09:58) 俺も日本語教師として日本で勉強する留学生の皆さん応援したいと思います 皆さんぜひ頑張ってください
(00:10:07) さあそれじゃあ今日は奨学金の話でした このポッドキャストは日本語の勉強のためのポッドキャストなので
(00:10:16) 皆さんの役に立つ情報がいろいろ話せたらいいなとは思いますが ただ奨学金の専門のポッドキャストではないので俺も細かいところまでは知らないことが
(00:10:28) 結構ありますから何かね奨学金についてもっと詳しく知りたかったら 俺じゃなくてその奨学金を出している期間に質問した方がいいと思いますので
(00:10:39) 気をつけてください俺に聞いてもわかんないことありますからね はいじゃあ今日はこの辺で終わりにしますさようなら
