ep. 023 - 文法＜られる、させる＞(N4)

(00:00:00) みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
(00:08:23) 偉い人上の人は 新しく入った社員とかによくいろいろなことをさせますね
(00:08:31) 例えば簡単な仕事とかをよくさせますよね コピーをさせたりお客さんが来たらお茶を入れさせたりしますね
(00:08:42) 俺も学校では あの他の先生よりも少し長いので
(00:08:48) 新しく入った先生には簡単な仕事をさせたりとか あとは机とか椅子とか何かたくさん運ばなければならないときは
(00:09:01) 学生によく手伝わせます ちょっと暇な人がいたらこの机を運ぶのを手伝ってくださいって言うと
(00:09:09) だいたい5、6人ぐらい時間のある学生が来て手伝ってくれます
(00:09:15) さあこの何かをしてくださいっていうのがさせるっていう言葉の使い方
(00:09:22) 最初に言ったされると 形は似てますけど意味は全然違いますね
(00:09:32) はいそれじゃあ今日はこの2つの文法 一つ目がされるとかられるですね受け身です
(00:09:40) 他の人が自分に何かをするとかあとは 自分が嫌だと思う気持ちです
(00:09:48) そしてさせるっていうのは何かをしてくださいということ 似てる言葉ですけど意味は全然違いますね
(00:09:58) 上手に使えるようにたくさん練習してください
(00:10:03) 前にもちょっと話しましたけどこのポッドキャストではあまり 文法の話はしません
(00:10:11) なぜかというと あまり面白くないかなと思うからです
(00:10:18) まあこのポッドキャストを聞いている人はみんな日本語が大好きで 勉強も楽しくしているかなと思うんですけど
(00:10:28) 俺の学校の学生は文法の話を始めると すぐ眠くなる人も多いんですよ
(00:10:36) なのでね文法の話が多くなるとこのポッドキャストを全部聞かないで寝る人が 多くなってしまったら
(00:10:46) 困りますので あまり文法の話はしませんでした
(00:10:52) でもこうやってリクエストがあったら文法の話でも ちょっと難しい話でもなんでも
(00:11:00) しますので皆さんも聞きたいこととかあったらどんどんリクエストをください 文法が嫌いな人話を聞いて眠くなる人は
(00:11:12) 今日のエピソードは睡眠薬代わりに使ってください 睡眠薬っていうのは
(00:11:19) 寝ることができないときに飲む寝るための薬です 難しい話を聞いていると眠くなりますよね眠れないときにこのポッドキャストを
(00:11:30) たくさん聞いてください 他にも何かこのポッドキャストについて意見
(00:11:37) 感想などあればどんどんメッセージをください それから
(00:11:42) このポッドキャストは spotify で聞いている人がとても多いみたいですが
(00:11:49) アップルのポッドキャストで聞いている人も最近多くなってきました アップルのポッドキャストでは
(00:11:57) レビューを書くことができますので もし皆さん時間があったらこのポッドキャストのレビューをどんどん書いてください
(00:12:07) いいことを書いてくれたらもちろん嬉しいですが 直してほしいところとかもっとよくしてほしいところなども書いてくれると嬉しいです
(00:12:17) 皆さんからのメッセージがこのポッドキャストをもっともっと良くしてくれます ぜひお願いします
(00:12:25) それじゃあ今日はこの辺で終わりにします 皆さんさようなら
