ep. 043 - ビーガンの食事(N3)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
そして一つ一つの 食べ物についてこれは魚の出汁を使っていませんか?とか聞くといいと思います
他にも日本語を話すのがまだちょっと大変だとか 日本人と話すのは緊張するとか
そういう人は食べることができないものとか 反対に食べることができるものっていうのを
紙とかに書いてリストを作っておいて そしてお店の人にそれを見せるとわかりやすいと思います
日本人でもヴィーガンの人ってあまり多くないけどゼロではないです 少しいます
その人たちはどうしているかって言うと やっぱり外ではこう
野菜を使うサラダだけとか あとは自分で作ったりとかして食事をとっているみたいですね
もともとヴィーガンっていうのは日本の文化には なかったものなので
だから今ね まだ日本ではそのヴィーガンの人のためのものっていうのはちょっと少ないんですけど
日本は今オリンピックもあるし だからあの
今までの日本だけの文化じゃなくって 他の国のいろんな文化を今頑張って日本の中に入れているところなので
ちょっとねまだ ヴィーガンとかは少ないんですけどでもゼロじゃありませんから
まあヴィーガンの人がね日本に旅行に来るとちょっと大変なところもあるかもしれませんが でも
そのレストランとかだったらお店の人に相談することもできますから だから日本に来るのを諦めたりしないで
何かこう 日本に来る前に
ヴィーガンの食事ができる店を探しておいたりとかしてそして 自分の食事を守りながら日本の旅行も楽しんでくれると嬉しいなと思います
はいということでこれが日本でのヴィーガンの食事についてです 本当ねヴィーガンだけじゃないんですけど文化の違うところに行くっていうのは
楽しいこともありますが大変なこともあるので あの旅行もね楽しいことだけじゃないかもしれませんが
でもそれでも 諦めずに日本に来てそしていろんなことを楽しんでくれると嬉しいなぁと思います
日本もねそういういろんな文化の人が来て楽しめるように いろんな文化を尊重できる
尊重というのはその大切にするということですね 尊重できるように変わっていけたらいいなと思います
俺もね日本語の先生しているのでいろんな国の人と話をするから だからいろんな文化を尊重
しないといけないなと思ってできるだけね 他の人の文化を大切にできるようには頑張っているつもりです
あそうそうそれと最後にもう一つ 今日このリクエストをくれたケイシャさんなんですけど
そのレストランとかに行った時にビーガンの料理について質問するときにどういうふう に聞けば丁寧に質問できるかっていうふうに気にしていました
すごい優しい人っていうか丁寧な人ですね マナーを守ったり他の人に丁寧にしたりするのを礼儀正しいと言いますが
このケイシャさんもすごい礼儀正しい人ですね じゃあそのお店の人に丁寧に聞く言い方ですけど
ビーガンの料理についての質問の仕方は今日最初にちょっと話しましたが 質問をする前にお店の人に話すときには最初に
すみませんちょっと伺いたいことがあるんですけど っていうふうに言うと丁寧な質問の仕方になります
それからお店の人にビーガンの食事について聞いて そしてお店の人がじゃあ今確認しますからちょっと待ってくださいとか
あの今作る人に聞いてきますからちょっと待ってくださいとか そういうふうに言ってくれたらその時はちゃんとありがとうございますとか
お手数をおかけしてすみませんとか言うといいですね お手数をおかけしてすみませんっていうのは
大変なお願いをしてすみませんっていう意味です このありがとうとかすみませんとかをちゃんと言えると丁寧な話し方になるので
お店の人も嫌な気持ちにならないと思います この言葉っていろんなところで使えるのでこれを聞いている皆さんもぜひ覚えてくださいね
はいそれじゃあ今日は日本に旅行に来るときに気をつけることとか あとはその知りたいことについてでした
皆さんもこんな風に何か日本について聞いてみたい話とかがあったらぜひリクエストを 送ってください
それじゃあ今日はこの辺で終わりにしましょう さようなら
