ep. 190 - 雪国(N3)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:06:55) 他にもねあの日本って例えば山があるところと 山があるっていうか山の上に住んでいる人とそうじゃない人とか
(00:07:05) 海の近くに住んでる人とかねそういうところでみんな生活習慣というのが違うので 日本旅行に来たらその
(00:07:15) その地域の習慣 えっとねその地形とかねつまり地面の形とか近くに何があるかとか
(00:07:23) そういうところから日本のいろいろな習慣を見てみると面白いかもしれません
(00:07:30) はいじゃああの 皆さんも今日の俺の声を聞いてわかったと思うんですけど
(00:07:37) ちょっと風邪ひいてね喉も痛いので少し短めですけど今日はこの辺で終わりにしたい と思います
(00:07:43) 皆さんは風邪ひかないように気をつけてください 日本に住んでいる人はこの土曜日と日曜日
(00:07:50) 来週の月曜日ぐらいまでかな雪がたくさん降るっていう天気予報なので 風邪だけじゃなくてね事故とかそういうのにも気をつけて生活してください
(00:08:00) はいじゃあまた 次回のちょっとね次回のポッドキャストいつになるかわかんないんですけど
(00:08:09) 時間があったら来週もしかしたら年末忙しくて来月になっちゃうかもしれませんが 年が変わる前にね1回ぐらいは新しいエピソードまた作りたいと思いますので
(00:08:21) その時まで待っててください それじゃあさようなら
