ep. 141 - 慣用句(N3)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともがちょうどいい日本語で話をします。
(00:00:20) さて今日はですね、漢用句についてちょっとお話をしたいと思います。
(00:04:30) しれませんが 今は昔よりももっと関陽句とかことわざの漫画がたくさんあります
(00:04:39) 例えばクレヨンしんちゃんっていうアニメがあるんですけど まあ多分ね日本の日本に住んでいる子供だったら大体の人は知っていると思うんですが
(00:04:50) すごい有名なねアニメなんですけどそういうアニメの 漫画の
(00:04:55) そのことわざとか関陽句の本とかもあります 結構ねすごいクレヨンしんちゃんって
(00:05:02) バカみたいな話が多いんですけどね ギャグ漫画だから
(00:05:07) だからすごいこうくだらないっていうかバカみたいな話もたくさんあるんだけど でも思わず笑っちゃうようなものとかもたくさんあって
(00:05:19) まあ教科書の中のね難しい話で覚えるより やっぱりくだらないものとかバカみたいな話でもちょっと笑っちゃうようなもので
(00:05:30) リラックスしてそしてそれを何回も読んでた方が覚えるんですよ だからそのクレヨンしんちゃんの漫画とかねそういうものをたくさん読んで
(00:05:41) それで覚えるといいんじゃないかなと俺は思います まあ中にはね漫画が好きじゃない漫画なんか読みたくないっていう人もいるかもしれませんが
(00:05:53) まあこれは俺の場合はっていう話ですからね 俺は漫画が好きでそして漫画を読んでたら
(00:06:00) 他の人たちよりも結構たくさんことわざとか関陽句を覚えることができました なので俺がおすすめするなら漫画です
(00:06:11) もちろんねこの日本語を勉強している人のために 関陽句とかをまとめたリストみたいなものとかね
(00:06:18) その関陽句のための勉強の本とかもたくさん売ってるとは思うんですが きっとね
(00:06:25) 関陽句を覚えたいでも難しい っていう人は
(00:06:30) 1回ねそういう勉強のための関陽句の本とかは見たことがあると思うんですよ それを見てやっぱり難しいとか
(00:06:39) やっぱり面白くないとかそう思ったから だから俺に関陽句どうやって覚えればいいんですかっていうふうに聞いてくると思うん
(00:06:47) ですよね だから
(00:06:49) やっぱり俺がおすすめするのはそういう勉強の本じゃなくて漫画とかですね リラックスして楽しんで読めるもの
(00:06:57) それを使って覚えてください こういう漫画とかあの勉強のためのね
(00:07:05) 関陽句のリストとかを見ていると やっぱり当たり前ですけどあまり使わないような言葉とかも結構あります
(00:07:14) だからまあそれ全部覚えても無駄になるじゃないかと思う人もいるかもしれませんが でもねやっぱり関陽句とかを使わないで
(00:07:26) 会話とかをしていると ちょっとね会話が寂しくなりますね
(00:07:32) やっぱりこういうね関陽句とかがあった方が こうなんていうんだろういろんな気持ちとかも表現できるし
(00:07:42) すごい豊かな会話になると思うんですよ だからねあんまり使わないかもと思ってもできるだけたくさん覚えておいた方が
(00:07:51) 日本語の会話が楽しくなると思います あと
(00:07:56) 仕事とかを日本でしたい人はね 仕事で日本語をたくさん使いたいお客様といろんな話をしたいっていう人は
(00:08:04) やっぱりこういう関陽句とかを覚えていた方が 教養がある人だと思われるからいいんじゃないかなと思います
(00:08:14) 教養ってわかりますか教養の教は教育の教 養は栄養の養ですね
(00:08:22) まあつまり頭の栄養です いろんなことを勉強して頭にたくさん栄養をあげてた人の方が
(00:08:31) 仕事ができるんじゃないかっていうイメージも持たれると思うので 全然ねその関陽句とかを知らない人よりもいろんな言葉を知ってて
(00:08:41) 日本語上手だなって思われた方が きっとこの人仕事もできるんだこの人と一緒に仕事したいと思われると思うので
(00:08:49) そういう意味で役に立つこともあると思うから ぜひ頑張って皆さんも覚えてください
(00:08:57) ってことで今日は関陽句の覚え方についてでしたね もう俺が好きなものみんな覚えたと思うんですけど
(00:09:04) 俺が何かをお勧めするとしたらやっぱりね だいたい漫画とかお酒とかお酒とか漫画とかの話になっちゃうから
(00:09:13) あのいつも同じ話になっちゃってちょっと面白くないかもしれないけど でも漫画ってそのぐらいいいものだと思うので皆さんもぜひ漫画読んでください
(00:09:24) はいじゃあ今日はこの辺で終わりにしたいと思います さようなら
