ep. 203 - 外国人に馴染みのない日本の習慣(N2)

ん
皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
そもそも他の国の文化をね真似する必要もないっていうところが結構あるので 日本は本当にも英語を使う必要がなくって日本語だけで生きていけるから
学校で英語を勉強するけどでも あのいきなり英語で話しかけられるとねちょっとびっくりするっていう人が多いかなと思います
ねあの 英語圏の人も日本に来たらちょっと気をつけてください
配置はこれで5個ですね 84じゃなくなりました
もちろん日本にね外国の人が来てびっくりすることって他にもまだまだたくさんあると は思うんですが
とりあえず俺がパッと思いつくものを言ってみました 他にもねあの自分が日本に行った時に
こういうところでびっくりしましたっていう話とかがあったらね ちょっとそれは俺にとってもすごい面白そうなので皆さんもメッセージとかでに教えてくれる
と嬉しいです あの面白い話があったらねまた違うポッドキャストのエピソードでみんなに紹介しようかなと
思います はいじゃあ今日はねこの辺で終わりにしたいと思います
8今日のリクエストは n 2とか n 1ぐらいのレベルっていうことだったのでもう普通の 速さで普通に話してます
ちょっと早いかなって思ったけどまぁそんなに難しい言葉もなかったし そのまま話し続けちゃいました
今日の話がね全部わかる人は日本人と話をしてもきっと大丈夫だと思います はいじゃあこの辺で終わりにしたいと思いますまた何かリクエストとかあったら送ってください
それじゃあさようなら
