ep. 065 - 日本語の違い(N2)

(00:00:00) みなさんこんにちは、ともです。 これは日本語を勉強している人のためのボットキャストです。
(00:03:45) 俺の周りでよく聞くっていうか普通の生活で聞く言葉というと 私俺僕私
(00:03:58) ぐらいですね その他のはほとんど聞きません
(00:04:03) まあこんなふうにね言葉を変えるとキャラクターがわかりやすいっていうのは いろんな漫画であのやってることであと他にも
(00:04:13) 言葉を変えるっていうよりもあの別のやり方で言葉を付け加えるっていうのもありますね 有名なのだと
(00:04:24) あの 忍者の漫画のナルトとか
(00:04:29) あの漫画は あの
(00:04:33) 出てくるキャラクターみんな最後に何か言葉をつけるんですけど あれを普通の生活で使ってしまうと
(00:04:44) ちょっと変な人ですね この人何言ってるんだろうっていう風に見られてしまうかもしれません
(00:04:51) 時々ね日本語の先生の仕事をしていると 学生にだってばよってどんな意味ですかっていう風に
(00:05:00) 聞かれることもあるんですけど あれね意味ありませんからね
(00:05:07) 普通の日本語じゃないから 普通に話すんだったらあれはだよっていうのと多分だいたい同じかな
(00:05:17) ちょっとねあの漫画を全部確認したわけじゃないから ちょっと違うところもあるかもしれませんけど
(00:05:24) これが漫画の言葉の使い方なんですがアニメもまあ漫画と同じですね だいたいもともとは漫画のものがアニメになるっていうパターンが多いので
(00:05:36) でドラマに関しては まあこれは
(00:05:41) 前もねちょっとあの なんだっけえっと吹き替えの話かなその時にもちょっと話したことありますけど
(00:05:50) 普通の生活の場面がテーマになっているドラマとかだったら あの全然変じゃないそのまま覚えてそのまま話しても大丈夫な日本語は結構あります
(00:06:05) でも昔の話がテーマになってたら まあ本当それこそ侍とか忍者とかそういうのがいる時代ですね
(00:06:15) そのぐらい昔の日本語だとやっぱりちょっと変ですね 100年とか200年とか前だとやっぱりちょっと変な言葉とか
(00:06:24) 今は使わない言葉とかも結構あるんですが まあ2,30年ぐらい前だったら今と言葉はほとんど変わってないから
(00:06:33) そのぐらいだったらそのまま覚えてもいいですね ただまあ2,30年前だと時々ねちょっと古い言葉
(00:06:42) 今は使わない言葉とかも出ることがあるのでそれは 注意しないといけないところですね
(00:06:50) 今は使わない言葉っていうのはあの その時だけ流行ってる言葉とかです
(00:06:58) 例えばねあの 俺が今パッと思いついたのだと
(00:07:03) どのくらい前だろう20年以上前かな そのくらい前に流行った言葉で
(00:07:13) ちょべりばなんていう言葉があります これを知っている人は多分いないんじゃないかなと思うんですけど
(00:07:21) これ何かっていうと ちょと
(00:07:25) 英語のベリー ベリーってあのカタカナで書くとベリー
(00:07:30) とてもっていう意味の言葉ですね それと
(00:07:35) バッドのバ バッドはこれも英語の悪いっていう意味のバですね
(00:07:41) この3つの言葉を一緒にしてちょべりバッド 短くするとちょべりば
(00:07:50) で使い方は まあすごく嫌なことがあった時に
(00:07:57) ちょべりばって言うんですけどまあ今だったら 多分最悪っていうふうに言いますね
(00:08:05) でこのちょべりばっていうのは本当にあの その時だけ流行った言葉で今は全然使わない言葉です
(00:08:15) こういうふうにその時だけ流行っている言葉っていうのも あの時々出てくるのでそれは気をつけましょう
(00:08:24) あとはね他にもこの話し方についてちょっと話すと その漫画とかドラマーとかの日本語の違いっていうのもあるんですけど
(00:08:34) 同じドラマーの中でも人によってちょっと話し方を変えていることっていうのも あると思うので
(00:08:42) 日本語が上手な人はねそういうところにも注意して聞いてみると面白いと思います 例えばその同じドラマーの中でどんな日本語の違いが出てくるかっていうと
(00:08:56) まず使う言葉は同じでも話し方をちょっとゆっくりにしたりとか あとは少し言葉を伸ばしながら発音したりとか
(00:09:09) 伸ばしながら発音するっていうのは あのっていうところあのー
(00:09:15) でちょっと長く言ったりとかね あとは真面目な感じを出したかったら
(00:09:22) 敬語をちょっと多めに使ってあとは 短くする言葉とかを使わないで全部丁寧に言ったりとか
(00:09:32) 短くする言葉っていうのは 例えばしちゃいましたみたいなやつですね短くしないとしてしまいましたですね
(00:09:43) あとは真面目な感じ出したかったら助詞を省略しないで全部言ったりとか こういうのね結構細かいと思うんですけどこれでも結構その人の性格っていうか
(00:09:57) あのどんなキャラクターかなっていうのが結構変わると思います まあ例えばね今の話し方の違いだと
(00:10:06) 例えば 佐藤さんはもう帰ってしまいましたよっていう言い方と佐藤さんも帰っちゃいましたよ
(00:10:16) っていう言い方 すごい簡単な言葉ですけどねこの言葉だけでもやっぱり最初に言った方は佐藤さん
(00:10:25) はとかもう帰ってしまいましたよっていうふうに短くする言い方を使ってないから なんか真面目な感じがしますね
(00:10:36) 日本語の勉強のためにそういうドラマとか映画とかを見たいなって思う人はそういう 細かい違いもちょっと気をつけて見てみると面白いと思います
(00:10:47) さてそれじゃあ今日はこの日本語の違いっていうテーマでした これを聞いている人も何かリクエストがあったら
(00:10:56) メールとか sns とかでメッセージをください 皆さんからのメッセージ待ってます
(00:11:03) それじゃあ今日はここで終わりにしたいと思いますさようなら
