ep. 208 - JLPT公式問題集1の解説-N2問題7(33)(34)(35)(36)(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
はいなのでねえっと最初の答えは3番のとか 1問目からちょっと説明が長くなりましたが女子ってねやっぱりみんな苦手だと思うので使い
方よく覚えておくといいですね じゃあ8その次の問題見てみましょう34番ですね
えっとねこれはねー 8末っていう言葉を覚えておきましょう悩んだ末ですね
で末っていうのは漢字で書くとね意味わかりやすいんですけど 週末の末ですねだから悩んでそして最後にっていうのが悩んだ末です
末の前はねた系なんですけど何かをしてそして最後にっていう意味だからた系になる のはすぐ覚えられますね
でねこれはねうんと 意味を文全体の意味を考えるとわかりやすいと思うんですけど
悩むっていうのはいろいろ考えることですね でいろいろ考えてそして最後に決めただから順番としては悩む
そして最後に決めるこれがはこれはわかりやすいですね そうするとあの
まずは先にって書いてあるけどこれは先っていうのは前っていう意味だから分の 意味としてはちょっと変になってしまう
あとはねところっていうのは使い方としては何かをしている時っていうような使い方で あの出てくるものなのでこれもちょっとおかしいですね
あとは通りっていうのはですねこれはあの 通りって結構初級の方で出てくる文法だと思うんですけど
意味としてはねイコールですね同じなんですよ だから
さっき言った通りにやってくださいみたいな使い方をしますよね だから
もしねこれ悩んだ通りって言ってしまうと 悩むと決めるがイコールになっちゃう
でも悩むっていうのは決められないからいろいろ考えるっていう意味なので 決められないから考えると決めたは絶対にイコールにならないからこれも通りって
選んでしまうと文の意味がおかしくなってしまいます ってことでこれは悩んだ末にっていう2番が答えです
はいじゃあ続いて次の問題35番ですね えっとこれはね
えっと問題文に挙句って書いてありますね えっとこれもねさっきの末にと同じでなんかいろんなことをしてそして最後にっていう意味
なんですけど まあ挙句はねあのだいたい悪い話に使います良くない結果になった時ですね
で挙句と書いてあるんですけど1234の選択肢を見るとこれは みなさんの大っ嫌いな
試液とか受け身とかの問題ですね でこれはねうんとプリンターの調子が悪くなったからあの電話で質問したんですよね
そしたら向こうの人電話で話している人に 質問あの自分がされたんですねで自分がわかんないから電話で質問したのに向こうに質問
されたそして自分は答えたんですよね でいろいろ自分が答えたんだけど最後にはそれはちょっと対応できないっていうふうに言われた
だからまあ 嫌な話ですよね
調子がプリンターの調子が悪い電話したらいろいろ聞かれた そして最後には対応できないって言われた
なので挙句っていう言葉を使ってるんですけどじゃあねここの答えになるのはどれ なのかというと質問した人は電話の向こうの人ですね
そして答えたのは自分ですよね でその答えるいろいろ質問されて答えたんだけど答えるのが
まあいろいろあったからね めんどくさかったしかも対応できないって言われた
ってことでその答えるのが嫌だったっていうそういう気持ちなので嫌だけどでもした っていうのは刺激受け身ですね
そうすると本当にか4のさせられるかさせられたになるんですけど これは挙句の意味を考えるといろんなことをしてそして最後にダメだった
っていう意味だからこれもねさっきの末にと同じようにた系を使ってください だから答えさせられたっていうのが答えです4番ですね
8この刺激受け身ってねやっぱりわかりにくいっていう人多いと思うんですが 刺激受け身はやりたくないけどでもやれって言われたから自分がすることです
刺激受け身は自分がするんですよ 試液っていうのは試液だけだったら自分じゃなくて他の人にしてくださいって
いうこと この辺ねやっぱり n
4 n 3 n 2のあたりでよく出てくるんですがわかんないっていう人が多いので あの落ち着いてよく考えてみてください
はいじゃあもう一個を言ってみましょう次は36番の問題ですね あとこれはねーそんなに難しくないというか意味がわかりやすい
文法かなと思うんですがうんと 仕事を断ることができないんですね
だから断れないんだったらもう残された選択肢は引き受けるだけですよね だから答えはあのしかないっていうのを選べばいいんですが
ただねしかないの形がちょっと変わっちゃってますね あるまいっていう選択肢が2つあります
えっと答えは先に言っちゃうと4番なんですけど引き受けるしかあるまい このあるまいって何なのかというとないだろうっていう意味です
だからね引き受けるしかないだろう 引き受けるしかないでしょうっていうのが引き受けるしかあるまいの意味なんですけど
まああるまいって言うとねちょっと硬い言い方ですね あの
古い文法なんですよ昔の文法が今でも残ってる で昔の文法が残ってるっていうタイプの表現はだいたいね
硬い表現でビジネスだったりとか あのレポート書くレポートとか論文とか書くようなそういう日本語ですね
はいじゃあとりあえず今4つの問題の説明しましたが やっぱりN2ってね難しい文法が多いのでちょっと説明時間かかっちゃいますから
1回ここで終わろうかな うーんと
そうだなあと 2回ぐらいで問題7の説明全部終わるといいな
えっと jlpt 7月ですからねあの本番が始まる前に 全部終わらせられるように頑張ります
8忙しくてできなかったらすみません
うーんと じゃあ今日はね1回この辺で終わりますが続きできるだけ早く作れるように頑張ります
8それから最後にまた連絡というかお礼ですがあの ペイパルで応援してくれる方がたくさんいらっしゃいます本当に嬉しいですありがとうございます
皆さんの応援のおかげでポッドキャストを続けられています 8寄付をいただいても何か特別なお返しはできないんですが
たくさん応援してもらうと俺もやる気が出るのでエピソードの量がちょっと多くなるかも しれません
はいじゃあ8今日はこの辺で終わりますが8次の 文法の説明楽しみに待っててください特に4月に試験を受ける人ですね
ぜひ頑張ってもらいたいと思います じゃあまた次のエピソードでお会いしましょうさようなら
