ep. 024 - 電車のマナー(N2)

(00:00:00) みなさんこんにちはTOMOです
(00:08:38) 立つところとか座る場所について まずは立つ場所について
(00:08:45) 当たり前ですけど邪魔になる場所っていうのは立っちゃダメですよね じゃあ邪魔になる場所ってどこかっていうと電車のドアの近く
(00:08:56) ドアの近くっていうかドアの前っていうか ドアの前にいると
(00:09:02) 電車に乗る人にとっても邪魔だし降りる人にとっても邪魔になります なのでできるだけ電車のドアの近くに立たないようにして
(00:09:13) で 人が多くて他の場所はもう開いてない
(00:09:19) ドアの前しか立つところがないっていう時は 駅に着いた時に電車に乗る人とか電車から降りる人がいないか
(00:09:28) よく周りを見て でその乗り降りする人がいたら自分が邪魔になってたら
(00:09:35) 1回電車の外に出たりしてあの邪魔にならないようにね 気をつけてください
(00:09:43) それから座る時の注意ですが座る時は 場所についてはねそんなに気にしなくていいと思うんです
(00:09:51) 椅子があったらあのどこでも座って大丈夫ですから ただ
(00:09:56) 人が多い時満員電車ですね その満員電車に乗るときに椅子に座るならちょっと気をつけてほしいんですけど
(00:10:06) まず椅子の上に自分のカバンとか荷物を絶対に置かないでください 自分のカバンは自分の膝の上
(00:10:16) それから座る時に隣の人とあのスペースを開けないで乗ってください スペースを開けるってまつまり隣の人からちょっとだけ離れて座るっていうのをやめ
(00:10:31) ましょう 知らない人とねあまり近づくのは嫌かもしれませんけど
(00:10:38) でもスペースが空いていると座れる人数が少なくなっちゃうから それって迷惑な行為になっちゃいます
(00:10:47) なのでできるだけ隣の人とスペースを開けないで できるだけ詰めて詰めるっていうのは近くに寄って座るっていうのに気をつけて
(00:10:59) ください あとはあの
(00:11:03) 電車に乗っている時の注意じゃないんですけど電車に乗る時の注意で 気をつけてほしいこと
(00:11:13) 電車に乗る前に日本では必ず並びます 自分一人だけだったらいいんですけどね
(00:11:21) まあだいたい駅には自分の他にも人がたくさんいますから 列を作ってちゃんと並んで電車を待ってください
(00:11:30) そして電車が来て電車に乗るときは 降りる人が先っていうのを忘れないでください
(00:11:40) 電車に乗る人が先じゃありません 降りる人がみんな降りてそしてそれから乗ってください
(00:11:49) はいじゃあこれがね電車に乗る時の注意です まあ初めて日本に来た人にはちょっとわからないマナーとかもあるかもしれませんけど
(00:12:00) でも周りをよく見て周りの人がちょっとこう 嫌な顔とか怒った感じの顔とかをしてなければまあ多分大丈夫でしょう
(00:12:12) あ あともう一個だけあった
(00:12:16) あの これはねしょうがないっていうことも
(00:12:22) 結構あると思いますが でもできれば気をつけた方がいいこと
(00:12:29) 何かというと 人がたくさんいる電車に乗るときは
(00:12:35) ちょっと匂いに気をつけましょう 匂い
(00:12:41) 何の匂いかというといろいろありますね 例えば香水とかの匂いがあまり好きじゃないっていう人もいるから
(00:12:52) 電車に乗るってわかってるときはちょっと香水をつけすぎないように気をつけたりとか あとはタバコとか酒の匂いですね
(00:13:03) 電車に乗る前にタバコは吸わないようにするとか お酒はまあしょうがないか
(00:13:12) しょうがないのかなぁでもあまり良くないと思うんですけどね でもお酒に乗って車運転することはできないから
(00:13:21) まあ俺はちょっとしょうがないかなという気もするけどでもできるだけね他の人の 迷惑にならない時間を選んで電車に乗るとかできるかもしれませんね
(00:13:32) それから
(00:13:35) 人がたくさんいるところに行くんだったら シャワーを浴びるとかね
(00:13:41) 国によってはあの 1週間に1回ぐらいしかシャワーを浴びない国
(00:13:47) お風呂に入らない国っていうのもあると思うんですが 日本では
(00:13:53) 基本的に 多分ねみんな
(00:13:57) お風呂かシャワーかは毎日入ると思うんですよ 俺も絶対に1日1回はシャワーは浴びますし
(00:14:06) 夏とかでねあの汗かいたら1日2回でも3回でもシャワーは浴びますから これは文化の違いっていうのもあると思うんですけどもう一つは気候の違いですよね
(00:14:19) 日本は 特に夏は暑いしジメジメしてる
(00:14:24) ジメジメってのは湿気が高いということですね 空気の中にある水分水がたくさんある
(00:14:33) 暑くてジメジメしてると汗もかくしそうするとちょっと汗臭くなりやすいですね 自分の体が臭くなりやすいです
(00:14:45) 乾燥しててあんまり暑くない国だと そんなに汗もかかなくてその体の匂い体の匂いを体臭って言いますけど体臭が
(00:14:56) 気にならないところとかもあるかもしれませんけど 日本では
(00:15:02) 結構ね体臭はみんな気にします 臭い人がいると嫌だなって思う人が結構いると思いますから
(00:15:10) 日本に来る人はきちんとシャワーを浴びるっていうのを忘れない方がいいと思います まああまりねあの
(00:15:19) そんなにすごい気にしすぎなくてもいいと思いますよ 1日1回ちゃんとシャワー浴びてれば
(00:15:25) それだけで十分臭いなんて思われないと思います シャワーが3日とか4日に1回だとちょっと危ないかもしれませんね
(00:15:35) 気をつけてください
(00:15:38) はいじゃあこれが 日本の電車で気をつけることですね
(00:15:44) 他にも細かいことね気をつけた方がいいことあるかもしれませんが 俺が思いつくのはこのぐらいです
(00:15:53) あとはその細かいところなんかはやっぱりその人とか あとは場所によっても結構変わるところがあると思うので周りの人をよく見てください
(00:16:04) 周りをよく見てそして周りに迷惑をかけないように気をつけよう っていうふうに考えていれば
(00:16:12) 国が違えば文化も違うんだからちょっとぐらい失敗っていうか 日本のマナーで知らないところがあっても大丈夫だと思います
(00:16:22) なので一番大事なマナーっていうのは周りをよく見て周りの人が 迷惑だっていうふうに思ってないかどうかっていうのを考えることだと思います
(00:16:34) これは電車だけじゃなくて他のいろんなところでも同じですね では今日は電車の話でしたが電車でのマナーって国が変わると本当結構変わりますよね
(00:16:49) 俺も外国に住んでたことがありますが やっぱり日本とマナーというかルールというかちょっと違ったのでびっくりしたことあります
(00:17:00) 電車の中で電話で話してたりとかね あとはちょっとびっくりしたのは
(00:17:06) 指定席に座っている人がいたっていうこととかね 指定席でもまだ人が座ってなかったら座っても大丈夫だったんですよ
(00:17:16) そこの国では あとからその
(00:17:20) その指定席の切符を持っている人が来たらどけば大丈夫っていう あれはちょっとびっくりしましたね日本では誰も座ってなくても指定席には座ってはいけませんから
(00:17:33) 他にも皆さんの国で何か面白いっていうか 他の国と違うルールとかマナーとかがあったらいろいろ聞かせてください
(00:17:44) 皆さんからいろいろな話を聞かせてもらえるとこのポッドキャストもどんどん良くなるし 俺も楽しいです皆さんからのメッセージ待っています
(00:17:54) それじゃあ今日はこの辺で終わりましょうさようなら
