ep. 037 - 日本で働く(N1)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:11) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) 話のテーマはリクエストもできます。リクエストがある人はSNSとかメールとかで連絡をください。
(00:04:20) 趣味で勉強している人も仕事のために勉強している人もいろいろいるんですけど 外国語の勉強している人がすごく多いからだから
(00:04:30) 外国語の先生のビザは結構取りやすいんじゃないかなと思います 外国語の先生って本当にこれはもう専門的なもので専門的っていうか
(00:04:42) やっぱり 日本人とその国の人とどちらが
(00:04:48) その言葉を上手に話せるかって言ったらその国で生まれ育った人の方なので そういう人は
(00:04:56) 先生になりやすいですね あと今
(00:05:01) 外国人でもなれる仕事で結構 あのビザを多くもらってるだろうなって思うのが
(00:05:09) コンピューター関係 コンピューターとかあとは自動車とかもそうだと思うんですけど
(00:05:15) まあとにかくコンピューターの技術が必要な仕事
(00:05:21) 昔と比べてコンピューターを使うことって多くなったっていうか ほとんどのものにコンピューター使われますよね
(00:05:30) パソコンを使わない会社って絶対ないんで だからそのパソコン関係の仕事っていうのは外国人もビザが取りやすいかなと思います
(00:05:42) でももちろんこれはあの パソコンが使えるって言っても
(00:05:48) ワードとかエクセルがちょっとできますよって言うだけじゃ絶対ダメです ちゃんとプログラミングを勉強して
(00:05:55) いろんな言語が使えるようになって で
(00:05:59) こう 何でもどんなことでもできますよみたいなスペシャリストだったら
(00:06:05) あのビザがもらえますね
(00:06:09) あとはやっぱり外国人なので 外国語を使う仕事
(00:06:16) 例えば通訳とかもそうだし あの
(00:06:21) 通訳とかあと翻訳とか 外資系とかその外国と
(00:06:27) いろんなやり取りをしている会社に入ってそれで あの外国と外国の会社と日本の会社とその間に入って
(00:06:37) で通訳とかをする仕事っていうのも外国人はビザが取りやすいんじゃないかなと 思います
(00:06:44) あと他にね外国人で多いのはやっぱり料理関係ですかね その国の伝統料理を作る
(00:06:53) シェフそういう人は あのビザをもらうことができます
(00:06:59) 俺の周りだとあの カレー屋さんインドとかネパールとか
(00:07:06) その辺の国の人が カレー屋さんを開くためにビザをもらってるっていうのが結構多いですね
(00:07:14) でこれが就労ビザあの仕事のためのビザなんですけど 実は他にも日本で仕事ができるビザってあります
(00:07:23) この就労ビザの他に
(00:07:27) それが何かっていうと 特定技能っていう去年できた新しいビザで
(00:07:36) 就労ビザよりもちょっとこう 制限があってできることが限られてるんですけど
(00:07:44) まあそれでもあのちゃんと日本に来て正社員として雇われることができるので まあそれも日本で働きたいんだったらいいかなとは思うんですが
(00:07:55) ただねあのさっきも言ったできることが限られている制限があるので 普通の就労ビザが取れる人はそっちのビザでもいいかなと思います
(00:08:06) ちなみに 今言ったビザの話日本で働く人がビザを取らなきゃいけないという話なんですけど
(00:08:15) あの 自分がもらったビザと違う仕事をするっていうのは
(00:08:22) それは犯罪になるので絶対しないように気をつけてください 捕まります
(00:08:28) 例えば あの
(00:08:32) じゃあ学校の先生外国語の先生の仕事をするって言ってビザをもらってそれで 先生の仕事は大変だから辞める
(00:08:44) 違う仕事をするって言って 例えばこう
(00:08:48) 外資系の会社に入ってそれで翻訳の仕事をしてるとか そういうことをするとそれは捕まります
(00:08:57) なので ちゃんとね自分がやりたい仕事のビザをもらってそしてもらったビザの仕事だけをして
(00:09:05) ください そこらへんね気をつけてください
(00:09:10) じゃあとりあえずこれが あの有名っていうか外国人が多いだろうなって思う仕事なんですが
(00:09:19) あとは最近 ちょっと多くなってきたなっていう外国人の仕事
(00:09:25) あと2つだけ紹介します それが何かっていうとまず一つはホテル
(00:09:34) 今年は日本でオリンピックもあるし 日本のいろんなものが有名になってきて
(00:09:42) 昔と比べて日本に遊びに来る外国人というのが本当に多くなりました なので今日本にはホテルがたくさんあります
(00:09:55) そして そのホテルに泊まりに来る外国人もたくさんいます
(00:10:01) 外国人が泊まりに来たら当然だけど外国語で話しかけられます そうすると
(00:10:09) さっきもちょっと言ったけど日本人って外国語があんまり得意じゃないから 外国語で何か言われるとちょっとこう困る時もあるし
(00:10:21) でもだからといって 日本に旅行に来る外国人がみんな日本語話せるかっていうともちろんそんなこともないです
(00:10:29) よね 日本語がわからない英語しか話せないとか中国語しか話せないっていう人はたくさん
(00:10:36) いると思います なので最近は
(00:10:41) ホテル関係の仕事をしている外国人がすごく多くなってきたなと思います 外国人でもいいですっていうんじゃなくて外国人が欲しいですっていうホテルが
(00:10:55) 昔と比べて多くなりました そして外国人が働くようになると今度は
(00:11:03) 外国人のお客さんと話をするだけじゃなくて同じ職場の人 一緒に働いている外国人の人に何かこう指示を出して仕事させる時も
(00:11:15) 日本語で言うんじゃなくて外国語英語とかね他の言葉で言った方が 仕事が早くなる時も結構あると思うので
(00:11:25) なので お客さんの対応のためっていうのもあるし
(00:11:30) その同じ職場の中での 外国人対応っていう仕事もどんどん多くなってきていると思います
(00:11:39) それからもう一つ ホテルの仕事の他に今日本ですごく需要が高まっている
(00:11:47) 本当に人手が足りないって言われている仕事 それは介護の仕事
(00:11:54) 介護っていうのは あの
(00:11:58) お年寄りとかあとは体が悪くなっている人 あのどこか
(00:12:04) 病気とか怪我で手足が動かないとか そういう人の
(00:12:09) 手助けをするそれが介護です まあ今特に人が足りてないって言われているのはやっぱりお年寄りの介護施設
(00:12:19) 日本って今本当に若い人が少なくて 60歳70歳80歳っていう年齢の高い人がすっごく多くなりました
(00:12:30) それで その人たちの世話をするのが
(00:12:35) 介護の仕事 やっぱり80歳とか90歳になるとその人の子供も60歳ぐらいとか
(00:12:45) まあ6070ぐらいなので お年寄りがお年寄りの世話をするっていう形になってしまうんですね
(00:12:54) でそれはちょっと大変大変というかできないっていう人もいるから だから
(00:13:01) 介護施設 病院じゃないんだけど
(00:13:05) まあちょっと病院に入院しているのと似てるところもあるかもしれないけど そのちょっと大きいところ
(00:13:14) 部屋がたくさんあるところそこに行って で
(00:13:18) 他のお年寄りの人たちもみんなそこに集まってみんなで一緒に生活する 一緒にご飯食べて
(00:13:26) あの何かゲームをしたりするときもあるし 時間があるときはそこに一緒に入っている人と話をしたりとか
(00:13:36) で食事とかあとご飯とか食事とご飯一緒だ あの食事とかトイレとかお風呂とか
(00:13:44) そういうのであの体が弱くなって一人でできない人は そこの場所その場所その施設にいる人に助けてもらう
(00:13:54) そういうのが介護施設なんですけど そこで働く人が今本当に足りてないって言われてて
(00:14:01) それで その介護施設で働く
(00:14:05) ためのビザっていうのがあります そのビザもね多分取りやすいんじゃないかなと思います
(00:14:12) 今人が本当に足りてないから はいということで
(00:14:18) これが今日本で外国の人ができる仕事 まああんまりね細かい具体的な仕事っていうのは
(00:14:27) あの時間ないから言えませんけど もう1回簡単にまとめると
(00:14:34) 専門的な仕事 コンピューター使ったりとか外国語の先生とか
(00:14:39) あとは料理人ですね あと新しいビザで
(00:14:44) 介護のビザ あと最近需要が増えているっていうのがホテルの仕事
(00:14:51) こういうのでビザをもらって日本で働くことができます 今は昔と比べて本当に日本に行きたいという人がとても多くなっているので
(00:15:03) それは日本人としてとても嬉しいです いいことだなと思います
(00:15:09) 皆さんも日本で働きたいという人はぜひ頑張って勉強してビザを取ってそして 日本で
(00:15:18) 働いて遊んで日本の生活を楽しんでください 外国の人が日本で働くっていうのは結構
(00:15:28) いや結構っていうかとても大変だとは思うんですけど 俺も外国で働いたことはあるから
(00:15:35) また 楽しかったけど大変だったなっていうふうにも思うので
(00:15:40) だから日本の仕事って大変だと思うんだけど でも楽しいこともねたくさんあると思います
(00:15:49) これを聞いている人で日本で働いたことがあるっていう人は 日本でね働いて大変だったこととか楽しかったこととか何か
(00:16:00) 面白い話があったらぜひ聞かせてください
(00:16:05) それじゃあ今日はこの辺で終わりにしましょう さようなら
