ep. 149 - 関西(N2)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:04:42) 斬りかかる真似をすると 斬られたふりをしてくれるっていうね
(00:04:50) ネタがあります あのもちろん本物のナイフとか刀とか持っていってはいけませんよ
(00:04:55) 何も持ってないけど刀を持ってるふりして 刀で切る音ザッとか言いながら刀で切る動きをすると
(00:05:05) 大阪の人は斬られたふりをしてくれるっていう そんな話があります
(00:05:11) 本当かどうかわかんないですけどね 大阪の人にそんな話をすると
(00:05:16) あの誰でもそんなことするなんて思うなって怒られるかもしれないですけどね まあ大阪出身の友達とかがいたらやってみてもいいかもしれませんね
(00:05:26) まあとにかくねそういう話があるぐらい 大阪ってあの面白い人が多いイメージがあります
(00:05:33) あとはまあ関西についてのイメージと言ったらやっぱり あの昔からの伝統的なものが多いっていう感じですよね
(00:05:42) お寺とかね 日本は昔はねあの大阪とか京都とか奈良とか
(00:05:50) あっちの方が首都だったんですよ 昔の首都って結構ね場所がすぐ変わるんですけど
(00:05:58) だから一箇所じゃないんですけど奈良とか京都とかそっちの方に首都があったので だからね日本の昔の重要なものっていうのはそっちの方に集まってます
(00:06:09) 首都が東京に移ったのは結構ねあの後の方なので だからねその
(00:06:16) 1000年前とかね1500年前とかそういう昔のものっていうのはあんまり関東の方にはないん ですよ
(00:06:24) まあ他にもね関西についてのイメージって言ったらたくさんあるんですが やっぱりねパッと思いつくのはそういうところですね
(00:06:32) お笑いとか伝統的なものっていう感じですね もちろん美味しい食べ物とかもたくさんあるんですけどね
(00:06:39) まあ美味しい食べ物があるのは関西だけじゃなくって日本のどこに行ってもあるので この辺の話はちょっと
(00:06:47) 省略しておきます なんか関西にしか美味しい食べ物がないみたいな話をすると他の地方の人に怒られ
(00:06:54) そうなので でえっとまあこのお笑いのイメージとかとちょっとつながるんですけど
(00:07:02) 関西の人の人柄関西にはどんな人が多いかっていうとやっぱりこれもね俺のイメージは っていう話になっちゃうんだけど
(00:07:12) あのお笑いが好きな人が多いからよく話す人とかが多いんじゃないかなっていう イメージがあります
(00:07:21) まあ人に関して言うとねちょっと もう性格なんか人によるから大阪とか
(00:07:27) 関西出身の人でも静かな人とかもたくさんいますけどね でも俺のね高校の時の友達に兵庫県っていう
(00:07:37) まあ大阪とか京都の近くの関西出身の友達がいたんですけど その人はねまあよく話す人でしたよ
(00:07:46) 話も面白かったしやっぱりなんかこう 自分と育ってきた文化が違うのかなーっていうような
(00:07:54) そんな感じはありました
(00:07:57) で えっとねまあ人の話になったので今度は人の話す言葉について言うと
(00:08:05) 言葉はねやっぱり関西弁っていうのはみんな あの日本語勉強している人も知っている人が多いと思うんですが
(00:08:12) あの教科書で勉強する普通の標準語って言われる日本語と関西弁は結構違いますね
(00:08:21) 結構 外国人が聞いたら全然違うかもしれませんね
(00:08:27) あの日本はねさっきも言ったけど地方と地方の距離が遠いからその縦に長いからね だから文化も全然違うし言葉も全然違うんですよ
(00:08:39) だから例えば俺が日本の一番北にある県の青森っていう人の 青森というところにいる人の話を聞いたらわかんないこともたくさんあるし
(00:08:51) 日本の一番南にある県といえば沖縄ですが 沖縄の人のね言葉もわかんないことっていうのが結構たくさんあると思います
(00:09:01) それで関西の人の関西弁っていうのもやっぱり言葉も文法も結構違うのが多いんですよ あの発音とかね
(00:09:12) アクセントとかももちろん違いますが 例えばね俺が面白いなーって思うものの一つに
(00:09:19) 敬語があります 関西だけの敬語
(00:09:23) これね大阪の人も京都の人もあの結構使うと思うんですけど 春敬語っていうのがあります
(00:09:32) これね何かと言うとね みんな敬語はもうわかると思いますが丁寧な言葉ですね
(00:09:39) 教科書で勉強する敬語っていうと例えば 何してるんですかっていう時に何をしていらっしゃるんですかっていうふうに
(00:09:49) 丁寧な言葉使いますね でこれが関西の方のその大阪とかね京都の方だと
(00:09:56) いらっしゃるんですかよりも少しねあんまり丁寧じゃないんだけどでも普通に話すよりは ちょっと丁寧な敬語があります
(00:10:05) それが 春っていう言葉を使うもので何してるんですかっていう時に何して春んですか
(00:10:14) っていう風に形が変わります これはもう完全にね関西の方だけの言葉ですね
(00:10:20) 東京とかでは全然使わない言葉です で他にも例えば何食べますかっていう時に何食べ張りますかとかね
(00:10:31) そういうふうに春っていう言葉を他の動詞とかと一緒に使うと ちょっと丁寧な敬語になります
(00:10:38) これがね春敬語っていうやつですね こういう関西弁とかがあるのでまぁ関西の文化ってすごい面白いなぁと思います
(00:10:47) はいってことで今日は関西についてのお話でした まあやっぱり俺も関西はね旅行でちょっとだけ行ったことがあるぐらいなので
(00:10:58) あまり詳しくはないんですが結構テレビとかでもあの 関西の話は見ますし関西出身の人もテレビにたくさん出てるから
(00:11:07) そんなにねこう 外国みたいに遠いところ全然違うっていうようなイメージはありません
(00:11:14) ただまあ何度も言いますが日本は縦に長くて細長くていろんな文化があるから 関西だけに限らず他の地方のね
(00:11:25) 文化とかイメージってあの人によって結構違うと思うので そういうのがね日本の面白いところかなぁと思います
(00:11:35) はいじゃあ今日は関西についてでしたが
(00:11:39) 何かね他にもこう日本について聞いてみたいこととかあったらぜひ皆さんも メッセージを送ってください皆さんからのメッセージ待ってます
(00:11:50) じゃあ今日はこの辺で終わりにしたいと思いますさようなら
