ep. 081 - 日本でのマナー(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:04:10) と思います まずはどんなマナーが多いかっていうと日本人は結構
(00:04:18) 綺麗好きじゃないかなっていうイメージがあります 他の国の人が汚いっていうわけじゃないですけどね
(00:04:25) でもそのいろんな場所を綺麗に使うっていうマナーは結構多いと思います 例えばゴミについてのマナーとかルールっていうのは結構いろんなところに
(00:04:39) あります ゴミは必ずゴミ箱に捨てる
(00:04:44) ゴミ箱がないところではゴミを捨ててはいけません じゃあゴミがある時どうするのかっていうと自分のカバンの中とかに入れて
(00:04:54) そして家に帰ってから捨てます このゴミを
(00:04:59) 持って帰って自分のカバンの中とかに入れてそして家で捨てるっていうのは結構ね びっくりした外国人とかも多いみたいですね
(00:05:09) もちろんゴミ箱があったらそこに捨ててもいいんですけど まあ例えばコンビニの中とかにもね結構ゴミ箱ありますからそういうところに捨てても
(00:05:20) いいんだけど ゴミ箱がなかったらちゃんと家に持って帰ってそして自分の家で捨てましょう
(00:05:28) っていうことですね ゴミ箱が外にあるときもちょっと注意で日本ではどこに行っても必ず
(00:05:36) ゴミを捨てるときは分別しなければなりません ゴミの種類によって捨てるゴミ箱が違います
(00:05:46) 例えばジュースの缶だったら缶のゴミ箱 紙とかの燃えるゴミは全部燃えるゴミのゴミ箱
(00:05:56) ものによって捨てるゴミ箱が違います だからゴミ箱が置いてあってもそれがジュースの缶のゴミ箱だったらその中に別の
(00:06:06) ゴミを捨ててはいけません 自動販売機の横とかにはね結構ゴミ箱あるんですけど
(00:06:13) それはジュースの缶とかペットボトルのゴミ箱だから他のゴミを捨ててはいけません なので他のゴミを持っている人はそこには捨てないでちゃんと
(00:06:24) あの別のゴミ箱自分の家とかで捨てます 他にも
(00:06:29) 綺麗にするマナーといったらトイレのマナーの話をよく聞きます なんか日本のトイレって世界で結構有名なんですよね
(00:06:40) ウォシュレットがあったりとかウォシュレットってあのシャワートイレです トイレから水が出てお尻を綺麗にしてくれるあのトイレです
(00:06:50) なんでそんなトイレがあるのかっていうと日本人は昔から トイレを綺麗にするっていう習慣があるからですね
(00:07:00) 結構ね日本では なんか何百年か前からかすごい昔からねあの他の国と比べて
(00:07:08) トイレを綺麗にしてたみたいですね なのでトイレの使い方
(00:07:13) 気をつけましょうトイレは綺麗に使う まあ綺麗に使うって言ってもちょっとわかりにくいと思いますが具体的には例えば
(00:07:23) あの男の人だとね結構トイレを使うときに汚してしまうことも多いと思うので その時はちゃんとトイレを出る前に自分で少し綺麗にしてから出るとか
(00:07:35) あとは紙の使い方結構ね他の国と違うところもあると思いますが 日本のトイレは紙をトイレで使った紙をゴミ箱に捨てないで
(00:07:48) トイレの中に入れて水と一緒に流すとか これを知らない外国の人も結構多いみたいですね
(00:07:56) ってことで今トイレとあとゴミの話をしましたが とにかく日本ではいろんなものを綺麗に使うっていう習慣があるので
(00:08:07) 日本に旅行に来た人は綺麗にするっていうのを気をつけているといいんじゃないかな と思います
(00:08:15) それから他にもよく 外国人のマナーが悪いって言って
(00:08:21) みんなが不満に思っているというのが うるさくしないことですね
(00:08:28) 結構ね外で大きい声で話をしていると日本ではうるさいと思われることが多いです 電車の中であの電話とかをねしてはいけないっていうのは多分結構有名な話だと思うんですけど
(00:08:45) 電車の中で電話じゃなくてもあまり大きい声で話さない方がいいですし 観光地でもそうですね
(00:08:53) 外ではとにかく大きい声で話をしない うるさくしないっていうのを覚えておくといいんじゃないかなと思います
(00:09:02) それから最近だとちょっと注意が必要なのが 電話のカメラの使い方ですね
(00:09:11) 今はどこの国でも携帯電話にカメラってついていると思いますが 写真を撮ってはいけない場所っていうのがあります
(00:09:21) 特に観光地だとそうですね 他にも知らない人とかあとは知らない人のものとかも写真を撮ってはいけません
(00:09:33) 自分の写真を撮るときに後ろにちょっと写っちゃうとかそのくらいだったらいいんです けどでもそうじゃなくて
(00:09:42) 例えば 京都とかあとはお祭りとかに行った時に着物を着た綺麗な人がいたから写真を撮る
(00:09:50) とか 日本の何かかっこいいものを持っている人がいたからそれを撮るとか
(00:09:57) あとはお店の中とかもそうですね お土産の店とかでいいものがあったら写真撮りたいって思うこともあると思いますが
(00:10:06) お店の中は写真を撮ってはいけないことが結構多いので そういう時もね気をつけましょう
(00:10:12) もし写真撮りたかったらお店の人に写真を撮ってもいいですかって 一言を聞いたから撮りましょう
(00:10:20) さあこんなのが日本でのマナーですね 結構ね自分の国の文化とか習慣と違うこともあると思いますが
(00:10:30) 他の国の文化とか習慣に合わせていろんなことをするっていうのも旅行の楽しみの 一つだとは思うので皆さんも日本に来たときはぜひ
(00:10:41) 日本の習慣文化マナーについて ちょっとね気をつけていろんなことをしてみてください
(00:10:49) まあ日本の文化とかマナーとかね難しいことも多いと思いますが最初にも言った通り 日本の中でも結構場所によってマナーとかは変わるので
(00:11:01) 絶対苦労やなきゃいけないっていうんじゃなくて何かわからないことがあったらとりあえず そこの
(00:11:09) その場所の人にねいろんなことを聞いてみるといいと思います あとちょっと注意なんですけど
(00:11:16) その今言ったみたいに場所によって全然違うマナーとかルールとかがあるので もし何かわからないことがあって失敗しちゃってもその時に
(00:11:30) あの 注意されたらその話をよく聞いてすみませんと謝れば
(00:11:37) そんなに大きい問題にはならないと思います 犯罪は別ですけどね
(00:11:43) 日本の法律を守らなかったら警察に捕まるかもしれませんが そうじゃなくてその場所だけの特別なマナーとかですね
(00:11:52) そういうのは失敗しちゃってもその時にちゃんと謝ってそしてその後 マナーを守っていけば
(00:12:00) そんなに厳しく怒る人はいないと思います そこの人も外国人だから知らなかったんだなっていうのはわかると思うので
(00:12:11) 旅行が楽しめなくなるぐらい緊張したりとか心配しすぎたりっていうのは良くないので あんまりねその気を使いすぎずに旅行を楽しんでほしいと思います
(00:12:26) さてそれじゃあ日本のマナーとかについての話でした もちろん今言っただけじゃなくて気をつけなきゃいけないことっていうのはいろいろあるとは思いますが
(00:12:38) それは何度も言うようにその場所によって違うのでしっかりとね 自分が行く場所について調べてみてください
(00:12:46) ただどこに行ってもその最初に話した綺麗にするっていうのは大事なのでそのぐらいはね 意識していくといいんじゃないかなと思います
(00:12:57) 皆さんの国にもいろいろな 文化とかマナーとかあると思いますのでもしねちょっと他の国と違う面白い何かマナーとかがあったらぜひ教えてください
(00:13:10) それじゃあ今日はこの辺で終わりにしますさようなら
