ep. 072 - 雑誌(N2)

みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
男性向けのファッション系の雑誌とかそういうのもね結構ありますが ランキングには入ってないみたいです
ただねこのランキングには入ってなくても 日本の本屋に行くといろんな雑誌があるので
自分の趣味の雑誌とかが見つかるととても面白いと思います 結構ね本屋の雑誌コーナー見てると
こんな雑誌もあるのかってびっくりすることもあるんですが 最近見てね面白いなって思ったのは日本の刀の雑誌
日本で有名な刀がねたくさん載せられてて あのいろんな写真とかそれについての説明とかね
刀に興味がない人には全然面白くないと思うんですけど 刀が好きな人にとってはねすごく楽しい雑誌だと思います
そんな風に自分の趣味に合うものがねあればすごい楽しめますので 皆さんも日本に旅行に来たら本屋の雑誌コーナーをぜひ見てみてください
いろんな雑誌があるのでね楽しいと思います 雑誌ってあの日本語だけじゃなくて写真もたくさん載ってるから
自分の趣味の雑誌だと日本語がそんなにわからなくても写真だけで結構楽しいと思います さあこれが日本の雑誌ですが皆さんの国にはどんな雑誌があるのでしょうか
もしね皆さんの国で私の国にはこんな面白い雑誌がありますっていうのがあったら ぜひ教えてください
それじゃあ今日はこの辺で終わりにしたいと思います さようなら
